AssA,DetA,HOTA,IDF1,IDSW,MOTA,accepted_correct,accepted_false,accepted_unknown,component_rejections,method,modality,predicted_boxes,sequence,split,tracker,valid_gt_boxes
94.52264145011814,94.12906524295698,94.28798948645316,99.00564364418167,5,99.17886469118173,0,0,0,0,no_refinement,ir,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
92.9334509615704,94.12906524295698,93.49016634154299,97.94858013078921,4,99.19671545876473,1,2,0,0,historical_geometry_first_reciprocal,ir,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
92.9334509615704,94.12906524295698,93.49016634154299,97.94858013078921,4,99.19671545876473,1,2,0,2,controlled_cost_greedy,ir,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
92.9334509615704,94.12906524295698,93.49016634154299,97.94858013078921,4,99.19671545876473,1,2,0,0,controlled_cost_reciprocal,ir,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
93.5216330433683,94.12906524295698,93.78682137163106,98.25315775329213,2,99.23241699393074,3,1,0,0,controlled_cost_partial_hungarian,ir,5561,M3OT/1/ir/val/1-08T,development,bytetrack,5602
95.68257009533822,97.73295251695824,96.70232716862722,97.17432517829737,6,97.6258479114602,0,0,0,0,no_refinement,ir,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
97.13314028050411,97.73295251695824,97.43258483103867,98.56459330143541,4,97.66154944662621,2,3,0,0,historical_geometry_first_reciprocal,ir,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
97.13314028050411,97.73295251695824,97.43258483103867,98.56459330143541,4,97.66154944662621,2,3,0,5,controlled_cost_greedy,ir,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
97.13314028050411,97.73295251695824,97.43258483103867,98.56459330143541,4,97.66154944662621,2,3,0,0,controlled_cost_reciprocal,ir,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
97.51830214101534,97.73295251695824,97.62556833474638,98.76320303331227,2,97.69725098179222,4,2,0,0,controlled_cost_partial_hungarian,ir,5475,M3OT/1/ir/val/1-08T,development,ocsort,5602
92.97003547249177,92.76722630552146,92.84299432673467,99.0907501311418,3,99.25060996863019,0,0,0,0,no_refinement,rgb,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
93.65072633344991,92.76722630552146,93.18331179640991,99.54537506557091,1,99.28546531892646,2,0,0,0,historical_geometry_first_reciprocal,rgb,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
93.65072633344991,92.76722630552146,93.18331179640991,99.54537506557091,1,99.28546531892646,2,0,0,0,controlled_cost_greedy,rgb,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
93.65072633344991,92.76722630552146,93.18331179640991,99.54537506557091,1,99.28546531892646,2,0,0,0,controlled_cost_reciprocal,rgb,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
93.65072633344991,92.76722630552146,93.18331179640991,99.54537506557091,1,99.28546531892646,2,0,0,0,controlled_cost_partial_hungarian,rgb,5700,M3OT/1/rgb/val/1-08,development,bytetrack,5738
97.27228171910852,97.93990370671266,97.6055218975441,98.53847508364149,3,97.89125130707563,0,0,0,0,no_refinement,rgb,5620,M3OT/1/rgb/val/1-08,development,ocsort,5738
