protocol,scope,tracker,proposed_method,comparator,sequence_count,bootstrap_unit,bootstrap_replicates,bootstrap_seed,delta_HOTA_mean,delta_HOTA_ci_low,delta_HOTA_ci_high,delta_HOTA_total,HOTA_wins,HOTA_ties,HOTA_losses,delta_AssA_mean,delta_AssA_ci_low,delta_AssA_ci_high,delta_AssA_total,AssA_wins,AssA_ties,AssA_losses,delta_IDF1_mean,delta_IDF1_ci_low,delta_IDF1_ci_high,delta_IDF1_total,IDF1_wins,IDF1_ties,IDF1_losses,delta_IDSW_mean,delta_IDSW_ci_low,delta_IDSW_ci_high,delta_IDSW_total,IDSW_wins,IDSW_ties,IDSW_losses
oracle_aabb,all50,bytetrack,com3d_reciprocal_guard,no_refinement,50,released_sequence,10000,20260914,0.9986264414133393,0.7011069330872178,1.3147335539387892,49.931322070666965,45,2,3,1.6466807755161694,1.1523696312261933,2.193024248894911,82.33403877580847,45,2,3,2.279340482167637,1.7774455425851279,2.827690408308326,113.96702410838185,46,4,0,-50.9,-70.12,-35.14,-2545.0,46,4,0
oracle_aabb,all50,bytetrack,com3d_reciprocal_guard,geometry_greedy,50,released_sequence,10000,20260914,-0.4020045739690765,-0.6621399839205204,-0.2048372345949014,-20.100228698453826,10,4,36,-0.6294298135649826,-0.9632856524738636,-0.35905568225332246,-31.471490678249133,10,4,36,-1.3012898003441196,-1.9185413548983867,-0.816526150137789,-65.06449001720598,5,6,39,40.54,24.6395,59.460999999999984,2027.0,1,7,42
oracle_aabb,all50,bytetrack,com3d_reciprocal_guard,geometry_reid_greedy_guard,50,released_sequence,10000,20260914,-0.6938163317624944,-0.9862152961615697,-0.4477086755286051,-34.69081658812472,0,7,43,-1.1296432095349913,-1.5202301921575403,-0.7820135007510802,-56.48216047674956,0,7,43,-2.0831601885044755,-2.693719263413239,-1.527281138673192,-104.15800942522378,0,7,43,48.94,31.3995,69.44049999999999,2447.0,0,8,42
oracle_aabb,all50,bytetrack,com3d_reciprocal_guard,geometry_reid_hungarian,50,released_sequence,10000,20260914,-0.3530647966674104,-0.49503269637005937,-0.23270086345207588,-17.65323983337052,3,7,40,-0.5681459121220966,-0.7741259127668485,-0.39055143988905194,-28.40729560610483,3,7,40,-1.0667167872078998,-1.3673668188254313,-0.7878154254992329,-53.33583936039499,1,8,41,20.98,13.66,29.940499999999993,1049.0,0,8,42
oracle_aabb,all50,bytetrack,com3d_reciprocal_guard,aflink_cached_overlap_safe,50,released_sequence,10000,20260914,0.8916802196973839,0.6175617843074601,1.1736701409636625,44.584010984869195,44,2,4,1.4571656356516767,1.0393644855293476,1.8990564601669617,72.85828178258383,44,2,4,2.0184348660821736,1.576787482668685,2.5093957197119092,100.92174330410867,46,4,0,-50.28,-68.9605,-34.28,-2514.0,46,4,0
oracle_aabb,legacy12,bytetrack,com3d_reciprocal_guard,no_refinement,12,released_sequence,10000,20260914,0.833963571192871,0.24430785586264625,1.4787994227663022,10.007562854314452,8,2,2,1.447815702387671,0.42171068406008966,2.6044713563024633,17.373788428652052,8,2,2,1.9459095291216613,0.8896956292109627,3.2956441697784737,23.350914349459934,8,4,0,-33.166666666666664,-57.166666666666664,-13.916666666666666,-398.0,8,4,0
oracle_aabb,legacy12,bytetrack,com3d_reciprocal_guard,geometry_greedy,12,released_sequence,10000,20260914,-0.10947370267273844,-0.29171125085532434,0.00673949569842019,-1.3136844320728613,3,3,6,-0.2098851375166495,-0.5560394285181345,0.01827559418575574,-2.518621650199794,3,3,6,-0.5115014627860157,-1.0410662889103623,-0.1277446790227271,-6.138017553432189,1,4,7,17.75,4.416666666666667,36.58541666666664,213.0,0,4,8
oracle_aabb,legacy12,bytetrack,com3d_reciprocal_guard,geometry_reid_greedy_guard,12,released_sequence,10000,20260914,-0.27284138077379555,-0.48081929376794624,-0.09712427920421558,-3.274096569285547,0,5,7,-0.4783495147434345,-0.8662542248152655,-0.16399739579299588,-5.740194176921214,0,5,7,-0.8773416630034182,-1.5366872689654258,-0.320233530203384,-10.528099956041018,0,5,7,24.0,9.333333333333334,43.66874999999997,288.0,0,5,7
oracle_aabb,legacy12,bytetrack,com3d_reciprocal_guard,geometry_reid_hungarian,12,released_sequence,10000,20260914,-0.10144576080060208,-0.18606626851350858,-0.02999563578366704,-1.217349129607225,2,4,6,-0.19068952675219433,-0.33166272245104766,-0.06224239178479682,-2.288274321026332,2,4,6,-0.3894294851263691,-0.6672859177673269,-0.1440209536213152,-4.673153821516429,0,5,7,10.0,4.25,16.5,120.0,0,5,7
oracle_aabb,legacy12,bytetrack,com3d_reciprocal_guard,aflink_cached_overlap_safe,12,released_sequence,10000,20260914,0.8095892167588965,0.2086925103636035,1.556463810608067,9.715070601106758,8,2,2,1.4215048153887249,0.3069576716967545,2.6723359674875238,17.058057784664697,8,2,2,1.8536512277856005,0.8112526070001037,3.247327436968357,22.243814733427207,8,4,0,-33.083333333333336,-56.5,-13.5,-397.0,8,4,0
