protocol,scope,tracker,method,metric,historical,cache_audit,absolute_difference,exact
oracle_aabb,all_sequences,ocsort,geometry_reid_hungarian,TP,90458,90458,0.0,True
oracle_aabb,all_sequences,ocsort,geometry_reid_hungarian,FP,0,0,0.0,True
oracle_aabb,all_sequences,ocsort,geometry_reid_hungarian,FN,105736,105736,0.0,True
oracle_aabb,all_sequences,ocsort,geometry_reid_hungarian,predicted_boxes,90458,90458,0.0,True
oracle_aabb,all_sequences,ocsort,no_refinement,HOTA,44.91677541362014,44.91677541362014,0.0,True
oracle_aabb,all_sequences,ocsort,no_refinement,AssA,51.43059886705896,51.43059886705896,0.0,True
oracle_aabb,all_sequences,ocsort,no_refinement,IDF1,42.96378760853253,42.96378760853252,7.105427357601002e-15,False
oracle_aabb,all_sequences,ocsort,no_refinement,IDSW,6119,6119,0.0,True
oracle_aabb,all_sequences,ocsort,no_refinement,MOTA,37.416514138773,37.41651413877301,7.105427357601002e-15,False
oracle_aabb,all_sequences,ocsort,no_refinement,TP,90458,90458,0.0,True
oracle_aabb,all_sequences,ocsort,no_refinement,FP,0,0,0.0,True
oracle_aabb,all_sequences,ocsort,no_refinement,FN,105736,105736,0.0,True
oracle_aabb,all_sequences,ocsort,no_refinement,predicted_boxes,90458,90458,0.0,True
oracle_aabb,all_sequences,deepocsort,com3d_reciprocal_guard,HOTA,82.59626253428775,82.59626253428775,0.0,True
oracle_aabb,all_sequences,deepocsort,com3d_reciprocal_guard,AssA,84.53797796291823,84.53797796291823,0.0,True
oracle_aabb,all_sequences,deepocsort,com3d_reciprocal_guard,IDF1,83.67010459435745,83.67010459435745,0.0,True
oracle_aabb,all_sequences,deepocsort,com3d_reciprocal_guard,IDSW,1377,1377,0.0,True
oracle_aabb,all_sequences,deepocsort,com3d_reciprocal_guard,MOTA,80.80441868738944,80.80441868738946,1.4210854715202004e-14,False
oracle_aabb,all_sequences,deepocsort,com3d_reciprocal_guard,TP,174064,174064,0.0,True
oracle_aabb,all_sequences,deepocsort,com3d_reciprocal_guard,FP,0,0,0.0,True
oracle_aabb,all_sequences,deepocsort,com3d_reciprocal_guard,FN,22130,22130,0.0,True
oracle_aabb,all_sequences,deepocsort,com3d_reciprocal_guard,predicted_boxes,174064,174064,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_greedy,HOTA,82.58391605328,82.58391605328,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_greedy,AssA,84.52381021823876,84.52381021823876,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_greedy,IDF1,83.69335494546962,83.6933549454696,2.842170943040401e-14,False
oracle_aabb,all_sequences,deepocsort,geometry_greedy,IDSW,1294,1294,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_greedy,MOTA,80.85773863919069,80.85773863919069,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_greedy,TP,174064,174064,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_greedy,FP,0,0,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_greedy,FN,22130,22130,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_greedy,predicted_boxes,174064,174064,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_reid_hungarian,HOTA,82.79455875979602,82.79455875979602,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_reid_hungarian,AssA,84.9282938140425,84.92829381404248,2.842170943040401e-14,False
oracle_aabb,all_sequences,deepocsort,geometry_reid_hungarian,IDF1,84.00150888501939,84.00150888501939,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_reid_hungarian,IDSW,1174,1174,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_reid_hungarian,MOTA,80.89268790675871,80.89268790675872,1.4210854715202004e-14,False
oracle_aabb,all_sequences,deepocsort,geometry_reid_hungarian,TP,174064,174064,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_reid_hungarian,FP,0,0,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_reid_hungarian,FN,22130,22130,0.0,True
oracle_aabb,all_sequences,deepocsort,geometry_reid_hungarian,predicted_boxes,174064,174064,0.0,True
oracle_aabb,all_sequences,deepocsort,no_refinement,HOTA,81.32105008043304,81.32105008043304,0.0,True
oracle_aabb,all_sequences,deepocsort,no_refinement,AssA,82.06275997135361,82.06275997135361,0.0,True
oracle_aabb,all_sequences,deepocsort,no_refinement,IDF1,81.48609392004401,81.48609392004403,1.4210854715202004e-14,False
oracle_aabb,all_sequences,deepocsort,no_refinement,IDSW,1962,1962,0.0,True
oracle_aabb,all_sequences,deepocsort,no_refinement,MOTA,80.27084974644677,80.27084974644677,0.0,True
oracle_aabb,all_sequences,deepocsort,no_refinement,TP,174064,174064,0.0,True
oracle_aabb,all_sequences,deepocsort,no_refinement,FP,0,0,0.0,True
oracle_aabb,all_sequences,deepocsort,no_refinement,FN,22130,22130,0.0,True
oracle_aabb,all_sequences,deepocsort,no_refinement,predicted_boxes,174064,174064,0.0,True
official_detector,all_sequences,bytetrack,no_refinement,HOTA,34.64553531169412,34.64553531169412,0.0,True
official_detector,all_sequences,bytetrack,no_refinement,AssA,42.28840199140619,42.28840199140618,7.105427357601002e-15,False
official_detector,all_sequences,bytetrack,no_refinement,IDF1,38.31634073180515,38.316340731805155,7.105427357601002e-15,False
official_detector,all_sequences,bytetrack,no_refinement,IDSW,10324,10324,0.0,True
official_detector,all_sequences,bytetrack,no_refinement,MOTA,28.83090766011097,28.830907660110967,3.552713678800501e-15,False
official_detector,all_sequences,bytetrack,no_refinement,TP,91818,91818,0.0,True
official_detector,all_sequences,bytetrack,no_refinement,FP,12727,12727,0.0,True
official_detector,all_sequences,bytetrack,no_refinement,FN,104376,104376,0.0,True
official_detector,all_sequences,bytetrack,no_refinement,predicted_boxes,104545,104545,0.0,True
official_detector,all_sequences,bytetrack,geometry_greedy,HOTA,35.63613074912635,35.63613074912635,0.0,True
official_detector,all_sequences,bytetrack,geometry_greedy,AssA,44.1428561958578,44.1428561958578,0.0,True
official_detector,all_sequences,bytetrack,geometry_greedy,IDF1,40.75504629806071,40.75504629806071,0.0,True
official_detector,all_sequences,bytetrack,geometry_greedy,IDSW,7908,7908,0.0,True
official_detector,all_sequences,bytetrack,geometry_greedy,MOTA,30.071135926053984,30.07113592605398,3.552713678800501e-15,False
official_detector,all_sequences,bytetrack,geometry_greedy,TP,91818,91818,0.0,True
official_detector,all_sequences,bytetrack,geometry_greedy,FP,12727,12727,0.0,True
official_detector,all_sequences,bytetrack,geometry_greedy,FN,104376,104376,0.0,True
official_detector,all_sequences,bytetrack,geometry_greedy,predicted_boxes,104545,104545,0.0,True
official_detector,all_sequences,bytetrack,geometry_reid_hungarian,HOTA,35.57788558011366,35.57788558011366,0.0,True
official_detector,all_sequences,bytetrack,geometry_reid_hungarian,AssA,44.10538812617762,44.10538812617762,0.0,True
official_detector,all_sequences,bytetrack,geometry_reid_hungarian,IDF1,40.563010567702186,40.56301056770218,7.105427357601002e-15,False
official_detector,all_sequences,bytetrack,geometry_reid_hungarian,IDSW,8405,8405,0.0,True
official_detector,all_sequences,bytetrack,geometry_reid_hungarian,MOTA,29.84725948798606,29.84725948798606,0.0,True
official_detector,all_sequences,bytetrack,geometry_reid_hungarian,TP,91818,91818,0.0,True
official_detector,all_sequences,bytetrack,geometry_reid_hungarian,FP,12727,12727,0.0,True
official_detector,all_sequences,bytetrack,geometry_reid_hungarian,FN,104376,104376,0.0,True
official_detector,all_sequences,bytetrack,geometry_reid_hungarian,predicted_boxes,104545,104545,0.0,True
official_detector,all_sequences,bytetrack,com3d_reciprocal_guard,HOTA,35.39909653851582,35.39909653851582,0.0,True
official_detector,all_sequences,bytetrack,com3d_reciprocal_guard,AssA,43.75499213679762,43.754992136797625,7.105427357601002e-15,False
official_detector,all_sequences,bytetrack,com3d_reciprocal_guard,IDF1,39.967401330532766,39.967401330532766,0.0,True
official_detector,all_sequences,bytetrack,com3d_reciprocal_guard,IDSW,8935,8935,0.0,True
official_detector,all_sequences,bytetrack,com3d_reciprocal_guard,MOTA,29.613741904539573,29.61374190453957,3.552713678800501e-15,False
official_detector,all_sequences,bytetrack,com3d_reciprocal_guard,TP,91818,91818,0.0,True
official_detector,all_sequences,bytetrack,com3d_reciprocal_guard,FP,12727,12727,0.0,True
official_detector,all_sequences,bytetrack,com3d_reciprocal_guard,FN,104376,104376,0.0,True
official_detector,all_sequences,bytetrack,com3d_reciprocal_guard,predicted_boxes,104545,104545,0.0,True
official_detector,all_sequences,ocsort,no_refinement,HOTA,35.88612370029249,35.886123700292494,7.105427357601002e-15,False
official_detector,all_sequences,ocsort,no_refinement,AssA,47.62000863859625,47.62000863859625,0.0,True
official_detector,all_sequences,ocsort,no_refinement,IDF1,36.46173728923567,36.46173728923568,7.105427357601002e-15,False
official_detector,all_sequences,ocsort,no_refinement,IDSW,4263,4263,0.0,True
official_detector,all_sequences,ocsort,no_refinement,MOTA,26.949922767249667,26.949922767249664,3.552713678800501e-15,False
official_detector,all_sequences,ocsort,no_refinement,TP,77718,77718,0.0,True
official_detector,all_sequences,ocsort,no_refinement,FP,7846,7846,0.0,True
official_detector,all_sequences,ocsort,no_refinement,FN,118476,118476,0.0,True
official_detector,all_sequences,ocsort,no_refinement,predicted_boxes,85564,85564,0.0,True
official_detector,all_sequences,ocsort,geometry_greedy,HOTA,36.506386869268944,36.50638686926895,7.105427357601002e-15,False
official_detector,all_sequences,ocsort,geometry_greedy,AssA,49.403531395633735,49.40353139563374,7.105427357601002e-15,False
official_detector,all_sequences,ocsort,geometry_greedy,IDF1,38.13725985140249,38.13725985140249,0.0,True
official_detector,all_sequences,ocsort,geometry_greedy,IDSW,2959,2959,0.0,True
official_detector,all_sequences,ocsort,geometry_greedy,MOTA,27.779702242007637,27.779702242007637,0.0,True
official_detector,all_sequences,ocsort,geometry_greedy,TP,77718,77718,0.0,True
official_detector,all_sequences,ocsort,geometry_greedy,FP,7846,7846,0.0,True
official_detector,all_sequences,ocsort,geometry_greedy,FN,118476,118476,0.0,True
official_detector,all_sequences,ocsort,geometry_greedy,predicted_boxes,85564,85564,0.0,True
official_detector,all_sequences,ocsort,geometry_reid_hungarian,HOTA,36.770673792906656,36.770673792906656,0.0,True
official_detector,all_sequences,ocsort,geometry_reid_hungarian,AssA,49.96778136252241,49.96778136252241,0.0,True
official_detector,all_sequences,ocsort,geometry_reid_hungarian,IDF1,38.74189746024475,38.74189746024476,7.105427357601002e-15,False
official_detector,all_sequences,ocsort,geometry_reid_hungarian,IDSW,2668,2668,0.0,True
official_detector,all_sequences,ocsort,geometry_reid_hungarian,MOTA,28.063963991780916,28.063963991780906,1.0658141036401503e-14,False
official_detector,all_sequences,ocsort,geometry_reid_hungarian,TP,77718,77718,0.0,True
official_detector,all_sequences,ocsort,geometry_reid_hungarian,FP,7846,7846,0.0,True
official_detector,all_sequences,ocsort,geometry_reid_hungarian,FN,118476,118476,0.0,True
official_detector,all_sequences,ocsort,geometry_reid_hungarian,predicted_boxes,85564,85564,0.0,True
official_detector,all_sequences,ocsort,com3d_reciprocal_guard,HOTA,36.53185303880642,36.53185303880642,0.0,True
official_detector,all_sequences,ocsort,com3d_reciprocal_guard,AssA,49.240326489503246,49.240326489503246,0.0,True
official_detector,all_sequences,ocsort,com3d_reciprocal_guard,IDF1,38.08522975758765,38.08522975758765,0.0,True
official_detector,all_sequences,ocsort,com3d_reciprocal_guard,IDSW,3204,3204,0.0,True
official_detector,all_sequences,ocsort,com3d_reciprocal_guard,MOTA,27.69874601054167,27.69874601054166,7.105427357601002e-15,False
official_detector,all_sequences,ocsort,com3d_reciprocal_guard,TP,77718,77718,0.0,True
official_detector,all_sequences,ocsort,com3d_reciprocal_guard,FP,7846,7846,0.0,True
official_detector,all_sequences,ocsort,com3d_reciprocal_guard,FN,118476,118476,0.0,True
official_detector,all_sequences,ocsort,com3d_reciprocal_guard,predicted_boxes,85564,85564,0.0,True
official_detector,all_sequences,deepocsort,no_refinement,HOTA,53.91984765086411,53.91984765086411,0.0,True
official_detector,all_sequences,deepocsort,no_refinement,AssA,67.00430350974733,67.00430350974733,0.0,True
official_detector,all_sequences,deepocsort,no_refinement,IDF1,63.08515652334443,63.08515652334443,0.0,True
official_detector,all_sequences,deepocsort,no_refinement,IDSW,1370,1370,0.0,True
official_detector,all_sequences,deepocsort,no_refinement,MOTA,49.77632693847167,49.776326938471676,7.105427357601002e-15,False
official_detector,all_sequences,deepocsort,no_refinement,TP,123517,123517,0.0,True
official_detector,all_sequences,deepocsort,no_refinement,FP,12281,12281,0.0,True
official_detector,all_sequences,deepocsort,no_refinement,FN,72677,72677,0.0,True
official_detector,all_sequences,deepocsort,no_refinement,predicted_boxes,135798,135798,0.0,True
official_detector,all_sequences,deepocsort,geometry_greedy,HOTA,54.25346154530702,54.25346154530702,0.0,True
