AssA,DetA,HOTA,IDF1,IDSW,MOTA,method,scene_group,stream_count,tracker
82.6556187380591,92.237663377297,87.24185058362964,90.21870795614842,27,98.83957605919026,geometry_greedy,01,4,bytetrack
81.90570000989395,92.237663377297,86.84312466930513,89.59274104937263,28,98.8375617170744,geometry_reid_greedy,01,4,bytetrack
88.74344255383569,92.237663377297,90.40365236755662,95.38427015650717,37,98.82031351327778,no_refinement,01,4,bytetrack
81.9012255633839,92.237663377297,86.83768976524664,89.5384090797492,29,98.83567321427941,partial_hungarian_u080,01,4,bytetrack
81.71329369538381,92.237663377297,86.7377455376619,89.36955988084485,29,98.83567321427941,partial_hungarian_u100,01,4,bytetrack
82.13040532819032,92.237663377297,86.96492044038021,89.85606185614282,28,98.8375617170744,regr_final,01,4,bytetrack
89.12446888353719,92.237663377297,90.5969786563752,95.8011343686785,33,98.8279933637786,regr_final_motion_always,01,4,bytetrack
81.90570000989395,92.237663377297,86.84312466930513,89.59274104937263,28,98.8375617170744,regr_final_no_gap,01,4,bytetrack
82.13040532819032,92.237663377297,86.96492044038021,89.85606185614282,28,98.8375617170744,regr_final_no_motion,01,4,bytetrack
82.12404846277543,92.237663377297,86.96155345165496,89.85986168135085,28,98.8375617170744,regr_final_no_reciprocal,01,4,bytetrack
82.13040532819032,92.237663377297,86.96492044038021,89.85606185614282,28,98.8375617170744,regr_t,01,4,bytetrack
82.13040532819032,92.237663377297,86.96492044038021,89.85606185614282,28,98.8375617170744,regr_tg_old,01,4,bytetrack
82.19996385107004,92.237663377297,87.00469843163064,89.71525965497378,25,98.84322722545934,s2_h_cond_w3_endpoint_c50_r100,01,4,bytetrack
86.31612822005177,97.66852949048459,91.79431785767228,90.38356564158507,31,97.60859263600985,geometry_greedy,01,4,ocsort
85.57662282940919,97.66852949048459,91.39462115925147,89.68341594646057,29,97.61262132024157,geometry_reid_greedy,01,4,ocsort
92.33168606817097,97.66852949048459,94.94737317848823,94.84972249821183,36,97.59902428271404,no_refinement,01,4,ocsort
85.73894473297388,97.66852949048459,91.48355160153847,89.63652743927985,31,97.60859263600985,partial_hungarian_u080,01,4,ocsort
85.34975640282002,97.66852949048459,91.27687866668006,89.35892801336301,31,97.60859263600985,partial_hungarian_u100,01,4,ocsort
89.01563083327494,97.66852949048459,93.18337042565538,92.54354416930903,29,97.61262132024157,regr_final,01,4,ocsort
92.30972670825872,97.66852949048459,94.93580154160915,95.06034163405805,32,97.60670413321486,regr_final_motion_always,01,4,ocsort
88.79270255170846,97.66852949048459,93.05981220439962,92.33205839290397,29,97.61262132024157,regr_final_no_gap,01,4,ocsort
86.0269006454036,97.66852949048459,91.63922700846796,90.11018291031132,29,97.61262132024157,regr_final_no_motion,01,4,ocsort
89.01563083327494,97.66852949048459,93.18337042565538,92.54354416930903,29,97.61262132024157,regr_final_no_reciprocal,01,4,ocsort
86.0269006454036,97.66852949048459,91.63922700846796,90.11018291031132,29,97.61262132024157,regr_t,01,4,ocsort
88.44728546783273,97.66852949048459,92.89158243343397,92.00753455026714,29,97.61262132024157,regr_tg_old,01,4,ocsort
88.31502366552128,97.66852949048459,92.82498924342428,91.73996138971128,27,97.61627248651065,s2_h_cond_w3_endpoint_c50_r100,01,4,ocsort
89.30371601172632,93.93810411301976,91.53418825734879,94.71637070394596,9,99.05678642809656,geometry_greedy,02,4,bytetrack
91.58332199446608,93.93810411301976,92.70346836283596,96.65885406056623,6,99.08016246778365,geometry_reid_greedy,02,4,bytetrack
89.63420325349102,93.93810411301976,91.6969823429088,94.24351635721925,21,98.9601510037414,no_refinement,02,4,bytetrack
92.69191241533123,93.93810411301976,93.26157417577849,97.68498842003392,6,99.08016246778365,partial_hungarian_u080,02,4,bytetrack
91.58332199446608,93.93810411301976,92.70346836283596,96.65885406056623,6,99.08016246778365,partial_hungarian_u100,02,4,bytetrack
93.26012805233732,93.93810411301976,93.56138035229895,98.08862316101806,8,99.06476854814764,regr_final,02,4,bytetrack
91.08629425524379,93.93810411301976,92.44829084411214,95.88787604391557,15,99.00829871917054,regr_final_motion_always,02,4,bytetrack
93.26012805233732,93.93810411301976,93.56138035229895,98.08862316101806,8,99.06476854814764,regr_final_no_gap,02,4,bytetrack
91.58332199446608,93.93810411301976,92.70346836283596,96.65885406056623,6,99.08016246778365,regr_final_no_motion,02,4,bytetrack
93.26012805233732,93.93810411301976,93.56138035229895,98.08862316101806,8,99.06476854814764,regr_final_no_reciprocal,02,4,bytetrack
91.58332199446608,93.93810411301976,92.70346836283596,96.65885406056623,6,99.08016246778365,regr_t,02,4,bytetrack
94.71273154324558,93.93810411301976,94.30020635553092,99.29141412284517,4,99.09498606695354,regr_tg_old,02,4,bytetrack
94.71273154324558,93.93810411301976,94.30020635553092,99.29141412284517,4,99.09498606695354,s2_h_cond_w3_endpoint_c50_r100,02,4,bytetrack
89.13600779250844,97.78455785020219,93.3487509325972,92.33837148060246,13,97.68313190162354,geometry_greedy,02,4,ocsort
92.93131753625079,97.78455785020219,95.30239933672614,95.01671966171294,7,97.7302239744946,geometry_reid_greedy,02,4,ocsort
91.63560250076127,97.78455785020219,94.63250899551824,93.59777914184716,19,97.63489918782017,no_refinement,02,4,ocsort
94.3895300834156,97.78455785020219,96.03489426958689,96.55840373542597,7,97.7313646154269,partial_hungarian_u080,02,4,ocsort
93.78671070146054,97.78455785020219,95.74373697577238,95.79545289292494,5,97.74618821459677,partial_hungarian_u100,02,4,ocsort
93.10017001335893,97.78455785020219,95.39161299502905,94.98824014205294,13,97.68304690324932,regr_final,02,4,ocsort
