method,model,dataset,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv11n,yolo11n.pt,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_184146_yolo11n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_184146_yolo11n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_184146_yolo11n_visdrone_seed42/ultralytics/weights/best.pt,1.0,0.06183,0.11761,,,0.40799,0.1773,0.24718217293991016,1.0,0.06183,0.11761,,,0.40799,0.1773,0.24718217293991016,,,,,
YOLOv8n,yolov8n.pt,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_184146_yolov8n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_184146_yolov8n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260515_184146_yolov8n_visdrone_seed42/ultralytics/weights/best.pt,1.0,0.06303,0.11966,,,0.2106,0.18338,0.19604968780141124,1.0,0.06303,0.11966,,,0.2106,0.18338,0.19604968780141124,,,,,
