method,model,dataset,seed_count,seeds,analysis_level,best_AP_mean,best_AP_std,best_AP_n,best_AP_mean_std,best_AP50_mean,best_AP50_std,best_AP50_n,best_AP50_mean_std,best_recall_mean,best_recall_std,best_recall_n,best_recall_mean_std,best_F1_mean,best_F1_std,best_F1_n,best_F1_mean_std
YOLOv11n,yolo11n.pt,VisDrone2019-DET,1,42,preliminary,0.06183,0.0,1,0.0618 +/- 0.0000,0.11761,0.0,1,0.1176 +/- 0.0000,0.1773,0.0,1,0.1773 +/- 0.0000,0.24718217293991016,0.0,1,0.2472 +/- 0.0000
YOLOv8n,yolov8n.pt,VisDrone2019-DET,1,42,preliminary,0.06303,0.0,1,0.0630 +/- 0.0000,0.11966,0.0,1,0.1197 +/- 0.0000,0.18338,0.0,1,0.1834 +/- 0.0000,0.19604968780141124,0.0,1,0.1960 +/- 0.0000
