AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_class_instances,invalid_sequences,method,predicted_boxes,scope,sequence_count,tracker,valid_gt_boxes,valid_output
45.00109780277799,48.41697282632901,60121,214,11710,45.60929144223013,48.48904342348299,17296,47.82912175365204,105407,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,105621,confirmation38,38,bytetrack,165528,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,3,3,aflink_official,,all_sequences,50,ocsort,,False
46.45788076946001,36.27189091823542,18180,0,896,39.43148388306748,37.543380021285955,1554,31.665817788585347,12486,equal_sequence_mean_metrics_total_counts,0,0,aflink_official,12486,legacy12,12,ocsort,30666,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,3,3,aflink_official,,confirmation38,38,ocsort,,False
53.638820450734045,40.925425846227526,105736,0,3875,45.91677836089797,45.25381478226733,4441,38.547151138260745,90458,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,90458,all_sequences,50,ocsort,196194,True
48.99413074832993,36.27189091823542,18180,0,896,40.64960849973915,40.19148279707926,1063,33.21734998569185,12486,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,12486,legacy12,12,ocsort,30666,True
55.105564567282705,42.394963191909234,87556,0,2979,47.58009515915865,46.85244593548462,3378,40.23024623907196,77972,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,77972,confirmation38,38,ocsort,165528,True
53.68158973569891,40.92238062742084,105736,0,3875,45.90282140828891,45.4071021030388,4122,38.65971456012833,90458,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,90458,all_sequences,50,ocsort,196194,True
48.974187845936946,36.27189091823542,18180,0,896,40.62151735052911,40.48767589250263,1004,33.4346522873448,12486,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,12486,legacy12,12,ocsort,30666,True
55.1681377008869,42.39095632505833,87556,0,2979,47.57060163705515,46.960605116892324,3118,40.309734225217866,77972,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,77972,confirmation38,38,ocsort,165528,True
54.445377453356286,40.92587822903393,105736,0,3875,46.25781198007123,46.18531957078042,3547,39.11088258973838,90458,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,90458,all_sequences,50,ocsort,196194,True
49.72477760982584,36.27189091823542,18180,0,896,41.01650178009236,40.99497284109595,866,33.74747359748226,12486,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,12486,legacy12,12,ocsort,30666,True
55.936093193418536,42.39555843244396,87556,0,2979,47.91296256953824,47.82437643278605,2681,40.8045906925561,77972,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,77972,confirmation38,38,ocsort,165528,True
51.43059886705896,40.93712164766655,105736,0,3875,44.91677541362014,42.96378760853253,6119,37.416514138773,90458,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,90458,all_sequences,50,ocsort,196194,True
46.35936555343258,36.27189091823542,18180,0,896,39.36660682833956,37.451403971629865,1556,31.661218779644898,12486,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,12486,legacy12,12,ocsort,30666,True
53.03204096609885,42.410352404329004,87556,0,2979,46.669460230024534,44.70454033597546,4563,39.23397583112926,77972,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,77972,confirmation38,38,ocsort,165528,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,4,4,aflink_official,,all_sequences,50,deepocsort,,False
