AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_class_instances,invalid_sequences,method,predicted_boxes,scope,sequence_count,tracker,valid_gt_boxes,valid_output
46.71057807507159,48.411134382775124,60121,214,11710,46.659916684765726,50.87367789082304,15149,49.2804501916838,105407,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_reciprocal_no_guard,105621,confirmation38,38,bytetrack,165528,True
44.68986006506536,46.25335948027518,73372,310,13455,44.19608175318481,47.43747380136744,20056,46.124629032135296,122822,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,123132,all_sequences,50,bytetrack,196194,True
43.704273895642025,39.40191721777138,13251,96,1745,39.72091773787459,44.10750333133487,2760,40.72706874733229,17415,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,17511,legacy12,12,bytetrack,30666,True
45.00109780277799,48.41697282632901,60121,214,11710,45.60929144223013,48.48904342348299,17296,47.82912175365204,105407,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,105621,confirmation38,38,bytetrack,165528,True
53.638820450734045,40.925425846227526,105736,0,3875,45.91677836089797,45.25381478226733,4441,38.547151138260745,90458,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,90458,all_sequences,50,ocsort,196194,True
48.99413074832993,36.27189091823542,18180,0,896,40.64960849973915,40.19148279707926,1063,33.21734998569185,12486,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,12486,legacy12,12,ocsort,30666,True
55.105564567282705,42.394963191909234,87556,0,2979,47.58009515915865,46.85244593548462,3378,40.23024623907196,77972,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,77972,confirmation38,38,ocsort,165528,True
53.68158973569891,40.92238062742084,105736,0,3875,45.90282140828891,45.4071021030388,4122,38.65971456012833,90458,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,90458,all_sequences,50,ocsort,196194,True
48.974187845936946,36.27189091823542,18180,0,896,40.62151735052911,40.48767589250263,1004,33.4346522873448,12486,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,12486,legacy12,12,ocsort,30666,True
55.1681377008869,42.39095632505833,87556,0,2979,47.57060163705515,46.960605116892324,3118,40.309734225217866,77972,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,77972,confirmation38,38,ocsort,165528,True
53.46014263503726,40.92276113668766,105736,0,3875,45.83232352140251,45.078855903393496,4551,38.455217617259635,90458,equal_sequence_mean_metrics_total_counts,0,0,geometry_reciprocal_guard,90458,all_sequences,50,ocsort,196194,True
48.856695255325576,36.27189091823542,18180,0,896,40.585308555143094,40.083822944154626,1091,33.16486669679514,12486,equal_sequence_mean_metrics_total_counts,0,0,geometry_reciprocal_guard,12486,legacy12,12,ocsort,30666,True
54.91386286020936,42.39145699514626,87556,0,2979,47.489275616010744,46.65623473262682,3460,40.12585475003789,77972,equal_sequence_mean_metrics_total_counts,0,0,geometry_reciprocal_guard,77972,confirmation38,38,ocsort,165528,True
54.54920262321805,40.92710552191485,105736,0,3875,46.3060761031937,46.24969200925807,3481,39.10157799082912,90458,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_greedy_guard,90458,all_sequences,50,ocsort,196194,True
49.873150436788556,36.2755154211475,18180,0,896,41.11340903876948,41.10566707644133,876,33.69496320501011,12486,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_greedy_guard,12486,legacy12,12,ocsort,30666,True
56.02585068209053,42.39602871163085,87556,0,2979,47.94586570248557,47.87412093541074,2605,40.808930028456174,77972,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_greedy_guard,77972,confirmation38,38,ocsort,165528,True
53.638820450734045,40.925425846227526,105736,0,3875,45.91677836089797,45.25381478226733,4441,38.547151138260745,90458,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_reciprocal_no_guard,90458,all_sequences,50,ocsort,196194,True
48.99413074832993,36.27189091823542,18180,0,896,40.64960849973915,40.19148279707926,1063,33.21734998569185,12486,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_reciprocal_no_guard,12486,legacy12,12,ocsort,30666,True
55.105564567282705,42.394963191909234,87556,0,2979,47.58009515915865,46.85244593548462,3378,40.23024623907196,77972,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_reciprocal_no_guard,77972,confirmation38,38,ocsort,165528,True
51.43059886705896,40.93712164766655,105736,0,3875,44.91677541362014,42.96378760853253,6119,37.416514138773,90458,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,90458,all_sequences,50,ocsort,196194,True
