bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_repeats,bootstrap_seed,improved,max_delta,mean_delta,median_delta,method,metric,min_delta,scope,sequence_count,tracker,unchanged,worsened
-0.04850869674587817,0.5011263625763565,10000,20260914,8,5.805172143173131,0.18307752166711203,0.0,aflink_official,AssA,-1.1933781365788718,all_sequences,47,bytetrack,31,8
-0.018073675844187436,0.2266645659950348,10000,20260914,8,2.5329398473702867,0.08554317291094746,0.0,aflink_official,HOTA,-0.5446577400988417,all_sequences,47,bytetrack,31,8
0.03035922061249922,0.4837389009370023,10000,20260914,9,4.465493910690128,0.2263141927396934,0.0,aflink_official,IDF1,-0.6058073950282079,all_sequences,47,bytetrack,35,3
-0.7872340425531915,-0.14893617021276595,10000,20260914,8,0.0,-0.44680851063829785,0.0,aflink_official,IDSW,-4.0,all_sequences,47,bytetrack,39,0
0.9752942414429718,1.997525477793061,10000,20260914,38,6.4280899968069605,1.4665901453914443,0.7822408418395053,com3d_reciprocal_guard,AssA,-1.1415255004060896,all_sequences,50,bytetrack,3,9
0.5008199941733023,1.0255520255069512,10000,20260914,38,3.2770334325206747,0.7535612268216972,0.35196369925037274,com3d_reciprocal_guard,HOTA,-0.6102451866500402,all_sequences,50,bytetrack,3,9
1.2029231194618941,2.137230574559425,10000,20260914,41,6.33879781420765,1.6510605987276217,1.3475844336378462,com3d_reciprocal_guard,IDF1,-0.4595780238145011,all_sequences,50,bytetrack,5,4
-39.0,-18.359500000000008,10000,20260914,45,0.0,-27.78,-15.5,com3d_reciprocal_guard,IDSW,-203.0,all_sequences,50,bytetrack,5,0
1.1595516817261895,2.610147298164207,10000,20260914,36,10.019070639353636,1.854454204451625,1.125554182900261,geometry_greedy,AssA,-2.7831388200984506,all_sequences,50,bytetrack,3,11
0.5823547388311504,1.4729340672057256,10000,20260914,36,8.786945225132603,0.9905954374322257,0.5940002003728946,geometry_greedy,HOTA,-1.549571532902327,all_sequences,50,bytetrack,3,11
1.6217186940456108,3.4485575571010956,10000,20260914,39,19.890710382513664,2.4387055662555652,1.7438563103302975,geometry_greedy,IDF1,-0.6454587367450415,all_sequences,50,bytetrack,6,5
-68.58,-30.879500000000007,10000,20260914,45,0.0,-48.32,-21.5,geometry_greedy,IDSW,-311.0,all_sequences,50,bytetrack,5,0
1.246576616500521,2.4487326895635033,10000,20260914,38,7.81785982788621,1.816986134771436,1.2478678759136592,geometry_reid_hungarian,AssA,-1.2328400027103896,all_sequences,50,bytetrack,3,9
0.6293800122857871,1.26648307685789,10000,20260914,38,4.478869730637912,0.9323502684195384,0.4977190188903329,geometry_reid_hungarian,HOTA,-0.5145135382981465,all_sequences,50,bytetrack,3,9
