bootstrap_ci95_lower,bootstrap_ci95_upper,bootstrap_repeats,bootstrap_seed,improved,max_delta,mean_delta,median_delta,method,metric,min_delta,scope,sequence_count,tracker,unchanged,worsened
-0.010237129766577504,0.48287534872978816,10000,20260914,11,5.075812015878803,0.19891848132677872,0.0,aflink_official,AssA,-1.0054502592759462,all_sequences,48,bytetrack,33,4
-0.006073658677907001,0.24285027148963517,10000,20260914,11,2.3877544726711335,0.10269536549551901,0.0,aflink_official,HOTA,-0.6126822946864294,all_sequences,48,bytetrack,33,4
0.06880525596155332,0.5160284092252763,10000,20260914,12,4.370137394471115,0.2633479775125715,0.0,aflink_official,IDF1,-0.38888253459911226,all_sequences,48,bytetrack,33,3
-1.0625,-0.22916666666666666,10000,20260914,10,0.0,-0.6041666666666666,0.0,aflink_official,IDSW,-7.0,all_sequences,48,bytetrack,38,0
1.1529524666206346,2.197063811332981,10000,20260914,45,9.168542942105454,1.646680775516169,1.2930426252584866,com3d_reciprocal_guard,AssA,-1.9088070938246773,all_sequences,50,bytetrack,2,3
0.7046172703054189,1.3221047670039607,10000,20260914,45,4.266077495604989,0.9986264414133391,0.6534792976734272,com3d_reciprocal_guard,HOTA,-1.0215666452463523,all_sequences,50,bytetrack,2,3
1.7886257474638805,2.822124153678372,10000,20260914,46,8.37609667273631,2.279340482167637,1.8451010694354553,com3d_reciprocal_guard,IDF1,0.0,all_sequences,50,bytetrack,4,0
-69.6205,-34.779500000000006,10000,20260914,46,0.0,-50.9,-33.0,com3d_reciprocal_guard,IDSW,-303.0,all_sequences,50,bytetrack,4,0
1.6342266469316946,2.9832510329175763,10000,20260914,45,9.91898512103635,2.276110589081152,1.5091106181702845,geometry_greedy,AssA,-1.9088070938246773,all_sequences,50,bytetrack,0,5
0.9683724118102109,1.8844813131853233,10000,20260914,45,7.99402276100186,1.4006310153824157,0.9829763800676368,geometry_greedy,HOTA,-0.8047330224314493,all_sequences,50,bytetrack,0,5
2.735347678099994,4.512484762796008,10000,20260914,47,17.8494623655914,3.5806302825117564,2.572566700031576,geometry_greedy,IDF1,0.0,all_sequences,50,bytetrack,3,0
-125.4805,-61.19950000000001,10000,20260914,47,0.0,-91.44,-50.5,geometry_greedy,IDSW,-451.0,all_sequences,50,bytetrack,3,0
1.6476244734028442,2.846659420970607,10000,20260914,45,9.873087674426621,2.214826687638266,1.7651504511425475,geometry_reid_hungarian,AssA,-1.9187256246004551,all_sequences,50,bytetrack,2,3
0.9857364953197694,1.7397525342755267,10000,20260914,45,4.814059099531919,1.3516912380807498,1.0325462410956305,geometry_reid_hungarian,HOTA,-0.8085841222101209,all_sequences,50,bytetrack,2,3
2.679822595857905,4.05434628005381,10000,20260914,46,9.67741935483871,3.3460572693755366,2.92411928800297,geometry_reid_hungarian,IDF1,0.0,all_sequences,50,bytetrack,4,0
