accepted_correct,accepted_false,accepted_unknown,all_accepted_coverage,eligible_source_tracklets,known_link_precision,method,scope,source_size_bin,tracker
2132,690,0,0.5967434975681962,4729,0.7554925584691708,geometry_reid_greedy_guard,all_sequences,tiny_lt_32sq,ocsort
0,1,0,0.07142857142857142,14,0.0,geometry_reid_hungarian,all_sequences,larger_ge_96sq,ocsort
384,183,0,0.2823705179282869,2008,0.6772486772486772,geometry_reid_hungarian,all_sequences,small_32sq_to_96sq,ocsort
2105,672,0,0.5872277437090294,4729,0.7580122434281599,geometry_reid_hungarian,all_sequences,tiny_lt_32sq,ocsort
0,1,0,0.07142857142857142,14,0.0,geometry_reid_reciprocal_no_guard,all_sequences,larger_ge_96sq,ocsort
321,190,0,0.2544820717131474,2008,0.6281800391389433,geometry_reid_reciprocal_no_guard,all_sequences,small_32sq_to_96sq,ocsort
1340,708,0,0.4330725311905265,4729,0.654296875,geometry_reid_reciprocal_no_guard,all_sequences,tiny_lt_32sq,ocsort
23,15,0,0.026722925457102673,1422,0.6052631578947368,aflink_official,confirmation38,small_32sq_to_96sq,bytetrack
10,41,29,0.009082652134423252,8808,0.19607843137254902,aflink_official,confirmation38,tiny_lt_32sq,bytetrack
0,0,1,0.08333333333333333,12,,com3d_reciprocal_guard,confirmation38,larger_ge_96sq,bytetrack
118,32,132,0.19831223628691982,1422,0.7866666666666666,com3d_reciprocal_guard,confirmation38,small_32sq_to_96sq,bytetrack
142,177,3191,0.39850136239782014,8808,0.445141065830721,com3d_reciprocal_guard,confirmation38,tiny_lt_32sq,bytetrack
0,0,1,0.08333333333333333,12,,geometry_greedy,confirmation38,larger_ge_96sq,bytetrack
131,47,170,0.24472573839662448,1422,0.7359550561797753,geometry_greedy,confirmation38,small_32sq_to_96sq,bytetrack
210,428,5287,0.672683923705722,8808,0.329153605015674,geometry_greedy,confirmation38,tiny_lt_32sq,bytetrack
0,0,1,0.08333333333333333,12,,geometry_reciprocal_guard,confirmation38,larger_ge_96sq,bytetrack
116,40,144,0.2109704641350211,1422,0.7435897435897436,geometry_reciprocal_guard,confirmation38,small_32sq_to_96sq,bytetrack
138,178,3219,0.40133969118982743,8808,0.43670886075949367,geometry_reciprocal_guard,confirmation38,tiny_lt_32sq,bytetrack
0,0,1,0.08333333333333333,12,,geometry_reid_greedy_guard,confirmation38,larger_ge_96sq,bytetrack
138,29,160,0.229957805907173,1422,0.8263473053892215,geometry_reid_greedy_guard,confirmation38,small_32sq_to_96sq,bytetrack
284,485,5222,0.6801771117166212,8808,0.3693107932379714,geometry_reid_greedy_guard,confirmation38,tiny_lt_32sq,bytetrack
0,0,1,0.08333333333333333,12,,geometry_reid_hungarian,confirmation38,larger_ge_96sq,bytetrack
123,29,145,0.2088607594936709,1422,0.8092105263157895,geometry_reid_hungarian,confirmation38,small_32sq_to_96sq,bytetrack
228,380,4838,0.6183015440508629,8808,0.375,geometry_reid_hungarian,confirmation38,tiny_lt_32sq,bytetrack
0,0,1,0.08333333333333333,12,,geometry_reid_reciprocal_no_guard,confirmation38,larger_ge_96sq,bytetrack
118,32,132,0.19831223628691982,1422,0.7866666666666666,geometry_reid_reciprocal_no_guard,confirmation38,small_32sq_to_96sq,bytetrack
142,177,3191,0.39850136239782014,8808,0.445141065830721,geometry_reid_reciprocal_no_guard,confirmation38,tiny_lt_32sq,bytetrack
3,5,0,0.010973936899862825,729,0.375,aflink_official,confirmation38,small_32sq_to_96sq,deepocsort
41,62,0,0.045474613686534215,2265,0.39805825242718446,aflink_official,confirmation38,tiny_lt_32sq,deepocsort
36,20,0,0.07681755829903979,729,0.6428571428571429,com3d_reciprocal_guard,confirmation38,small_32sq_to_96sq,deepocsort
418,322,0,0.32671081677704195,2265,0.5648648648648649,com3d_reciprocal_guard,confirmation38,tiny_lt_32sq,deepocsort
