class_name,duplicate_frame_identity_count,family,geometry_multiset_preserved,protocol,removed_or_rejected_count,rounded_scalar_values,row_delta_from_input,rows,selected_edges,sequence,stage,tracker,unscoped_cross_class_id_reuse_count
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,8517,,data24-1,post_class_merge_audit,deepocsort,743
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,4475,,data24-1,post_class_merge_audit,ocsort,228
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,70,,data27-1,post_class_merge_audit,bytetrack,1
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,125,,data27-1,post_class_merge_audit,deepocsort,56
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,24,,data27-1,post_class_merge_audit,ocsort,3
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,144,,data31-1,post_class_merge_audit,bytetrack,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,905,,data31-1,post_class_merge_audit,deepocsort,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,30,,data31-1,post_class_merge_audit,ocsort,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,273,,data33-1,post_class_merge_audit,bytetrack,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,588,,data33-1,post_class_merge_audit,deepocsort,0
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,95,,data33-1,post_class_merge_audit,ocsort,0
pedestrian,0,confirmation38,True,oracle_aabb,0,0,0,4738,41,data34-1,input,bytetrack,
pedestrian,2,confirmation38,True,oracle_aabb,0,0,0,4738,41,data34-1,post_id_remap,bytetrack,
pedestrian,0,confirmation38,False,oracle_aabb,2,0,-2,4736,41,data34-1,post_native_deduplicate,bytetrack,
pedestrian,0,confirmation38,False,oracle_aabb,2,18189,-2,4736,41,data34-1,post_save_roundtrip,bytetrack,
pedestrian,0,confirmation38,True,oracle_aabb,2,0,0,4738,41,data34-1,overlap_safe_adapter,bytetrack,
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,5768,,data34-1,post_class_merge_audit,bytetrack,217
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,10226,,data34-1,post_class_merge_audit,deepocsort,729
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1117,,data34-1,post_class_merge_audit,ocsort,139
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,1216,,data34-2,post_class_merge_audit,bytetrack,183
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,2009,,data34-2,post_class_merge_audit,deepocsort,659
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,878,,data34-2,post_class_merge_audit,ocsort,171
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,736,,data34-3,post_class_merge_audit,bytetrack,52
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,2014,,data34-3,post_class_merge_audit,deepocsort,153
ALL_CLASS_SCOPED,0,confirmation38,,oracle_aabb,,,,292,,data34-3,post_class_merge_audit,ocsort,26
pedestrian,0,confirmation38,True,oracle_aabb,0,0,0,3584,2,data36-10,input,bytetrack,
pedestrian,1,confirmation38,True,oracle_aabb,0,0,0,3584,2,data36-10,post_id_remap,bytetrack,
pedestrian,0,confirmation38,False,oracle_aabb,1,0,-1,3583,2,data36-10,post_native_deduplicate,bytetrack,
pedestrian,0,confirmation38,False,oracle_aabb,1,13308,-1,3583,2,data36-10,post_save_roundtrip,bytetrack,
pedestrian,0,confirmation38,True,oracle_aabb,1,0,0,3584,2,data36-10,overlap_safe_adapter,bytetrack,
pedestrian,0,confirmation38,True,oracle_aabb,0,0,0,11655,25,data36-10,input,deepocsort,
pedestrian,1,confirmation38,True,oracle_aabb,0,0,0,11655,25,data36-10,post_id_remap,deepocsort,
pedestrian,0,confirmation38,False,oracle_aabb,1,0,-1,11654,25,data36-10,post_native_deduplicate,deepocsort,
