AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_unknown,box_preserving,class_instances,duplicate_frame_identity_count,duplicate_free,eligible_source_tracklets,family,input_rows,method,output_rows,predicted_boxes,protocol,sequence,tracker,valid_common_box_protocol,valid_gt_boxes
17.230346561988778,55.178320569014886,1176,55,304,30.754098265632067,34.73792394655704,601,53.80736258194655,2790,1,3,0,True,8,0,True,238,legacy12,2845,aflink_cached_native_dedup,2845,2845,oracle_aabb,data28-1,bytetrack,True,3966
17.22940396837527,55.18324467850091,1176,55,304,30.75486041509509,34.73792394655704,601,53.80736258194655,2790,1,3,0,False,8,0,True,238,legacy12,2845,aflink_cached_native_saved,2845,2845,oracle_aabb,data28-1,bytetrack,False,3966
17.230346561988778,55.178320569014886,1176,55,304,30.754098265632067,34.73792394655704,601,53.80736258194655,2790,1,3,0,True,8,0,True,238,legacy12,2845,aflink_cached_no_dedup,2845,2845,oracle_aabb,data28-1,bytetrack,True,3966
17.230346561988778,55.178320569014886,1176,55,304,30.754098265632067,34.73792394655704,601,53.80736258194655,2790,1,3,0,True,8,0,True,238,legacy12,2845,aflink_cached_overlap_safe,2845,2845,oracle_aabb,data28-1,bytetrack,True,3966
18.14532796265034,55.178320569014886,1176,55,304,31.568483359813747,36.734693877551024,571,54.563792233988906,2790,12,16,53,True,8,0,True,238,legacy12,2845,com3d_reciprocal_guard,2845,2845,oracle_aabb,data28-1,bytetrack,True,3966
18.83581632095986,55.178320569014886,1176,55,304,32.17015010318135,38.29099985317868,522,55.79929399899143,2790,19,28,74,True,8,0,True,238,legacy12,2845,controlled_cost_greedy,2845,2845,oracle_aabb,data28-1,bytetrack,True,3966
18.41718756807034,55.178320569014886,1176,55,304,31.804145464966606,36.99897225077081,565,54.71507816439738,2790,14,17,56,True,8,0,True,238,legacy12,2845,controlled_cost_reciprocal,2845,2845,oracle_aabb,data28-1,bytetrack,True,3966
18.05930409729111,55.178320569014886,1176,55,304,31.496287186707644,37.82117163412128,534,55.49672213817448,2790,17,33,80,True,8,0,True,238,legacy12,2845,geometry_greedy,2845,2845,oracle_aabb,data28-1,bytetrack,True,3966
18.829242587253866,55.178320569014886,1176,55,304,32.16201192134582,38.4965496990163,519,55.87493696419566,2790,19,29,73,True,8,0,True,238,legacy12,2845,geometry_reid_greedy_guard,2845,2845,oracle_aabb,data28-1,bytetrack,True,3966
18.109168044356135,55.178320569014886,1176,55,304,31.539087728837263,36.793422404933196,564,54.74029248613213,2790,15,26,66,True,8,0,True,238,legacy12,2845,geometry_reid_hungarian,2845,2845,oracle_aabb,data28-1,bytetrack,True,3966
16.829566687274657,55.178320569014886,1176,55,304,30.389773759204598,33.88636029951549,601,53.80736258194655,2790,0,0,0,True,8,0,True,238,legacy12,2845,no_refinement,2845,2845,oracle_aabb,data28-1,bytetrack,True,3966
94.63322806660976,84.11497730711042,630,0,14,89.21923464882158,90.60531361270885,13,83.78719112455875,3336,0,0,0,True,8,0,True,47,legacy12,3336,aflink_cached_native_dedup,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
94.63322806660976,84.11497730711042,630,0,14,89.21923464882158,90.60531361270885,13,83.78719112455875,3336,0,0,0,True,8,0,True,47,legacy12,3336,aflink_cached_native_saved,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
94.63322806660976,84.11497730711042,630,0,14,89.21923464882158,90.60531361270885,13,83.78719112455875,3336,0,0,0,True,8,0,True,47,legacy12,3336,aflink_cached_no_dedup,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
94.63322806660976,84.11497730711042,630,0,14,89.21923464882158,90.60531361270885,13,83.78719112455875,3336,0,0,0,True,8,0,True,47,legacy12,3336,aflink_cached_overlap_safe,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,com3d_reciprocal_guard,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,controlled_cost_greedy,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,controlled_cost_reciprocal,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
94.61435430448056,84.11497730711042,630,0,14,89.21033721070832,90.60531361270885,13,83.78719112455875,3336,0,2,0,True,8,0,True,47,legacy12,3336,geometry_greedy,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,geometry_reid_greedy_guard,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
94.61489932301119,84.11497730711042,630,0,14,89.21059415489634,90.60531361270885,13,83.78719112455875,3336,0,1,0,True,8,0,True,47,legacy12,3336,geometry_reid_hungarian,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
94.63322806660976,84.11497730711042,630,0,14,89.21923464882158,90.60531361270885,13,83.78719112455875,3336,0,0,0,True,8,0,True,47,legacy12,3336,no_refinement,3336,3336,oracle_aabb,data28-1,deepocsort,True,3966
13.656633075941835,34.26626323751892,2607,0,295,21.632424365253904,22.910798122065728,308,26.500252143217345,1359,0,2,0,True,8,0,True,197,legacy12,1359,aflink_cached_native_dedup,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
13.656633075941835,34.26626323751892,2607,0,295,21.632424365253904,22.910798122065728,308,26.500252143217345,1359,0,2,0,True,8,0,True,197,legacy12,1359,aflink_cached_native_saved,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
13.656633075941835,34.26626323751892,2607,0,295,21.632424365253904,22.910798122065728,308,26.500252143217345,1359,0,2,0,True,8,0,True,197,legacy12,1359,aflink_cached_no_dedup,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
13.656633075941835,34.26626323751892,2607,0,295,21.632424365253904,22.910798122065728,308,26.500252143217345,1359,0,2,0,True,8,0,True,197,legacy12,1359,aflink_cached_overlap_safe,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
13.71566877404598,34.26626323751892,2607,0,295,21.679130902554142,23.624413145539904,284,27.105395864851232,1359,15,60,0,True,8,0,True,197,legacy12,1359,com3d_reciprocal_guard,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
14.911063701215246,34.26626323751892,2607,0,295,22.604124268311185,24.976525821596244,266,27.55925365607665,1359,29,79,0,True,8,0,True,197,legacy12,1359,controlled_cost_greedy,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
15.03133431694108,34.26626323751892,2607,0,295,22.69510208206728,24.413145539906104,275,27.332324760463944,1359,22,54,0,True,8,0,True,197,legacy12,1359,controlled_cost_reciprocal,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
13.060147168043839,34.26626323751892,2607,0,295,21.154726204347988,23.43661971830986,266,27.55925365607665,1359,18,105,0,True,8,0,True,197,legacy12,1359,geometry_greedy,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
15.270845616738518,34.26626323751892,2607,0,295,22.875200890105294,24.826291079812208,263,27.634896621280884,1359,31,76,0,True,8,0,True,197,legacy12,1359,geometry_reid_greedy_guard,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
14.6224981333318,34.26626323751892,2607,0,295,22.384333142331407,24.0,276,27.307110438729197,1359,24,71,0,True,8,0,True,197,legacy12,1359,geometry_reid_hungarian,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
13.678659672826921,34.26626323751892,2607,0,295,21.649862657428603,22.910798122065728,308,26.500252143217345,1359,0,0,0,True,8,0,True,197,legacy12,1359,no_refinement,1359,1359,oracle_aabb,data28-1,ocsort,True,3966
66.33444904821778,62.32292321344336,222,0,21,64.28195365387226,80.63010501750291,36,73.34710743801654,746,0,0,0,True,6,0,True,32,legacy12,746,aflink_cached_native_dedup,746,746,oracle_aabb,data28-2,bytetrack,True,968
66.33465812196458,62.3264536789923,222,0,21,64.28380764678387,80.63010501750291,36,73.34710743801654,746,0,0,0,False,6,0,True,32,legacy12,746,aflink_cached_native_saved,746,746,oracle_aabb,data28-2,bytetrack,False,968
66.33444904821778,62.32292321344336,222,0,21,64.28195365387226,80.63010501750291,36,73.34710743801654,746,0,0,0,True,6,0,True,32,legacy12,746,aflink_cached_no_dedup,746,746,oracle_aabb,data28-2,bytetrack,True,968
66.33444904821778,62.32292321344336,222,0,21,64.28195365387226,80.63010501750291,36,73.34710743801654,746,0,0,0,True,6,0,True,32,legacy12,746,aflink_cached_overlap_safe,746,746,oracle_aabb,data28-2,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,com3d_reciprocal_guard,746,746,oracle_aabb,data28-2,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,controlled_cost_greedy,746,746,oracle_aabb,data28-2,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,controlled_cost_reciprocal,746,746,oracle_aabb,data28-2,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,geometry_greedy,746,746,oracle_aabb,data28-2,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,geometry_reid_greedy_guard,746,746,oracle_aabb,data28-2,bytetrack,True,968
68.77706658473382,62.32292321344336,222,0,21,65.45590535627733,83.31388564760793,31,73.86363636363636,746,2,0,3,True,6,0,True,32,legacy12,746,geometry_reid_hungarian,746,746,oracle_aabb,data28-2,bytetrack,True,968
66.33444904821778,62.32292321344336,222,0,21,64.28195365387226,80.63010501750291,36,73.34710743801654,746,0,0,0,True,6,0,True,32,legacy12,746,no_refinement,746,746,oracle_aabb,data28-2,bytetrack,True,968
97.534885877917,76.34297520661158,229,0,3,86.29080700953902,86.11599297012302,4,75.92975206611571,739,0,0,0,True,6,0,True,8,legacy12,739,aflink_cached_native_dedup,739,739,oracle_aabb,data28-2,deepocsort,True,968
97.534885877917,76.34297520661158,229,0,3,86.29080700953902,86.11599297012302,4,75.92975206611571,739,0,0,0,False,6,0,True,8,legacy12,739,aflink_cached_native_saved,739,739,oracle_aabb,data28-2,deepocsort,False,968
97.534885877917,76.34297520661158,229,0,3,86.29080700953902,86.11599297012302,4,75.92975206611571,739,0,0,0,True,6,0,True,8,legacy12,739,aflink_cached_no_dedup,739,739,oracle_aabb,data28-2,deepocsort,True,968
97.534885877917,76.34297520661158,229,0,3,86.29080700953902,86.11599297012302,4,75.92975206611571,739,0,0,0,True,6,0,True,8,legacy12,739,aflink_cached_overlap_safe,739,739,oracle_aabb,data28-2,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,com3d_reciprocal_guard,739,739,oracle_aabb,data28-2,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,controlled_cost_greedy,739,739,oracle_aabb,data28-2,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,controlled_cost_reciprocal,739,739,oracle_aabb,data28-2,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,geometry_greedy,739,739,oracle_aabb,data28-2,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,geometry_reid_greedy_guard,739,739,oracle_aabb,data28-2,deepocsort,True,968
97.57605870084122,76.34297520661158,229,0,3,86.30901824350221,86.46748681898066,1,76.2396694214876,739,3,0,0,True,6,0,True,8,legacy12,739,geometry_reid_hungarian,739,739,oracle_aabb,data28-2,deepocsort,True,968
97.534885877917,76.34297520661158,229,0,3,86.29080700953902,86.11599297012302,4,75.92975206611571,739,0,0,0,True,6,0,True,8,legacy12,739,no_refinement,739,739,oracle_aabb,data28-2,deepocsort,True,968
52.72421238221398,62.70661157024794,361,0,26,57.49918874383141,61.58730158730159,49,57.64462809917356,607,0,0,0,True,6,0,True,58,legacy12,607,aflink_cached_native_dedup,607,607,oracle_aabb,data28-2,ocsort,True,968
52.72421238221398,62.70661157024794,361,0,26,57.49918874383141,61.58730158730159,49,57.64462809917356,607,0,0,0,False,6,0,True,58,legacy12,607,aflink_cached_native_saved,607,607,oracle_aabb,data28-2,ocsort,False,968
52.72421238221398,62.70661157024794,361,0,26,57.49918874383141,61.58730158730159,49,57.64462809917356,607,0,0,0,True,6,0,True,58,legacy12,607,aflink_cached_no_dedup,607,607,oracle_aabb,data28-2,ocsort,True,968
52.72421238221398,62.70661157024794,361,0,26,57.49918874383141,61.58730158730159,49,57.64462809917356,607,0,0,0,True,6,0,True,58,legacy12,607,aflink_cached_overlap_safe,607,607,oracle_aabb,data28-2,ocsort,True,968
55.251145944440935,62.70661157024794,361,0,26,58.86095605364508,63.87301587301587,29,59.71074380165289,607,20,14,0,True,6,0,True,58,legacy12,607,com3d_reciprocal_guard,607,607,oracle_aabb,data28-2,ocsort,True,968
57.445346084165095,62.70661157024794,361,0,26,60.018355554098655,64.88888888888889,21,60.537190082644635,607,28,6,0,True,6,0,True,58,legacy12,607,controlled_cost_greedy,607,607,oracle_aabb,data28-2,ocsort,True,968
57.445346084165095,62.70661157024794,361,0,26,60.018355554098655,64.88888888888889,21,60.537190082644635,607,28,6,0,True,6,0,True,58,legacy12,607,controlled_cost_reciprocal,607,607,oracle_aabb,data28-2,ocsort,True,968
