AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_unknown,aggregation,all_accepted_coverage,eligible_source_tracklets,input_rows,invalid_sequences,known_link_coverage,known_link_error_rate,method,output_rows,predicted_boxes,protocol,scope,sequence_count,tracker,valid_common_box_protocol,valid_gt_boxes
42.441758024508005,30.9567944969905,104379,12726,7690,34.721362583544135,38.53276099433515,10297,28.838493271358235,91815,17,15,68,equal_sequence_mean_metrics_total_counts,0.011712344811431248,8538,104545,3,0.0037479503396579995,0.46875,aflink_cached_native_dedup,104541,104541,official_detector,all_sequences,50,bytetrack,False,196194
42.44211904851241,30.955534159996255,104382,12729,7689,34.72032008783662,38.532309178517615,10297,28.836582125044355,91812,17,15,68,equal_sequence_mean_metrics_total_counts,0.011712344811431248,8538,104545,50,0.0037479503396579995,0.46875,aflink_cached_native_saved,104541,104541,official_detector,all_sequences,50,bytetrack,False,196194
42.44153054595538,30.956937870663914,104376,12727,7690,34.72127393034568,38.53276099433515,10297,28.838648235597606,91818,17,15,68,equal_sequence_mean_metrics_total_counts,0.011712344811431248,8538,104545,3,0.0037479503396579995,0.46875,aflink_cached_no_dedup,104545,104545,official_detector,all_sequences,50,bytetrack,False,196194
42.45347200189254,30.956937870663914,104376,12727,7690,34.72773971294424,38.532514274337174,10297,28.838648235597606,91818,17,14,65,equal_sequence_mean_metrics_total_counts,0.011243851018973999,8538,104545,0,0.003630826891543687,0.45161290322580644,aflink_cached_overlap_safe,104545,104545,official_detector,all_sequences,50,bytetrack,True,196194
43.754992136797625,30.955724665701783,104376,12727,7690,35.39909653851582,39.967401330532766,8935,29.61374190453957,91818,97,41,2796,equal_sequence_mean_metrics_total_counts,0.3436401967673928,8538,104545,0,0.016163035839775124,0.2971014492753623,com3d_reciprocal_guard,104545,104545,official_detector,all_sequences,50,bytetrack,True,196194
44.40712850341626,30.956398267303403,104376,12727,7690,35.75822617012022,40.973999059387516,7604,30.19491531703129,91818,119,45,4173,equal_sequence_mean_metrics_total_counts,0.5079643944717732,8538,104545,0,0.019208245490747247,0.27439024390243905,controlled_cost_greedy,104545,104545,official_detector,all_sequences,50,bytetrack,True,196194
44.02559361147374,30.955244678149878,104376,12727,7690,35.53279714304084,40.42213108370916,8491,29.804180675357088,91818,106,35,3033,equal_sequence_mean_metrics_total_counts,0.37174982431482784,8538,104545,0,0.01651440618411806,0.24822695035460993,controlled_cost_reciprocal,104545,104545,official_detector,all_sequences,50,bytetrack,True,196194
44.1428561958578,30.94689126521057,104376,12727,7690,35.63613074912635,40.75504629806071,7908,30.07113592605398,91818,110,64,4256,equal_sequence_mean_metrics_total_counts,0.5188568751464043,8538,104545,0,0.020379479971890373,0.367816091954023,geometry_greedy,104545,104545,official_detector,all_sequences,50,bytetrack,True,196194
44.490973609756665,30.95112995702985,104376,12727,7690,35.794383657900305,41.104059771348645,7711,30.196840373723106,91818,124,40,4206,equal_sequence_mean_metrics_total_counts,0.5118294682595456,8538,104545,0,0.019208245490747247,0.24390243902439024,geometry_reid_greedy_guard,104545,104545,official_detector,all_sequences,50,bytetrack,True,196194
44.10538812617762,30.95569739495098,104376,12727,7690,35.57788558011366,40.56301056770218,8405,29.84725948798606,91818,109,44,3905,equal_sequence_mean_metrics_total_counts,0.47528695244788005,8538,104545,0,0.017919887561489812,0.2875816993464052,geometry_reid_hungarian,104545,104545,official_detector,all_sequences,50,bytetrack,True,196194
42.28840199140618,30.95868140253957,104376,12727,7690,34.64553531169412,38.316340731805155,10324,28.830907660110967,91818,0,0,0,equal_sequence_mean_metrics_total_counts,0.0,8538,104545,0,0.0,,no_refinement,104545,104545,official_detector,all_sequences,50,bytetrack,True,196194
67.1576702969488,45.106469236723704,72677,12281,4881,54.00470611995418,63.3339045732378,1342,49.78821325262671,123517,6,11,47,equal_sequence_mean_metrics_total_counts,0.018817994707438987,3401,135798,0,0.004998529844163481,0.6470588235294118,aflink_cached_native_dedup,135798,135798,official_detector,all_sequences,50,deepocsort,True,196194
67.15498708462839,45.10575862520431,72677,12281,4880,54.00371947163857,63.333373723825645,1342,49.78936977491321,123517,6,11,47,equal_sequence_mean_metrics_total_counts,0.018817994707438987,3401,135798,50,0.004998529844163481,0.6470588235294118,aflink_cached_native_saved,135798,135798,official_detector,all_sequences,50,deepocsort,False,196194
67.1576702969488,45.106469236723704,72677,12281,4881,54.00470611995418,63.3339045732378,1342,49.78821325262671,123517,6,11,47,equal_sequence_mean_metrics_total_counts,0.018817994707438987,3401,135798,0,0.004998529844163481,0.6470588235294118,aflink_cached_no_dedup,135798,135798,official_detector,all_sequences,50,deepocsort,True,196194
67.1576702969488,45.106469236723704,72677,12281,4881,54.00470611995418,63.3339045732378,1342,49.78821325262671,123517,6,11,47,equal_sequence_mean_metrics_total_counts,0.018817994707438987,3401,135798,0,0.004998529844163481,0.6470588235294118,aflink_cached_overlap_safe,135798,135798,official_detector,all_sequences,50,deepocsort,True,196194
67.83676799973769,45.10611481469242,72677,12281,4881,54.30897702017599,64.08300884293617,1046,50.06578162693367,123517,42,20,675,equal_sequence_mean_metrics_total_counts,0.2167009703028521,3401,135798,0,0.01822993237283152,0.3225806451612903,com3d_reciprocal_guard,135798,135798,official_detector,all_sequences,50,deepocsort,True,196194
