rank,section,group,method,protocol,seeds,seed_count,AP,AP_std,AP50,AP50_std,precision,recall,F1,params_m,gflops,delta_AP_vs_YOLOv11l,note
4,current_1280_sweep_status,YOLO nano,YOLOv8n,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.292087,0.000678,0.481850,0.000904,0.581660,0.477073,0.524201,3.0128,8.2000,-0.085570,current 202606 sweep; completed 3-seed; status=completed
5,current_1280_sweep_status,YOLO nano,YOLOv11n,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.287920,0.001532,0.473850,0.002163,0.580713,0.470310,0.519696,2.5918,6.5000,-0.089737,current 202606 sweep; completed 3-seed; status=completed
6,current_1280_sweep_status,YOLO nano,YOLOv10n,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.285620,0.002234,0.470273,0.003892,0.576457,0.467090,0.516021,2.7109,8.4000,-0.092037,current 202606 sweep; completed 3-seed; status=completed
7,current_1280_sweep_status,YOLO nano,YOLOv5nu,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.283477,0.000647,0.469617,0.001546,0.578067,0.459680,0.511971,2.5104,7.2000,-0.094180,current 202606 sweep; completed 3-seed; status=completed
8,current_1280_sweep_status,YOLO nano,YOLOv26n,"VisDrone val, 1280, completed 3-seed","123,2026,42",3,0.283453,0.001876,0.467260,0.002656,0.570737,0.471503,0.516358,2.5077,5.8000,-0.094203,current 202606 sweep; completed 3-seed; status=completed
1,nms_postprocess_snapshot,Postprocess/NMS snapshot,P2BalV2-FR-s42 + class-aware NMS,"VisDrone val, 1280, eval only",42,1,0.385633,,0.611860,,0.662555,0.601347,0.630469,24.4100,,0.007976,"single-seed eval, conf=0.001, iou=0.55, strict_pass=true"
2,nms_postprocess_snapshot,Postprocess/NMS snapshot,P2BalV2-FR-s42 + class-aware NMS,"VisDrone val, 1280, eval only",42,1,0.384947,,0.607968,,0.669030,0.596326,0.630589,24.4100,,0.007290,"single-seed eval, conf=0.001, iou=0.65, strict_pass=true"
3,nms_postprocess_snapshot,Postprocess/NMS snapshot,P2BalV2-FR-s42 + class-aware NMS,"VisDrone val, 1280, eval only",42,1,0.384917,,0.611760,,0.661094,0.603242,0.630844,24.4100,,0.007260,"single-seed eval, conf=0.001, iou=0.45, strict_pass=true"
4,nms_postprocess_snapshot,Postprocess/NMS snapshot,P2BalV2-FR-s42 + class-aware NMS,"VisDrone val, 1280, eval only",42,1,0.383932,,0.608612,,0.662555,0.601347,0.630469,24.4100,,0.006275,"single-seed eval, conf=0.01, iou=0.55, strict_pass=true"
1,related_work_640_eval_snapshot,Related-work runnable eval,CSFPR-RTDETR,"VisDrone2019-DET val, 640-eval",-,0,0.327900,,0.525300,,0.633600,0.514500,0.567900,14.0892,63.9000,-0.049757,Official/staged eval at 640; compare separately from our 1280 trained runs.
2,related_work_640_eval_snapshot,Related-work runnable eval,LEAF-YOLO-S,"VisDrone2019-DET val, 640-eval",-,0,0.281000,,0.482000,,0.577000,0.485000,0.527000,4.2840,20.9000,-0.096657,Official/staged LEAF eval at 640; compare separately from our 1280 trained runs.
3,related_work_640_eval_snapshot,Related-work runnable eval,LEAF-YOLO-N,"VisDrone2019-DET val, 640-eval",-,0,0.219000,,0.397000,,0.480000,0.433000,0.455300,1.1958,5.6000,-0.158657,Official/staged LEAF eval at 640; compare separately from our 1280 trained runs.
