dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_AP,yolov9e,Other,unknown,,unknown,large,large,yolov9t,Other,unknown,,unknown,nano,nano,42,1,insufficient_for_pvalue,0.38643,0.30571,-0.08072000000000001,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedSelfAttnOnly-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.61393,0.60426,-0.009669999999999956,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.61393,0.60404,-0.009889999999999954,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.61393,0.60008,-0.013850000000000029,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4HeadOnly-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.61393,0.59783,-0.016100000000000003,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv10m,YOLO,v10,v10,medium,medium,medium,42,1,insufficient_for_pvalue,0.61393,0.5681,-0.045829999999999926,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv10n,YOLO,v10,v10,nano,nano,nano,42,1,insufficient_for_pvalue,0.61393,0.47012,-0.14381,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv10s,YOLO,v10,v10,small,small,small,42,1,insufficient_for_pvalue,0.61393,0.52947,-0.08445999999999998,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv11m,YOLO,v11,v11,medium,medium,medium,42,1,insufficient_for_pvalue,0.61393,0.58592,-0.02800999999999998,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv11n,YOLO,v11,v11,nano,nano,nano,42,1,insufficient_for_pvalue,0.61393,0.47629,-0.13763999999999998,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv11s,YOLO,v11,v11,small,small,small,42,1,insufficient_for_pvalue,0.61393,0.53127,-0.08265999999999996,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv12m,YOLO,v12,v12,medium,medium,medium,42,1,insufficient_for_pvalue,0.61393,0.58817,-0.025760000000000005,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv12n,YOLO,v12,v12,nano,nano,nano,42,1,insufficient_for_pvalue,0.61393,0.48638,-0.12755,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv12s,YOLO,v12,v12,small,small,small,42,1,insufficient_for_pvalue,0.61393,0.54214,-0.07179000000000002,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv26m,YOLO,v26,v26,medium,medium,medium,42,1,insufficient_for_pvalue,0.61393,0.58004,-0.033889999999999976,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv26n,YOLO,v26,v26,nano,nano,nano,42,1,insufficient_for_pvalue,0.61393,0.46421,-0.14971999999999996,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv26s,YOLO,v26,v26,small,small,small,42,1,insufficient_for_pvalue,0.61393,0.52637,-0.08755999999999997,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv5lu,YOLO,v5,v5,large,large,large,42,1,insufficient_for_pvalue,0.61393,0.58938,-0.02454999999999996,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv5mu,YOLO,v5,v5,medium,medium,medium,42,1,insufficient_for_pvalue,0.61393,0.56837,-0.045559999999999934,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv5nu,YOLO,v5,v5,nano,nano,nano,42,1,insufficient_for_pvalue,0.61393,0.46838,-0.14554999999999996,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv5su,YOLO,v5,v5,small,small,small,42,1,insufficient_for_pvalue,0.61393,0.53357,-0.08035999999999999,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv8l,YOLO,v8,v8,large,large,large,42,1,insufficient_for_pvalue,0.61393,0.5961,-0.017830000000000013,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv8m,YOLO,v8,v8,medium,medium,medium,42,1,insufficient_for_pvalue,0.61393,0.57582,-0.03810999999999998,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv8n,YOLO,v8,v8,nano,nano,nano,42,1,insufficient_for_pvalue,0.61393,0.48245,-0.13147999999999999,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv8s,YOLO,v8,v8,small,small,small,42,1,insufficient_for_pvalue,0.61393,0.54179,-0.07213999999999998,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv9m,YOLO,v9,v9,medium,medium,medium,42,1,insufficient_for_pvalue,0.61393,0.59237,-0.021560000000000024,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,YOLOv9s,YOLO,v9,v9,small,small,small,42,1,insufficient_for_pvalue,0.61393,0.5572,-0.05672999999999995,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,yolov9c,Other,unknown,,unknown,medium,medium,42,1,insufficient_for_pvalue,0.61393,0.59231,-0.021619999999999973,,,,
VisDrone2019-DET,best_AP50,yolov9e,Other,unknown,,unknown,large,large,yolov9t,Other,unknown,,unknown,nano,nano,42,1,insufficient_for_pvalue,0.61393,0.49871,-0.11521999999999999,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedSelfAttnOnly-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.59541,0.58905,-0.006360000000000032,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedSelfAttnTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.59541,0.58543,-0.009979999999999989,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4BalancedTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.59541,0.58467,-0.010739999999999972,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,ProposedSize-P2P4HeadOnly-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,insufficient_for_pvalue,0.59541,0.57406,-0.02134999999999998,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv10m,YOLO,v10,v10,medium,medium,medium,42,1,insufficient_for_pvalue,0.59541,0.55233,-0.04308000000000001,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv10n,YOLO,v10,v10,nano,nano,nano,42,1,insufficient_for_pvalue,0.59541,0.46703,-0.12838,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv10s,YOLO,v10,v10,small,small,small,42,1,insufficient_for_pvalue,0.59541,0.51956,-0.07584999999999997,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv11m,YOLO,v11,v11,medium,medium,medium,42,1,insufficient_for_pvalue,0.59541,0.57467,-0.02073999999999998,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv11n,YOLO,v11,v11,nano,nano,nano,42,1,insufficient_for_pvalue,0.59541,0.47387,-0.12153999999999998,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv11s,YOLO,v11,v11,small,small,small,42,1,insufficient_for_pvalue,0.59541,0.52258,-0.07282999999999995,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv12m,YOLO,v12,v12,medium,medium,medium,42,1,insufficient_for_pvalue,0.59541,0.56765,-0.027760000000000007,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv12n,YOLO,v12,v12,nano,nano,nano,42,1,insufficient_for_pvalue,0.59541,0.48518,-0.11023,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv12s,YOLO,v12,v12,small,small,small,42,1,insufficient_for_pvalue,0.59541,0.52706,-0.06835000000000002,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv26m,YOLO,v26,v26,medium,medium,medium,42,1,insufficient_for_pvalue,0.59541,0.56779,-0.027619999999999978,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv26n,YOLO,v26,v26,nano,nano,nano,42,1,insufficient_for_pvalue,0.59541,0.47305,-0.12235999999999997,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv26s,YOLO,v26,v26,small,small,small,42,1,insufficient_for_pvalue,0.59541,0.52211,-0.07330000000000003,,,,
VisDrone2019-DET,best_recall,yolov9e,Other,unknown,,unknown,large,large,YOLOv5lu,YOLO,v5,v5,large,large,large,42,1,insufficient_for_pvalue,0.59541,0.56747,-0.027939999999999965,,,,
