updated_at,scenario,step,status,artifact,note
"2026-06-26T21:40:16+09:00","S0","detector","ok","outputs/evidence/uavmarine_s0_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-26T21:40:25+09:00","S0","reasoner","started","outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-26T21:40:28+09:00","S0","reasoner","ok","outputs/reasoning/uavmarine_s0_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-26T21:40:37+09:00","S1","capture","skipped_existing","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s1_viewer160_session_recapture/real_cesium_capture_summary.json","FORCE_RECAPTURE=1 to regenerate"
"2026-06-26T21:40:46+09:00","S1","detector","started","outputs/evidence/uavmarine_s1_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-26T21:40:58+09:00","S1","detector","ok","outputs/evidence/uavmarine_s1_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-26T21:41:06+09:00","S1","reasoner","started","outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-26T21:41:08+09:00","S1","reasoner","ok","outputs/reasoning/uavmarine_s1_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
"2026-06-26T21:41:17+09:00","S2","capture","skipped_existing","/home/oem/UAV/uav_marinecity/outputs/isaac_exports/uavmarine_s2_viewer160_session_recapture/real_cesium_capture_summary.json","FORCE_RECAPTURE=1 to regenerate"
"2026-06-26T21:41:27+09:00","S2","detector","started","outputs/evidence/uavmarine_s2_viewer160_session_recapture_detector_smoke_conf001","P2P4-SelfAttnFR EvidenceToken extraction"
"2026-06-26T21:41:37+09:00","S2","detector","ok","outputs/evidence/uavmarine_s2_viewer160_session_recapture_detector_smoke_conf001/detector_smoke_summary.json","EvidenceTokens generated"
"2026-06-26T21:41:45+09:00","S2","reasoner","started","outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_mock","3D evidence graph + AeroGraph Reasoner"
"2026-06-26T21:41:48+09:00","S2","reasoner","ok","outputs/reasoning/uavmarine_s2_viewer160_session_recapture_from_detector_conf001_mock/summary.json","Reasoner output generated"
