dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv10l,YOLO,v10,v10,large,medium,medium,"42,123,2026",3,preliminary,0.60505,0.5889866666666667,-0.01606333333333332,-8.962452596216178,0.01222157982955083,0.0,0.25
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv11l,YOLO,v11,v11,large,medium,medium,"42,123,2026",3,preliminary,0.60505,0.59809,-0.006959999999999966,-7.351064629818097,0.018007113651985967,0.0,0.25
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv12l,YOLO,v12,v12,large,medium,medium,"42,123,2026",3,preliminary,0.60505,0.5958133333333333,-0.009236666666666634,-9.685792102165976,0.010491865820120782,0.0,0.25
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv26l,YOLO,v26,v26,large,medium,medium,"42,123,2026",3,preliminary,0.60505,0.58769,-0.01735999999999997,-11.849806346424328,0.0070464147458433385,0.0,0.25
VisDrone2019-DET,best_AP50,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv8l,YOLO,v8,v8,large,large,large,"42,123,2026",3,preliminary,0.60505,0.5962933333333333,-0.008756666666666635,-9.581658463102391,0.010717483532267844,0.0,0.25
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-CBAMTinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.58682,0.58165,-0.005170000000000008,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-P2FullLight-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.58682,0.5886,0.0017800000000000038,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-TinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.58682,0.58532,-0.0015000000000000568,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2SlimTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.58682,0.57987,-0.006950000000000012,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2SlimWaveTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.58682,0.58512,-0.0017000000000000348,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,"42,123,2026",3,preliminary,0.5880633333333334,0.54107,-0.04699333333333333,-2.7649143969020957,0.10970042525778058,0.0,0.25
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv10l,YOLO,v10,v10,large,medium,medium,"42,123,2026",3,preliminary,0.5880633333333334,0.57289,-0.015173333333333372,-4.0527631565566145,0.05583307672685264,0.0,0.25
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv11l,YOLO,v11,v11,large,medium,medium,"42,123,2026",3,preliminary,0.5880633333333334,0.5880633333333334,0.0,0.0,1.0,3.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv12l,YOLO,v12,v12,large,medium,medium,"42,123,2026",3,preliminary,0.5880633333333334,0.5804666666666667,-0.007596666666666696,-1.7869986885579072,0.21584874991327865,0.0,0.25
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv26l,YOLO,v26,v26,large,medium,medium,"42,123,2026",3,preliminary,0.5880633333333334,0.57311,-0.014953333333333338,-2.331091756520655,0.14503483900526434,0.0,0.25
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv8l,YOLO,v8,v8,large,large,large,"42,123,2026",3,preliminary,0.5880633333333334,0.5769633333333333,-0.011100000000000035,-7.610538966948509,0.016830466363612913,0.0,0.25
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-CBAMTinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.624214841406599,0.621117076395455,-0.0030977650111440047,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-P2FullLight-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.624214841406599,0.6229111041781661,-0.0013037372284329107,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-TinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.624214841406599,0.62249395166516,-0.0017208897414390245,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2SlimTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.624214841406599,0.6220982470839362,-0.002116594322662757,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedSize-P2SlimWaveTinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.624214841406599,0.6215686841135274,-0.002646157293071605,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,"42,123,2026",3,preliminary,0.627189012102143,0.5773496290950711,-0.0498393830070718,-2.5037251917165113,0.1292978408895829,0.0,0.25
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv10l,YOLO,v10,v10,large,medium,medium,"42,123,2026",3,preliminary,0.627189012102143,0.616624969171794,-0.010564042930349035,-4.658200684843247,0.04312609972201738,0.0,0.25
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv11l,YOLO,v11,v11,large,medium,medium,"42,123,2026",3,preliminary,0.627189012102143,0.624751330466615,-0.002437681635527933,-1.5464710572492817,0.2620418106814068,1.0,0.5
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv12l,YOLO,v12,v12,large,medium,medium,"42,123,2026",3,preliminary,0.627189012102143,0.6219200435053417,-0.00526896859680126,-2.8159873888165605,0.10636373761130694,0.0,0.25
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv26l,YOLO,v26,v26,large,medium,medium,"42,123,2026",3,preliminary,0.627189012102143,0.613561520741617,-0.013627491360526026,-6.790330126609951,0.021006957702301165,0.0,0.25
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv8l,YOLO,v8,v8,large,large,large,"42,123,2026",3,preliminary,0.627189012102143,0.6197670597269057,-0.007421952375237313,-4.703778976227835,0.0423464667803121,0.0,0.25
