method,display_name,scene,status,PSNR,SSIM,LPIPS,FPS,train_time_min,VRAM_GB,disk_GB,advantage,limitation,result_path
gaussian_splatting,3D Gaussian Splatting,marinecity_real_capture,complete_native_splatfacto_split067_5k,19.675804138183594,0.8067082166671753,0.17015835642814636,4.563634395599365,,,,real-time rendering; strong visual quality; fast interactive inspection,memory footprint; floaters under sparse views; less natural uncertainty output,/home/oem/projects/multi-uav-marine-city/outputs/experiments/3d_generation/gaussian_splatting_marinecity_real_capture_result.json
nerf,Nerfacto (torch smoke),marinecity_real_capture,complete_native_nerfacto_torch_split067_noapp_8k,22.72756576538086,0.937525749206543,0.07195443660020828,0.5925604104995728,,,,canonical quality baseline; clean conceptual comparison,slow training; slow rendering; hard to scale to large outdoor scenes,/home/oem/projects/multi-uav-marine-city/outputs/experiments/3d_generation/nerf_marinecity_real_capture_result.json
