method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,protocol_data_yaml,protocol_imgsz,protocol_epochs,protocol_batch,protocol_deterministic,protocol_match,protocol_mismatch_reason,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
ProposedP2FR-SE-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_se_frelu,p2_head+se_neck+tiny_frelu_neck,"se_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,70,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_123755_proposed_p2_se_frelu_yolo11l_visdrone_p2fr_module_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_123755_proposed_p2_se_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_123755_proposed_p2_se_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/weights/best.pt,56.0,0.38237,0.60515,,,0.67196,0.59356,0.6303315279094759,64.0,0.37851,0.59936,,,0.6595,0.59474,0.6254481279499937,,,,,
ProposedP2FR-WaveletCBAM-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_wavelet_cbam_frelu,p2_head+wavelet_stem+cbam_neck+tiny_frelu_neck,"wavelet_stem,cbam_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,70,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_125040_proposed_p2_wavelet_cbam_frelu_yolo11l_visdrone_p2fr_module_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_125040_proposed_p2_wavelet_cbam_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_125040_proposed_p2_wavelet_cbam_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/weights/best.pt,48.0,0.38429,0.60547,,,0.67133,0.58583,0.6256725538515384,56.0,0.38221,0.60442,,,0.65625,0.59506,0.6241588814921961,,,,,
ProposedP2FR-DCT-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_dct_frelu,p2_head+dct_stem+tiny_frelu_neck,"dct_stem,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,70,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_182536_proposed_p2_dct_frelu_yolo11l_visdrone_p2fr_module_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_182536_proposed_p2_dct_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_182536_proposed_p2_dct_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/weights/best.pt,51.0,0.38476,0.60545,,,0.66617,0.59317,0.6275542091889402,59.0,0.38231,0.60519,,,0.67368,0.58252,0.624792347715332,,,,,
proposed_p2_deform_frelu_yolo11l,proposed_p2_deform_frelu_yolo11l,proposed_p2_deform_frelu_yolo11l,,,,false,,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,70,4,True,,,123,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_184057_proposed_p2_deform_frelu_yolo11l_visdrone_p2fr_module_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_184057_proposed_p2_deform_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_184057_proposed_p2_deform_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/weights/best.pt,52.0,0.38352,0.60263,,,0.66021,0.5926,0.624580656284672,55.0,0.38142,0.60299,,,0.6698,0.5827,0.623221493013972,,,,,
ProposedP2FR-Wavelet-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_wavelet_frelu,p2_head+wavelet_stem+tiny_frelu_neck,"wavelet_stem,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260611_181839_proposed_p2_wavelet_frelu_yolo11l_visdrone_p2fr_module_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260611_181839_proposed_p2_wavelet_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260611_181839_proposed_p2_wavelet_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/weights/best.pt,53.0,0.37944,0.60151,,,0.66889,0.58556,0.6244572974610387,73.0,0.37097,0.5919,,,0.66311,0.58392,0.621000603353568,,,,,
ProposedP2FR-DCT-yolo11l,configs/detector/yolo11l-p2.yaml,YOLOv11l-P2-FR-s123 family,p2_dct_frelu,p2_head+dct_stem+tiny_frelu_neck,"dct_stem,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260611_181840_proposed_p2_dct_frelu_yolo11l_visdrone_p2fr_module_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260611_181840_proposed_p2_dct_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260611_181840_proposed_p2_dct_frelu_yolo11l_visdrone_p2fr_module_seed123/ultralytics/weights/best.pt,48.0,0.38251,0.60369,,,0.66397,0.58607,0.6225927136731625,68.0,0.37878,0.59886,,,0.65162,0.59549,0.6222918488345053,,,,,
ProposedSize-P2EfficientV3DynFreqP2TinyFReLU-yolo11l,configs/detector/yolo11l-p2-efficient-v3.yaml,yolo11l.pt,p2_efficient_v3_dynfreq_p2_tiny_frelu,p2_efficient_v3_head+dynfreq_c3_p2+tiny_frelu_neck,"dynfreq_c3_p2,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260608_225555_proposed_p2_efficient_v3_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260608_225555_proposed_p2_efficient_v3_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260608_225555_proposed_p2_efficient_v3_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,51.0,0.38194,0.60637,,,0.66837,0.58996,0.626722028720606,71.0,0.3706,0.59162,,,0.65789,0.59032,0.6222760990538452,0.897934845557787,,,,
ProposedSize-P2EfficientV3SETinyFReLU-yolo11l,configs/detector/yolo11l-p2-efficient-v3.yaml,yolo11l.pt,p2_efficient_v3_se_tiny_frelu,p2_efficient_v3_head+se_neck+tiny_frelu_neck,"se_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260608_225711_proposed_p2_efficient_v3_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260608_225711_proposed_p2_efficient_v3_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260608_225711_proposed_p2_efficient_v3_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,51.0,0.38132,0.60759,,,0.66779,0.60024,0.6322157513623495,71.0,0.37412,0.59548,,,0.66112,0.5848,0.6206224733530243,0.8993109243840086,,,,
proposed_p2_efficient_v3_se_tiny_frelu_yolo11l,proposed_p2_efficient_v3_se_tiny_frelu_yolo11l,proposed_p2_efficient_v3_se_tiny_frelu_yolo11l,,,,false,,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260609_055603_proposed_p2_efficient_v3_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260609_055603_proposed_p2_efficient_v3_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260609_055603_proposed_p2_efficient_v3_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,36.0,0.3726,0.59021,,,0.65089,0.58044,0.6136496172431436,36.0,0.3726,0.59021,,,0.65089,0.58044,0.6136496172431436,,,,,
ProposedSize-P2CompressV3DynFreqP2TinyFReLU-yolo11l,configs/detector/yolo11l-p2-compress-v3.yaml,yolo11l.pt,p2_compress_v3_dynfreq_p2_tiny_frelu,p2_compress_v3_head+dynfreq_c3_p2+tiny_frelu_neck,"dynfreq_c3_p2,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260609_092628_proposed_p2_compress_v3_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260609_092628_proposed_p2_compress_v3_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260609_092628_proposed_p2_compress_v3_dynfreq_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123/ultralytics/weights/best.pt,46.0,0.38213,0.6047,,,0.66783,0.59223,0.6277621079948573,66.0,0.37351,0.59635,,,0.65505,0.59172,0.621776568252364,0.8996245687515868,,,,
