method,model,base_model,ablation,proposed_module,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,protocol_data_yaml,protocol_imgsz,protocol_epochs,protocol_batch,protocol_deterministic,protocol_match,protocol_mismatch_reason,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,false,,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,false,batch=2,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed123/ultralytics/weights/best.pt,100.0,0.28292,0.50042,,,0.61057,0.51838,0.5607108846273086,100.0,0.28292,0.50042,,,0.61057,0.51838,0.5607108846273086,0.8904800250215535,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,false,,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,false,batch=2,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed42/ultralytics/weights/best.pt,62.0,0.30551,0.51286,,,0.60046,0.52404,0.5596532830591374,100.0,0.15235,0.34992,,,0.50789,0.38447,0.43764504975570395,0.8898405635471152,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,false,,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,false,batch=2,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_195933_rtdetr-l_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_195933_rtdetr-l_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_195933_rtdetr-l_visdrone_seed2026/ultralytics/weights/best.pt,83.0,0.31782,0.52789,,,0.59628,0.54604,0.5700552055466068,100.0,0.31015,0.52543,,,0.60353,0.53658,0.5680892675268175,0.8986826370064556,,,32826626,108.0
