dataset,metric,baseline_method,baseline_detector_family,baseline_model_version,baseline_yolo_version,baseline_model_scale,baseline_param_size_group,baseline_size_group,candidate_method,candidate_detector_family,candidate_model_version,candidate_yolo_version,candidate_model_scale,candidate_param_size_group,candidate_size_group,paired_seeds,seed_count,analysis_level,baseline_mean,candidate_mean,delta_candidate_minus_baseline,paired_t_statistic,paired_t_pvalue,wilcoxon_statistic,wilcoxon_pvalue
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-P2FullLight-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.58682,0.5886,0.0017800000000000038,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-TinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.58682,0.58532,-0.0015000000000000568,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,42,1,preliminary,0.58682,0.55796,-0.028859999999999997,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv10l,YOLO,v10,v10,large,medium,medium,42,1,preliminary,0.58682,0.57749,-0.00933000000000006,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv11l,YOLO,v11,v11,large,medium,medium,42,1,preliminary,0.58682,0.59691,0.010090000000000043,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv12l,YOLO,v12,v12,large,medium,medium,42,1,preliminary,0.58682,0.58193,-0.004890000000000061,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv26l,YOLO,v26,v26,large,medium,medium,42,1,preliminary,0.58682,0.57495,-0.011870000000000047,nan,nan,0.0,1.0
VisDrone2019-DET,best_recall,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv8l,YOLO,v8,v8,large,large,large,42,1,preliminary,0.58682,0.57829,-0.008530000000000038,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-CBAMTinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.624214841406599,0.621117076395455,-0.0030977650111440047,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-P2FullLight-yolo11l,Other,unknown,,unknown,unknown,unknown,42,1,preliminary,0.624214841406599,0.6229111041781661,-0.0013037372284329107,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,ProposedNext-TinyFReLU-yolo11l,YOLO,v11,v11,large,unknown,large,42,1,preliminary,0.624214841406599,0.62249395166516,-0.0017208897414390245,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,RT-DETR-L,RT-DETR,RT-DETR,,large,medium,medium,42,1,preliminary,0.624214841406599,0.5965046827892854,-0.02771015861731363,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv10l,YOLO,v10,v10,large,medium,medium,42,1,preliminary,0.624214841406599,0.6170332630577153,-0.007181578348883666,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv11l,YOLO,v11,v11,large,medium,medium,42,1,preliminary,0.624214841406599,0.6244299013998977,0.00021505999329873848,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv12l,YOLO,v12,v12,large,medium,medium,42,1,preliminary,0.624214841406599,0.6226770502361185,-0.0015377911704804736,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv26l,YOLO,v26,v26,large,medium,medium,42,1,preliminary,0.624214841406599,0.6134168539781718,-0.010797987428427192,nan,nan,0.0,1.0
VisDrone2019-DET,best_F1,ProposedNext-P2TinyFReLU-yolo11l,Other,unknown,,unknown,unknown,unknown,YOLOv8l,YOLO,v8,v8,large,large,large,42,1,preliminary,0.624214841406599,0.619476682486529,-0.0047381589200700125,nan,nan,0.0,1.0
