method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,protocol_data_yaml,protocol_imgsz,protocol_epochs,protocol_batch,protocol_deterministic,protocol_match,protocol_mismatch_reason,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv10n,yolov10n.pt,yolov10n.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_052628_yolov10n_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_052628_yolov10n_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_052628_yolov10n_visdrone_seed2026/ultralytics/weights/best.pt,89.0,0.28692,0.47424,,,0.58432,0.46594,0.5184584023003828,100.0,0.28411,0.4707,,,0.5804,0.47039,0.5196363802472426,0.8847574599764535,,,2710940,8.4
YOLOv10n,yolov10n.pt,yolov10n.pt,,,,false,implemented,YOLO,yolo,v10,v10,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_060203_yolov10n_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_060203_yolov10n_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_060203_yolov10n_visdrone_seed123/ultralytics/weights/best.pt,88.0,0.28304,0.46646,,,0.5689,0.4683,0.5137213073659854,100.0,0.28094,0.46366,,,0.56446,0.46781,0.511610397667277,0.882535876483302,,,2710940,8.4
YOLOv11n,yolo11n.pt,yolo11n.pt,,,,false,implemented,YOLO,yolo,v11,v11,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_081839_yolo11n_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_081839_yolo11n_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_081839_yolo11n_visdrone_seed123/ultralytics/weights/best.pt,80.0,0.2866,0.47309,,,0.58807,0.46926,0.5219897821872074,100.0,0.28395,0.46889,,,0.57737,0.46916,0.5176706051427097,0.8678410574550609,,,2591790,6.5
YOLOv11n,yolo11n.pt,yolo11n.pt,,,,false,implemented,YOLO,yolo,v11,v11,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_085632_yolo11n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_085632_yolo11n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_085632_yolo11n_visdrone_seed42/ultralytics/weights/best.pt,86.0,0.2896,0.47629,,,0.5777,0.47387,0.5206590127143225,100.0,0.28785,0.4738,,,0.57709,0.46974,0.5179107526532485,0.8641956237490886,,,2591790,6.5
YOLOv12n,yolo12n.pt,yolo12n.pt,,,,false,implemented,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_103808_yolo12n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_103808_yolo12n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_103808_yolo12n_visdrone_seed42/ultralytics/weights/best.pt,67.0,0.29586,0.48638,,,0.58399,0.48518,0.5300191142662065,100.0,0.28916,0.47692,,,0.57481,0.48477,0.5259643324713567,0.871969960434306,,,2569998,6.5
YOLOv11n,yolo11n.pt,yolo11n.pt,,,,false,implemented,YOLO,yolo,v11,v11,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_111342_yolo11n_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_111342_yolo11n_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_111342_yolo11n_visdrone_seed2026/ultralytics/weights/best.pt,79.0,0.28756,0.47217,,,0.57637,0.4678,0.516440591091489,100.0,0.28572,0.47044,,,0.59234,0.45965,0.5176267474025418,0.8679742430793629,,,2591790,6.5
YOLOv12n,yolo12n.pt,yolo12n.pt,,,,false,implemented,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_132352_yolo12n_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_132352_yolo12n_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_132352_yolo12n_visdrone_seed123/ultralytics/weights/best.pt,76.0,0.29465,0.48505,,,0.58968,0.47889,0.5285416120609786,100.0,0.28913,0.47732,,,0.58384,0.4755,0.5241299677157476,0.8722178180545116,,,2569998,6.5
YOLOv12n,yolo12n.pt,yolo12n.pt,,,,false,implemented,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_142052_yolo12n_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_142052_yolo12n_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_142052_yolo12n_visdrone_seed2026/ultralytics/weights/best.pt,76.0,0.29804,0.48892,,,0.61301,0.47302,0.5339925972579026,100.0,0.29056,0.47976,,,0.58441,0.47459,0.5238057448536355,0.8714045431428167,,,2569998,6.5
YOLOv26n,yolo26n.pt,yolo26n.pt,,,,false,implemented,YOLO,yolo,v26,v26,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_170200_yolo26n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_170200_yolo26n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_170200_yolo26n_visdrone_seed42/ultralytics/weights/best.pt,89.0,0.2815,0.46421,,,0.56061,0.47305,0.5131214528955363,100.0,0.27782,0.45946,,,0.56327,0.4642,0.5089587705723768,0.8750098570187543,,,2507700,5.8
YOLOv26n,yolo26n.pt,yolo26n.pt,,,,false,implemented,YOLO,yolo,v26,v26,true,nano,nano,nano,nano,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_175952_yolo26n_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_175952_yolo26n_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260613_175952_yolo26n_visdrone_seed123/ultralytics/weights/best.pt,87.0,0.28524,0.46906,,,0.57329,0.47375,0.5187884655791565,100.0,0.28253,0.4658,,,0.57859,0.46196,0.5137387658449858,0.8789917503459466,,,2507700,5.8
