method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,protocol_data_yaml,protocol_imgsz,protocol_epochs,protocol_batch,protocol_deterministic,protocol_match,protocol_mismatch_reason,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv12l,yolo12l.pt,yolo12l.pt,,,,false,implemented,YOLO,yolo,v12,v12,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260530_034449_yolo12l_visdrone_large_fresh_large_20260524_140922_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260530_034449_yolo12l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260530_034449_yolo12l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/weights/best.pt,56.0,0.37945,0.59866,,,0.6767,0.57853,0.6237761223042788,100.0,0.3609,0.57632,,,0.66179,0.57576,0.6157847527776655,0.8974576370016255,,,26396814,89.4
YOLOv12l,yolo12l.pt,yolo12l.pt,,,,false,implemented,YOLO,yolo,v12,v12,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260530_212132_yolo12l_visdrone_large_fresh_large_20260524_140922_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260530_212132_yolo12l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260530_212132_yolo12l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/weights/best.pt,52.0,0.37589,0.59443,,,0.6631,0.58094,0.6193069579756278,100.0,0.35958,0.57568,,,0.65541,0.57389,0.6119470347352152,0.8968229204271359,,,26396814,89.4
YOLOv26l,yolo26l.pt,yolo26l.pt,,,,false,implemented,YOLO,yolo,v26,v26,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260531_150322_yolo26l_visdrone_large_fresh_large_20260524_140922_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260531_150322_yolo26l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260531_150322_yolo26l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/weights/best.pt,49.0,0.37468,0.58862,,,0.6574,0.57495,0.6134168539781718,100.0,0.35713,0.56858,,,0.66318,0.56416,0.609675605455701,0.9057445740837415,,,26191764,93.2
YOLOv26l,yolo26l.pt,yolo26l.pt,,,,false,implemented,YOLO,yolo,v26,v26,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260601_013824_yolo26l_visdrone_large_fresh_large_20260524_140922_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260601_013824_yolo26l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260601_013824_yolo26l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/weights/best.pt,55.0,0.37162,0.58776,,,0.66724,0.56718,0.6131546527113948,100.0,0.35487,0.56445,,,0.6584,0.56171,0.6062238060502741,0.909071992998799,,,26191764,93.2
YOLOv26l,yolo26l.pt,yolo26l.pt,,,,false,implemented,YOLO,yolo,v26,v26,true,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260601_115546_yolo26l_visdrone_large_fresh_large_20260524_140922_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260601_115546_yolo26l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260601_115546_yolo26l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/weights/best.pt,58.0,0.37323,0.58669,,,0.65607,0.5772,0.6141130555352843,100.0,0.3525,0.56068,,,0.64867,0.56838,0.6058765943880695,0.9074369751345459,,,26191764,93.2
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,,false,implemented,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260601_220327_rtdetr-l_visdrone_large_fresh_large_20260524_140922_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260601_220327_rtdetr-l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260601_220327_rtdetr-l_visdrone_large_fresh_large_20260524_140922_seed42/ultralytics/weights/best.pt,97.0,0.34603,0.56225,,,0.64077,0.55796,0.5965046827892854,100.0,0.34533,0.56199,,,0.64503,0.55767,0.5981772347218757,0.9027788095706983,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,,false,implemented,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260602_145320_rtdetr-l_visdrone_large_fresh_large_20260524_140922_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260602_145320_rtdetr-l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260602_145320_rtdetr-l_visdrone_large_fresh_large_20260524_140922_seed123/ultralytics/weights/best.pt,100.0,0.33987,0.56074,,,0.63821,0.5633,0.5984198100723257,100.0,0.33987,0.56074,,,0.63821,0.5633,0.5984198100723257,0.8971574238996347,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,,false,implemented,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,2,True,,,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260603_072937_rtdetr-l_visdrone_large_fresh_large_20260524_140922_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260603_072937_rtdetr-l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/large_20260524_140922/20260603_072937_rtdetr-l_visdrone_large_fresh_large_20260524_140922_seed2026/ultralytics/weights/best.pt,59.0,0.27432,0.48351,,,0.5776,0.50195,0.5371243944236025,100.0,0.06616,0.17395,,,0.3139,0.2296,0.26521229070837166,0.8894414165161596,,,32826626,108.0
proposed_tiny_frelu_neck_yolo11l,proposed_tiny_frelu_neck_yolo11l,proposed_tiny_frelu_neck_yolo11l,,,,false,,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,42,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_next_step/20260604_153442_proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_next_step/20260604_153442_proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_next_step/20260604_153442_proposed_tiny_frelu_neck_yolo11l_visdrone_yolov11_p2_next_seed42/ultralytics/weights/best.pt,1.0,0.26442,0.43673,,,0.53758,0.45,0.48990664047469573,1.0,0.26442,0.43673,,,0.53758,0.45,0.48990664047469573,,,,,
ProposedNext-P2TinyFReLU-yolo11l,configs/detector/yolo11l-p2.yaml,yolo11l.pt,p2_tiny_frelu,p2_head+tiny_frelu_neck,tiny_frelu_neck,true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,VisDrone2019-DET,/home/oem/projects/multi-uav-marine-city/configs/detector/visdrone_yolo_data.yaml,1280,100,4,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_next_step/20260604_154753_proposed_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_next_step/20260604_154753_proposed_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_next_step/20260604_154753_proposed_p2_tiny_frelu_yolo11l_visdrone_yolov11_p2_next_seed42/ultralytics/weights/best.pt,57.0,0.38168,0.60305,,,0.6667,0.58682,0.624214841406599,87.0,0.36692,0.585,,,0.66225,0.57774,0.6171151622190502,,,,,
