method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,seed_count,seeds,analysis_level,best_AP_mean,best_AP_std,best_AP_n,best_AP_mean_std,best_AP50_mean,best_AP50_std,best_AP50_n,best_AP50_mean_std,best_precision_mean,best_precision_std,best_precision_n,best_precision_mean_std,best_recall_mean,best_recall_std,best_recall_n,best_recall_mean_std,best_F1_mean,best_F1_std,best_F1_n,best_F1_mean_std,ROC-AUC_mean,ROC-AUC_std,ROC-AUC_n,ROC-AUC_mean_std,Params_mean,Params_std,Params_n,Params_mean_std,GFLOPs_mean,GFLOPs_std,GFLOPs_n,GFLOPs_mean_std
YOLOv11m,yolo11m.pt,yolo11m.pt,,,,false,implemented,YOLO,yolo,v11,v11,true,medium,medium,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.36571333333333333,0.0004965212315030619,3,0.3657 +/- 0.0005,0.5845966666666667,0.001169886034335544,3,0.5846 +/- 0.0012,0.6611933333333333,0.008245303713832105,3,0.6612 +/- 0.0082,0.57282,0.0020168044030098686,3,0.5728 +/- 0.0020,0.6138164753437877,0.002411620499883121,3,0.6138 +/- 0.0024,0.8974564488168187,0.0007833573357609094,3,0.8975 +/- 0.0008,20060718.0,0.0,3,20060718.0000 +/- 0.0000,68.2,0.0,3,68.2000 +/- 0.0000
YOLOv11n,yolo11n.pt,yolo11n.pt,,,,false,implemented,YOLO,yolo,v11,v11,true,nano,nano,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.28792,0.0015320574401764505,3,0.2879 +/- 0.0015,0.47385,0.002162591038546125,3,0.4738 +/- 0.0022,0.5807133333333333,0.0064056719657919585,3,0.5807 +/- 0.0064,0.47031,0.003168296072023581,3,0.4703 +/- 0.0032,0.5196964619976729,0.0028971120733916975,3,0.5197 +/- 0.0029,0.8666703080945042,0.0021441738641522455,3,0.8667 +/- 0.0021,2591790.0,0.0,3,2591790.0000 +/- 0.0000,6.5,0.0,3,6.5000 +/- 0.0000
YOLOv11s,yolo11s.pt,yolo11s.pt,,,,false,implemented,YOLO,yolo,v11,v11,true,small,small,small,small,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3276266666666667,0.0010196241137464918,3,0.3276 +/- 0.0010,0.5303566666666667,0.0017579912779457744,3,0.5304 +/- 0.0018,0.6295333333333334,0.0019116049103654299,3,0.6295 +/- 0.0019,0.5198966666666667,0.003588932060283911,3,0.5199 +/- 0.0036,0.5694847121510096,0.002919554483939987,3,0.5695 +/- 0.0029,0.8838784540619725,0.0027956931174148887,3,0.8839 +/- 0.0028,9431662.0,0.0,3,9431662.0000 +/- 0.0000,21.6,0.0,3,21.6000 +/- 0.0000
YOLOv12m,yolo12m.pt,yolo12m.pt,,,,false,implemented,YOLO,yolo,v12,v12,true,medium,medium,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.36678333333333335,0.0008002707875046628,3,0.3668 +/- 0.0008,0.58509,0.002873969380491014,3,0.5851 +/- 0.0029,0.6638499999999999,0.0071905215388037135,3,0.6638 +/- 0.0072,0.5663166666666667,0.004703927437082062,3,0.5663 +/- 0.0047,0.6112154135366777,0.005722082712704028,3,0.6112 +/- 0.0057,0.8974833192894547,0.0034929941981343853,3,0.8975 +/- 0.0035,20145198.0,0.0,3,20145198.0000 +/- 0.0000,67.8,0.0,3,67.8000 +/- 0.0000
YOLOv12n,yolo12n.pt,yolo12n.pt,,,,false,implemented,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.29618333333333335,0.0017179736125253334,3,0.2962 +/- 0.0017,0.48678333333333335,0.001966273972093772,3,0.4868 +/- 0.0020,0.59556,0.015377610347515018,3,0.5956 +/- 0.0154,0.47903,0.006081208761422356,3,0.4790 +/- 0.0061,0.5308511078616959,0.0028191257353074304,3,0.5309 +/- 0.0028,0.8718641072105447,0.00041684253529789396,3,0.8719 +/- 0.0004,2569998.0,0.0,3,2569998.0000 +/- 0.0000,6.5,0.0,3,6.5000 +/- 0.0000
YOLOv12s,yolo12s.pt,yolo12s.pt,,,,false,implemented,YOLO,yolo,v12,v12,true,small,small,small,small,VisDrone2019-DET,3,"123,2026,42",preliminary,0.3337833333333333,0.0014745281731229592,3,0.3338 +/- 0.0015,0.5406166666666666,0.002769410286204144,3,0.5406 +/- 0.0028,0.6391366666666667,0.0012147564913732266,3,0.6391 +/- 0.0012,0.5252566666666667,0.006243479265067904,3,0.5253 +/- 0.0062,0.5766097474352518,0.0032857827812919484,3,0.5766 +/- 0.0033,0.8913773324072248,0.0027092441748152343,3,0.8914 +/- 0.0027,9257006.0,0.0,3,9257006.0000 +/- 0.0000,21.5,0.0,3,21.5000 +/- 0.0000
YOLOv26m,yolo26m.pt,yolo26m.pt,,,,false,implemented,YOLO,yolo,v26,v26,true,medium,medium,medium,medium,VisDrone2019-DET,3,"123,2026,42",preliminary,0.36507333333333336,0.0006603282012252249,3,0.3651 +/- 0.0007,0.5801066666666667,0.00048345975358179207,3,0.5801 +/- 0.0005,0.6524566666666667,0.009959198428253819,3,0.6525 +/- 0.0100,0.5667866666666667,0.005671951457244117,3,0.5668 +/- 0.0057,0.6065596325878195,0.0035215067250187857,3,0.6066 +/- 0.0035,0.9063975296556996,0.001806700201384893,3,0.9064 +/- 0.0018,21788308.0,0.0,3,21788308.0000 +/- 0.0000,74.8,0.0,3,74.8000 +/- 0.0000
YOLOv26n,yolo26n.pt,yolo26n.pt,,,,false,implemented,YOLO,yolo,v26,v26,true,nano,nano,nano,nano,VisDrone2019-DET,3,"123,2026,42",preliminary,0.28345333333333333,0.001875562137955811,3,0.2835 +/- 0.0019,0.46726,0.0026556543449778817,3,0.4673 +/- 0.0027,0.5707366666666667,0.009122068478877619,3,0.5707 +/- 0.0091,0.47150333333333333,0.003303715080531814,3,0.4715 +/- 0.0033,0.5163576072869538,0.0029180703460738814,3,0.5164 +/- 0.0029,0.8777964577647044,0.002421376648434477,3,0.8778 +/- 0.0024,2507700.0,0.0,3,2507700.0000 +/- 0.0000,5.8,0.0,3,5.8000 +/- 0.0000
YOLOv26s,yolo26s.pt,yolo26s.pt,,,,false,implemented,YOLO,yolo,v26,v26,true,small,small,small,small,VisDrone2019-DET,3,"123,2026,42",preliminary,0.32541333333333333,0.0007834113436332907,3,0.3254 +/- 0.0008,0.52631,5.567764362832599e-05,3,0.5263 +/- 0.0001,0.61571,0.0032109032996961986,3,0.6157 +/- 0.0032,0.5196933333333333,0.0020946200928410163,3,0.5197 +/- 0.0021,0.5636383940446831,0.0019689258490523877,3,0.5636 +/- 0.0020,0.8969971431404956,0.0006406718720153308,3,0.8970 +/- 0.0006,9955604.0,0.0,3,9955604.0000 +/- 0.0000,22.5,0.0,3,22.5000 +/- 0.0000
YOLOv5lu,yolov5lu.pt,yolov5lu.pt,,,,false,implemented,YOLO,yolo,v5,v5,true,large,large,large,large,VisDrone2019-DET,3,"123,2026,42",preliminary,0.37093666666666664,0.0010576073625563134,3,0.3709 +/- 0.0011,0.5896866666666667,0.0016909859057169393,3,0.5897 +/- 0.0017,0.6614133333333333,0.005462905209989776,3,0.6614 +/- 0.0055,0.5732266666666667,0.006229336508275442,3,0.5732 +/- 0.0062,0.6141432683889411,0.003262062190711358,3,0.6141 +/- 0.0033,0.8982754197388682,0.002261592863007331,3,0.8983 +/- 0.0023,53171054.0,0.0,3,53171054.0000 +/- 0.0000,135.3,0.0,3,135.3000 +/- 0.0000
