panel,tracker,method,IDF1,HOTA,AssA,IDSW,delta_vs_full_IDF1_pp
mmot_oracle,bytetrack,regr_final,51.87209858498237,45.93042960054045,47.55312575386967,15029,0.0
mmot_oracle,bytetrack,regr_final_no_gap,51.80937152711557,45.919877352384134,47.53716738271054,15072,-0.06272705786679467
mmot_oracle,bytetrack,regr_final_no_reciprocal,51.8449663997475,45.9228544489775,47.543535123497314,15035,-0.027132185234869155
mmot_oracle,bytetrack,regr_final_no_motion,51.85475175322096,45.8970078348891,47.47870977025963,15025,-0.017346831761408055
mmot_oracle,bytetrack,regr_final_motion_always,51.605266047882594,45.82323029439664,47.38692297858992,15190,-0.2668325370997735
mmot_oracle,bytetrack,s2_h_cond_w3_endpoint_c50_r100,50.69608653848306,45.48697275619753,46.78722148516048,16789,-1.1760120464993093
mmot_oracle,deepocsort,regr_final,83.99717469521244,82.82159520370182,84.97815754217172,1139,0.0
mmot_oracle,deepocsort,regr_final_no_gap,84.00627368550676,82.83137044036415,84.996854204057,1150,0.009098990294319265
mmot_oracle,deepocsort,regr_final_no_reciprocal,83.99851622904868,82.82258112379895,84.98009795697313,1138,0.0013415338362392504
mmot_oracle,deepocsort,regr_final_no_motion,83.98424386561514,82.8135952403703,84.96249529705482,1138,-0.012930829597294746
mmot_oracle,deepocsort,regr_final_motion_always,83.88182994672023,82.7506866101646,84.83374962502747,1151,-0.11534474849220544
mmot_oracle,deepocsort,s2_h_cond_w3_endpoint_c50_r100,83.99270559606013,82.81289782346728,84.96010116296355,1178,-0.004469099152302647
mmot_oracle,ocsort,regr_final,46.24956208335191,46.312096144834996,54.57742998632687,3489,0.0
mmot_oracle,ocsort,regr_final_no_gap,46.25467680572413,46.318203976249926,54.588437225811795,3483,0.00511472237221966
mmot_oracle,ocsort,regr_final_no_reciprocal,46.24956208335191,46.312096144834996,54.57742998632687,3489,0.0
mmot_oracle,ocsort,regr_final_no_motion,46.24457728688585,46.29996797985158,54.538195383733125,3487,-0.004984796466061425
mmot_oracle,ocsort,regr_final_motion_always,46.08353490258054,46.26366440010055,54.50055188696853,3526,-0.16602718077137268
mmot_oracle,ocsort,s2_h_cond_w3_endpoint_c50_r100,46.18024604585045,46.26623014130448,54.46305552604189,3585,-0.06931603750145854
mmot_detector,bytetrack,regr_final,41.112227061657705,35.78742728855873,44.472558058709765,7614,0.0
mmot_detector,bytetrack,regr_final_no_gap,41.0860995404314,35.780116029277195,44.459005006246485,7714,-0.026127521226307238
mmot_detector,bytetrack,regr_final_no_reciprocal,41.10391450970425,35.78189461097401,44.46342840218687,7615,-0.00831255195345193
mmot_detector,bytetrack,regr_final_no_motion,41.13018729257496,35.80121110443761,44.503501052892645,7611,0.01796023091725374
mmot_detector,bytetrack,regr_final_motion_always,40.9480882066552,35.744594895053766,44.41224937542542,7707,-0.16413885500250558
mmot_detector,bytetrack,s2_h_cond_w3_endpoint_c50_r100,40.464507648561664,35.484693458696114,43.87691154702219,8568,-0.6477194130960413
mmot_detector,deepocsort,regr_final,64.15066121938067,54.346145354148746,67.92436142953672,938,0.0
mmot_detector,deepocsort,regr_final_no_gap,64.14785419114703,54.34559961487496,67.92372177606852,943,-0.002807028233632991
mmot_detector,deepocsort,regr_final_no_reciprocal,64.15066121938067,54.346120624020195,67.92430594533307,938,0.0
mmot_detector,deepocsort,regr_final_no_motion,64.14881697611344,54.34386334810791,67.91638177579317,937,-0.0018442432672287623
mmot_detector,deepocsort,regr_final_motion_always,64.14586960842331,54.353497210113886,67.94118005398602,949,-0.004791610957354919
mmot_detector,deepocsort,s2_h_cond_w3_endpoint_c50_r100,64.13381771803012,54.3363089970581,67.90456693415835,965,-0.016843501350550127
mmot_detector,ocsort,regr_final,38.75215456704899,36.79890423434209,50.12608839354211,2587,0.0
mmot_detector,ocsort,regr_final_no_gap,38.761698262860754,36.79927977760401,50.12585364818533,2585,0.009543695811764508
mmot_detector,ocsort,regr_final_no_reciprocal,38.754598914495524,36.80034493158817,50.13018737409166,2586,0.002444347446534323
mmot_detector,ocsort,regr_final_no_motion,38.756067185242664,36.795630831074824,50.11623171208108,2586,0.0039126181936737225
mmot_detector,ocsort,regr_final_motion_always,38.60512703617335,36.74045919657625,49.942091015746044,2621,-0.1470275308756399
mmot_detector,ocsort,s2_h_cond_w3_endpoint_c50_r100,38.6726698117984,36.72984646167763,49.88012234971636,2721,-0.07948475525058996
m3ot_oracle,bytetrack,regr_final,95.47200616427683,92.353796342354,90.1776551004629,125,0.0
m3ot_oracle,bytetrack,regr_final_no_gap,95.4343889061668,92.33639694648613,90.14555434070631,125,-0.037617258110032026
m3ot_oracle,bytetrack,regr_final_no_reciprocal,95.4725489964494,92.35331534396468,90.17674697683222,125,0.000542832172570229
m3ot_oracle,bytetrack,regr_final_no_motion,94.81551759427622,91.88797858278039,89.27249794257894,117,-0.6564885700006187
m3ot_oracle,bytetrack,regr_final_motion_always,96.33671660377483,93.02370899571191,91.44716931622149,140,0.8647104394979976
m3ot_oracle,bytetrack,s2_h_cond_w3_endpoint_c50_r100,96.15812331013498,92.84682374466685,91.10867190334531,99,0.6861171458581481
m3ot_oracle,ocsort,regr_final,95.41822505851617,95.67696526586839,93.06336800582072,132,0.0
m3ot_oracle,ocsort,regr_final_no_gap,95.38801280474402,95.65700127741907,93.02725762431533,132,-0.030212253772148756
m3ot_oracle,ocsort,regr_final_no_reciprocal,95.41822505851617,95.67696526586839,93.06336800582072,132,0.0
m3ot_oracle,ocsort,regr_final_no_motion,94.02723689201278,94.62556020329609,91.10910781611686,128,-1.3909881665033907
m3ot_oracle,ocsort,regr_final_motion_always,95.92678983439757,96.0754371465508,93.8123775504441,138,0.5085647758813963
m3ot_oracle,ocsort,s2_h_cond_w3_endpoint_c50_r100,96.23437151182198,96.25003286253944,94.13046701012216,106,0.8161464533058052
