protocol,family,sequence,tracker,method,metric,stored_value,rerun_value,absolute_difference,passed
official_detector,legacy12,data28-1,bytetrack,controlled_cost_reciprocal,eligible_source_tracklets,200.0,200.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,controlled_cost_reciprocal,input_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,controlled_cost_reciprocal,output_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,controlled_cost_reciprocal,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,controlled_cost_reciprocal,predicted_boxes,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,HOTA,27.77180389392488,27.77180389392488,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,AssA,15.869528228713966,15.869528228713966,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,DetA,48.90462710669946,48.90462710669946,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,IDF1,33.39776951672862,33.39776951672862,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,MOTA,47.25163893091276,47.25163893091276,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,IDSW,481.0,481.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,FP,202.0,202.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,FN,1409.0,1409.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,TP,2557.0,2557.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,Frag,284.0,284.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,accepted_correct,4.0,4.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,accepted_false,23.0,23.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,accepted_unknown,87.0,87.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,eligible_source_tracklets,200.0,200.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,input_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,output_rows,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,valid_gt_boxes,3966.0,3966.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_greedy,predicted_boxes,2759.0,2759.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,HOTA,27.817332936068766,27.817332936068766,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,AssA,15.939410413763166,15.939410413763166,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,DetA,48.889420457463615,48.889420457463615,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,IDF1,33.69516728624535,33.69516728624535,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,MOTA,47.352496217851744,47.352496217851744,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,IDSW,477.0,477.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,FP,202.0,202.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,FN,1409.0,1409.0,0.0,True
official_detector,legacy12,data28-1,bytetrack,geometry_reid_greedy_guard,TP,2557.0,2557.0,0.0,True
