protocol,class_name,tracker,old_edge_count,symmetric_edge_count,selected_pairs_identical
oracle_aabb,car,bytetrack,78,78,True
oracle_aabb,car,ocsort,94,94,True
oracle_aabb,car,deepocsort,0,0,True
oracle_aabb,bike,bytetrack,0,0,True
oracle_aabb,bike,ocsort,0,0,True
oracle_aabb,bike,deepocsort,0,0,True
oracle_aabb,pedestrian,bytetrack,18,18,True
oracle_aabb,pedestrian,ocsort,0,0,True
oracle_aabb,pedestrian,deepocsort,0,0,True
oracle_aabb,van,bytetrack,5,5,True
oracle_aabb,van,ocsort,1,1,True
oracle_aabb,van,deepocsort,0,0,True
oracle_aabb,truck,bytetrack,0,0,True
oracle_aabb,truck,ocsort,0,0,True
oracle_aabb,truck,deepocsort,1,1,True
oracle_aabb,bus,bytetrack,0,0,True
oracle_aabb,bus,ocsort,0,0,True
oracle_aabb,bus,deepocsort,0,0,True
oracle_aabb,tricycle,bytetrack,0,0,True
oracle_aabb,tricycle,ocsort,0,0,True
oracle_aabb,tricycle,deepocsort,0,0,True
oracle_aabb,awning-bike,bytetrack,6,6,True
oracle_aabb,awning-bike,ocsort,0,0,True
oracle_aabb,awning-bike,deepocsort,0,0,True
official_detector,car,bytetrack,96,96,True
official_detector,car,ocsort,89,89,True
official_detector,car,deepocsort,2,2,True
official_detector,bike,bytetrack,0,0,True
official_detector,bike,ocsort,1,1,True
official_detector,bike,deepocsort,0,0,True
official_detector,pedestrian,bytetrack,0,0,True
official_detector,pedestrian,ocsort,0,0,True
official_detector,pedestrian,deepocsort,0,0,True
official_detector,van,bytetrack,4,4,True
official_detector,van,ocsort,1,1,True
official_detector,van,deepocsort,0,0,True
official_detector,truck,bytetrack,0,0,True
official_detector,truck,ocsort,0,0,True
official_detector,truck,deepocsort,0,0,True
official_detector,bus,bytetrack,0,0,True
official_detector,bus,ocsort,0,0,True
official_detector,bus,deepocsort,0,0,True
official_detector,tricycle,bytetrack,0,0,True
official_detector,tricycle,ocsort,0,0,True
official_detector,tricycle,deepocsort,0,0,True
official_detector,awning-bike,bytetrack,0,0,True
official_detector,awning-bike,ocsort,0,0,True
official_detector,awning-bike,deepocsort,0,0,True
