AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_sequences,method,parameter,predicted_boxes,scope,sequence_count,threshold,tracker,valid_gt_boxes,valid_output
46.662173017928716,48.41157929306514,60121,214,11710,46.64073906760508,50.86699684741935,15115,49.307759244378126,105407,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,105621,confirmation38,38,0.25,bytetrack,165528,True
46.31270250004509,46.247618619338745,73372,310,13455,45.18790843320972,49.722346446605805,17462,47.46618251758539,122822,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,123132,all_sequences,50,0.25,bytetrack,196194,True
45.1520895980297,39.39507648587183,13251,96,1745,40.55488130906746,46.053412860456525,2362,41.60364857720305,17415,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,17511,legacy12,12,0.3,bytetrack,30666,True
46.71057807507159,48.411134382775124,60121,214,11710,46.659916684765726,50.87367789082304,15149,49.2804501916838,105407,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,105621,confirmation38,38,0.3,bytetrack,165528,True
46.33654084058152,46.24728048751834,73372,310,13455,45.194708194598135,49.716814283535086,17511,47.4380178042084,122822,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,123132,all_sequences,50,0.3,bytetrack,196194,True
44.6916352848572,39.40068106186691,13251,96,1745,40.24593039014462,45.26562325440286,2563,41.18458417945653,17415,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,17511,legacy12,12,0.05,bytetrack,30666,True
46.1694193178985,48.41148899316708,60121,214,11710,46.36008633793498,50.37806003456224,15794,48.65195861427364,105407,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,105621,confirmation38,38,0.05,bytetrack,165528,True
45.814751149968586,46.24889508965504,73372,310,13455,44.892688910465296,49.15107520732399,18357,46.859788749917534,122822,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,123132,all_sequences,50,0.05,bytetrack,196194,True
45.424484605282174,39.40068106186691,13251,96,1745,40.6778931666678,46.11619292272385,2379,41.57636769400731,17415,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,17511,legacy12,12,0.1,bytetrack,30666,True
46.9892650986425,48.41133332396253,60121,214,11710,46.8723093292371,51.55309091915992,14829,49.372058284904654,105407,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,105621,confirmation38,38,0.1,bytetrack,165528,True
46.61371778023601,46.248776781059576,73372,310,13455,45.38564945022046,50.248235400015254,17208,47.50109254308929,122822,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,123132,all_sequences,50,0.1,bytetrack,196194,True
45.36622673569794,39.40068106186691,13251,96,1745,40.66547429726448,46.38743936780174,2293,41.756764658643114,17415,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,17511,legacy12,12,0.15,bytetrack,30666,True
47.26117548613329,48.41065588645224,60121,214,11710,47.025068442169314,51.92154826888455,14500,49.65961601858017,105407,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,105621,confirmation38,38,0.15,bytetrack,165528,True
46.80638778602881,46.248261928551756,73372,310,13455,45.49876584739216,50.59336213262468,16793,47.762931692195274,122822,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,123132,all_sequences,50,0.15,bytetrack,196194,True
45.36869610961349,39.40068106186691,13251,96,1745,40.66515088544458,46.447271351234605,2249,41.8498267446142,17415,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,17511,legacy12,12,0.2,bytetrack,30666,True
47.31747460798689,48.40766160926228,60121,214,11710,47.05453346216203,52.077085292776545,14334,49.79382614641203,105407,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,105621,confirmation38,38,0.2,bytetrack,165528,True
46.849767768377276,46.24598627788739,73372,310,13455,45.52108164374983,50.725929946806474,16583,47.88726628998055,122822,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,123132,all_sequences,50,0.2,bytetrack,196194,True
45.35621305363887,39.39833402314826,13251,96,1745,40.66237226200894,46.444679310696095,2241,41.862453039434946,17415,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,17511,legacy12,12,0.25,bytetrack,30666,True
47.31038100447033,48.40719930569567,60121,214,11710,47.05220284072197,52.10665395181037,14251,49.853033401900404,105407,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,105621,confirmation38,38,0.25,bytetrack,165528,True
46.84138069627077,46.245071637884294,73372,310,13455,45.518643501830844,50.74778003794294,16492,47.93529411490869,122822,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,123132,all_sequences,50,0.25,bytetrack,196194,True
45.342779124781885,39.39833402314826,13251,96,1745,40.65632706986806,46.4428423455829,2242,41.86006839826891,17415,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,17511,legacy12,12,0.3,bytetrack,30666,True
47.397920740468386,48.405423283595205,60121,214,11710,47.09244012433843,52.15427487868827,14220,49.87057729845469,105407,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,105621,confirmation38,38,0.3,bytetrack,165528,True
46.90468675270364,46.243721861087934,73372,310,13455,45.547772991265546,50.78353107074298,16462,47.9480551624101,122822,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,123132,all_sequences,50,0.3,bytetrack,196194,True
46.45466245683671,36.27189091823542,18180,0,896,39.42742202980207,37.50339446479683,1555,31.66396181234185,12486,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,12486,legacy12,12,0.01,ocsort,30666,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,confirmation38,38,0.01,ocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,all_sequences,50,0.01,ocsort,,False
46.45466245683671,36.27189091823542,18180,0,896,39.42742202980207,37.50339446479683,1555,31.66396181234185,12486,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,12486,legacy12,12,0.025,ocsort,30666,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,2,aflink_official,aflink_cost,,confirmation38,38,0.025,ocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,2,aflink_official,aflink_cost,,all_sequences,50,0.025,ocsort,,False
46.45788076946001,36.27189091823542,18180,0,896,39.43148388306748,37.543380021285955,1554,31.665817788585347,12486,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,12486,legacy12,12,0.05,ocsort,30666,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,3,aflink_official,aflink_cost,,confirmation38,38,0.05,ocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,3,aflink_official,aflink_cost,,all_sequences,50,0.05,ocsort,,False
46.498902198559215,36.27189091823542,18180,0,896,39.45564009825332,37.609617964159426,1553,31.66767376482886,12486,equal_sequence_mean_metrics_total_counts,0,aflink_official,aflink_cost,12486,legacy12,12,0.1,ocsort,30666,True
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,4,aflink_official,aflink_cost,,confirmation38,38,0.1,ocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,4,aflink_official,aflink_cost,,all_sequences,50,0.1,ocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,legacy12,12,0.2,ocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,3,aflink_official,aflink_cost,,confirmation38,38,0.2,ocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,4,aflink_official,aflink_cost,,all_sequences,50,0.2,ocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,1,aflink_official,aflink_cost,,legacy12,12,0.4,ocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,4,aflink_official,aflink_cost,,confirmation38,38,0.4,ocsort,,False
,,,,,,,,,,equal_sequence_mean_metrics_total_counts,5,aflink_official,aflink_cost,,all_sequences,50,0.4,ocsort,,False
48.37313847591579,36.26826879986473,18180,0,896,40.38170654962013,39.33314772155554,1214,32.64569153445723,12486,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,12486,legacy12,12,0.05,ocsort,30666,True
54.67300822022977,42.409233813558835,87556,0,2979,47.397417812699466,46.43807789100225,3562,40.006010394506845,77972,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,77972,confirmation38,38,0.05,ocsort,165528,True
53.16103948159443,40.93540221027226,105736,0,3875,45.71364710956044,44.73289465033505,4776,38.23953386809494,90458,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,90458,all_sequences,50,0.05,ocsort,196194,True
49.355482791830845,36.27189091823542,18180,0,896,40.846484233072246,40.27540396888768,1051,33.20975188539956,12486,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,12486,legacy12,12,0.1,ocsort,30666,True
55.41462579226613,42.409118055820606,87556,0,2979,47.71863651656285,47.21110389261675,3211,40.39846902789913,77972,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,77972,confirmation38,38,0.1,ocsort,165528,True
53.960431472161666,40.93618354280017,105736,0,3875,46.069319968525114,45.546535910921776,4262,38.67317691369924,90458,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,90458,all_sequences,50,0.1,ocsort,196194,True
49.28465076410587,36.27189091823542,18180,0,896,40.804336443705715,40.493243459216416,1023,33.35877851654018,12486,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,12486,legacy12,12,0.15,ocsort,30666,True
55.57343593708489,42.406916899331954,87556,0,2979,47.78315198356449,47.22724439068942,3219,40.408819210903836,77972,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,77972,confirmation38,38,0.15,ocsort,165528,True
54.06412749556993,40.93451066386879,105736,0,3875,46.108236253998385,45.61108416713589,4242,38.716809444256555,90458,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,90458,all_sequences,50,0.15,ocsort,196194,True
49.0875469425573,36.27189091823542,18180,0,896,40.69361097322547,40.333075142914986,1022,33.32202786164011,12486,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,12486,legacy12,12,0.2,ocsort,30666,True
55.469707358595784,42.39577053699566,87556,0,2979,47.720804645037504,47.06735936037473,3271,40.32102269617288,77972,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,77972,confirmation38,38,0.2,ocsort,165528,True
53.937988858746536,40.92603942849321,105736,0,3875,46.03427816380261,45.4511311481844,4293,38.641263935885014,90458,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,90458,all_sequences,50,0.2,ocsort,196194,True
49.043267868180294,36.27189091823542,18180,0,896,40.67461825354224,40.29458969093767,1035,33.27566611738822,12486,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,12486,legacy12,12,0.25,ocsort,30666,True
55.37509950865692,42.39475879333404,87556,0,2979,47.68357101989877,46.97944993758614,3322,40.28438778816689,77972,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,77972,confirmation38,38,0.25,ocsort,165528,True
53.85545991494253,40.92527050331039,105736,0,3875,46.00142235597322,45.375083478390515,4357,38.60229458718001,90458,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,90458,all_sequences,50,0.25,ocsort,196194,True
48.99413074832993,36.27189091823542,18180,0,896,40.64960849973915,40.19148279707926,1063,33.21734998569185,12486,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,12486,legacy12,12,0.3,ocsort,30666,True
55.105564567282705,42.394963191909234,87556,0,2979,47.58009515915865,46.85244593548462,3378,40.23024623907196,77972,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,77972,confirmation38,38,0.3,ocsort,165528,True
53.638820450734045,40.925425846227526,105736,0,3875,45.91677836089797,45.25381478226733,4441,38.547151138260745,90458,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,90458,all_sequences,50,0.3,ocsort,196194,True
48.46743770837055,36.26826879986473,18180,0,896,40.428501466771635,39.37374405676402,1202,32.69692935484357,12486,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,12486,legacy12,12,0.05,ocsort,30666,True
54.838500143240914,42.408668352144716,87556,0,2979,47.46301793895752,46.59686753991175,3438,40.07922094746222,77972,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,77972,confirmation38,38,0.05,ocsort,165528,True
53.30944515887203,40.93497245959752,105736,0,3875,45.77473398563292,44.863317903956286,4640,38.30747096523374,90458,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,90458,all_sequences,50,0.05,ocsort,196194,True
