AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_sequences,method,parameter,predicted_boxes,scope,sequence_count,threshold,tracker,valid_gt_boxes,valid_output
86.43570821845556,86.17371203617081,18279,0,1872,86.11106960706643,87.5006683803462,1241,85.45479115207782,147249,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,147249,confirmation38,38,0.1,deepocsort,165528,True
84.59434150837214,81.59767731557831,22130,0,2155,82.62663562798627,83.69584173835855,1433,80.7585769877828,174064,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,174064,all_sequences,50,0.1,deepocsort,196194,True
78.86944699969575,67.1069007003687,3851,0,283,71.6446286227884,71.7434671299729,172,65.97125435186427,26815,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,26815,legacy12,12,0.15,deepocsort,30666,True
86.48209084368803,86.17197982059689,18279,0,1872,86.12828294742255,87.5181829889612,1208,85.49539367866703,147249,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,147249,confirmation38,38,0.15,deepocsort,165528,True
84.65505632112989,81.59636083174213,22130,0,2155,82.65220590951034,83.73225118280399,1380,80.80960024023437,174064,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,174064,all_sequences,50,0.15,deepocsort,196194,True
78.87790809375008,67.1069007003687,3851,0,283,71.64968562898316,71.73086616665242,163,65.94761664259399,26815,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,26815,legacy12,12,0.2,deepocsort,30666,True
86.54387734652826,86.17239493181793,18279,0,1872,86.16025223664296,87.58448924116178,1197,85.50395050456237,147249,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,147249,confirmation38,38,0.2,deepocsort,165528,True
84.70404472586148,81.59667631627013,22130,0,2155,82.6777162508046,83.77961970327954,1360,80.81043037768997,174064,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,174064,all_sequences,50,0.2,deepocsort,196194,True
78.86520132848703,67.1069007003687,3851,0,283,71.64354699704516,71.74594530278999,163,65.95153281663754,26815,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,26815,legacy12,12,0.25,deepocsort,30666,True
86.43231701260726,86.17626087916285,18279,0,1872,86.10516313047322,87.498780971861,1202,85.50475079315538,147249,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,147249,confirmation38,38,0.25,deepocsort,165528,True
84.6162092484184,81.59961443625225,22130,0,2155,82.63437525845048,83.71810041128396,1365,80.81197847879112,174064,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,174064,all_sequences,50,0.25,deepocsort,196194,True
78.76146431439845,67.1069007003687,3851,0,283,71.59961755341676,71.68416994091179,167,65.94318155613212,26815,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,26815,legacy12,12,0.3,deepocsort,30666,True
86.36214016771397,86.17626087916285,18279,0,1872,86.0688872650891,87.4551365901824,1210,85.49744093936545,147249,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,147249,confirmation38,38,0.3,deepocsort,165528,True
84.53797796291823,81.59961443625225,22130,0,2155,82.59626253428775,83.67010459435745,1377,80.80441868738944,174064,equal_sequence_mean_metrics_total_counts,0,com3d_reciprocal_guard,appearance_cosine,174064,all_sequences,50,0.3,deepocsort,196194,True
78.34127676154031,67.1069007003687,3851,0,283,71.38962874642048,71.2163553358978,235,65.57618319738937,26815,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,26815,legacy12,12,0.05,deepocsort,30666,True
85.44742819474176,86.17934334933189,18279,0,1872,85.61086825016253,86.54146550614273,1356,85.31081101622331,147249,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,147249,confirmation38,38,0.05,deepocsort,165528,True
83.74195185077342,81.60195711358072,22130,0,2155,82.19777076926444,82.86343906528394,1591,80.57450033970318,174064,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,174064,all_sequences,50,0.05,deepocsort,196194,True
78.81722155674348,67.1069007003687,3851,0,283,71.61940476358772,71.68608145935771,188,65.89588879263748,26815,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,26815,legacy12,12,0.1,deepocsort,30666,True
86.57334960814505,86.17650474369492,18279,0,1872,86.18504051578114,87.59824692765024,1174,85.47797129761815,147249,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,147249,confirmation38,38,0.1,deepocsort,165528,True
84.7118788758087,81.59979977329664,22130,0,2155,82.68928793525471,83.77932721526004,1362,80.77827149642282,174064,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,174064,all_sequences,50,0.1,deepocsort,196194,True
78.94969003251775,67.1069007003687,3851,0,283,71.6844637479577,71.80654131973701,164,65.98990279199558,26815,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,26815,legacy12,12,0.15,deepocsort,30666,True
86.73078155791961,86.17601633349575,18279,0,1872,86.25608292490733,87.70981999916205,1088,85.55471468391598,147249,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,147249,confirmation38,38,0.15,deepocsort,165528,True
84.86331959182318,81.59942858154527,22130,0,2155,82.7588943224394,83.89303311610003,1252,80.85915982985509,174064,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,174064,all_sequences,50,0.15,deepocsort,196194,True
78.99657215264796,67.1069007003687,3851,0,283,71.70789113583977,71.85144128557694,152,66.01640143228504,26815,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,26815,legacy12,12,0.2,deepocsort,30666,True
86.84762029848606,86.17118519354108,18279,0,1872,86.31453845642095,87.85069637979193,1058,85.56992379961122,147249,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,147249,confirmation38,38,0.2,deepocsort,165528,True
84.96336874348492,81.5957569151797,22130,0,2155,82.80894309948145,84.01087515718035,1210,80.87707843145294,174064,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,174064,all_sequences,50,0.2,deepocsort,196194,True
78.99875369282297,67.1069007003687,3851,0,283,71.70910468899643,71.87627881860139,147,66.02647688600884,26815,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,26815,legacy12,12,0.25,deepocsort,30666,True
86.82363239681709,86.17744696882126,18279,0,1872,86.30429181850648,87.82736676756421,1037,85.5818599055708,147249,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,147249,confirmation38,38,0.25,deepocsort,165528,True
84.94566150785849,81.60051586439266,22130,0,2155,82.80144690742407,83.99910565981314,1184,80.88856798087595,174064,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,174064,all_sequences,50,0.25,deepocsort,196194,True
78.96702273611756,67.1069007003687,3851,0,283,71.70128522441992,71.89482242205297,143,66.03587612339004,26815,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,26815,legacy12,12,0.3,deepocsort,30666,True
86.81080047022931,86.17712189846249,18279,0,1872,86.29769777096742,87.82467303121932,1031,85.58431268045409,147249,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,147249,confirmation38,38,0.3,deepocsort,165528,True
84.9282938140425,81.60026881091999,22130,0,2155,82.79455875979602,84.00150888501939,1174,80.89268790675871,174064,equal_sequence_mean_metrics_total_counts,0,geometry_reid_hungarian,appearance_cosine,174064,all_sequences,50,0.3,deepocsort,196194,True
