AssA,DetA,HOTA,IDF1,IDSW,MOTA,accepted_correct,accepted_false,accepted_unknown,aggregation,method,sequence_count,split,tracker
82.17879234360521,88.44577888519548,85.11403751610138,92.28759079535966,4,98.2547921173666,1,8,1,equal_sequence_mean_metrics_total_counts,geometry_reid_greedy_guard,4,held_out,bytetrack
88.43210190352058,88.44577888519548,88.30595869519294,96.77181617937282,6,98.21409846643459,0,0,0,equal_sequence_mean_metrics_total_counts,no_refinement,4,held_out,bytetrack
89.95883988058038,88.44577888519548,89.09440762334265,98.29807355716629,3,98.27626978059683,2,0,1,equal_sequence_mean_metrics_total_counts,regr_t_reliable_motion_min5,4,held_out,bytetrack
82.17879234360521,88.44577888519548,85.11403751610138,92.28759079535966,4,98.2547921173666,1,8,1,equal_sequence_mean_metrics_total_counts,regr_temporal_risk_05,4,held_out,bytetrack
81.99057850014476,88.44577888519548,84.97349837715312,91.96200099226898,5,98.23331445413638,0,8,1,equal_sequence_mean_metrics_total_counts,regr_v1,4,held_out,bytetrack
90.82033560464683,95.4108595525537,93.04543102492198,93.95586209979427,5,95.30799458745943,0,4,0,equal_sequence_mean_metrics_total_counts,geometry_reid_greedy_guard,4,held_out,ocsort
92.76751283708309,95.4108595525537,94.05490180420017,95.39262475202062,5,95.30799458745943,0,0,0,equal_sequence_mean_metrics_total_counts,no_refinement,4,held_out,ocsort
92.57418745634743,95.4108595525537,93.94808143994018,95.47130295815754,4,95.32721057516122,1,1,0,equal_sequence_mean_metrics_total_counts,regr_t_reliable_motion_min5,4,held_out,ocsort
90.82033560464683,95.4108595525537,93.04543102492198,93.95586209979427,5,95.30799458745943,0,4,0,equal_sequence_mean_metrics_total_counts,regr_temporal_risk_05,4,held_out,ocsort
91.90887878844285,95.4108595525537,93.59925886458302,94.84099191883439,5,95.30799458745943,0,3,0,equal_sequence_mean_metrics_total_counts,regr_v1,4,held_out,ocsort
