dataset,split,protocol,data_role,input,sequence,tracker,method,internal_method,parent_method,IDF1,delta_IDF1_vs_None,delta_IDF1_vs_parent,AssA,delta_AssA_vs_None,delta_AssA_vs_parent,IDSW,delta_IDSW_vs_None,delta_IDSW_vs_parent
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,ocsort,H+V,cost_h_full_reassign,H,98.8906497622821,0.35217467864060836,0.0,97.77044456021233,0.49816284110380593,0.0,1,-2,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,ocsort,P-G,path_g,None,98.8906497622821,0.35217467864060836,0.35217467864060836,97.77044456021233,0.49816284110380593,0.49816284110380593,1,-2,-2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/rgb/val/1-08,ocsort,P-G+V,path_g_full_reassign,P-G,98.8906497622821,0.35217467864060836,0.0,97.77044456021233,0.49816284110380593,0.0,1,-2,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,bytetrack,None,no_refinement,None,90.86507835393044,0.0,0.0,85.95331180887736,0.0,0.0,11,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,bytetrack,v1,ace_v1,None,97.93604280800102,7.070964454070577,7.070964454070577,93.73632458870263,7.78301277982527,7.78301277982527,3,-8,-8
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,bytetrack,H,cost_h,None,98.02522614345777,7.160147789527329,7.160147789527329,93.90167054848341,7.94835873960605,7.94835873960605,2,-9,-9
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,bytetrack,H+V,cost_h_full_reassign,H,97.84685947254428,6.9817811186138385,-0.17836667091349057,93.48933470009861,7.536022891221251,-0.4123358483847994,4,-7,2
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,bytetrack,P-G,path_g,None,97.84685947254428,6.9817811186138385,6.9817811186138385,93.41556683062167,7.462255021744312,7.462255021744312,4,-7,-7
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,bytetrack,P-G+V,path_g_full_reassign,P-G,97.84685947254428,6.9817811186138385,0.0,93.48933470009861,7.536022891221251,0.07376786947693859,4,-7,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,ocsort,None,no_refinement,None,90.54209919261822,0.0,0.0,87.90893608571727,0.0,0.0,11,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,ocsort,v1,ace_v1,None,97.44969883378188,6.907599641163657,6.907599641163657,95.6711778270901,7.762241741372833,7.762241741372833,3,-8,-8
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,ocsort,H,cost_h,None,97.51377675253107,6.971677559912848,6.971677559912848,95.79234964725343,7.883413561536159,7.883413561536159,2,-9,-9
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,ocsort,H+V,cost_h_full_reassign,H,97.51377675253107,6.971677559912848,0.0,95.79234964725343,7.883413561536159,0.0,2,-9,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,ocsort,P-G,path_g,None,97.38562091503267,6.843521722414451,6.843521722414451,95.43669266380134,7.527756578084066,7.527756578084066,4,-7,-7
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/ir/val/2-08T,ocsort,P-G+V,path_g_full_reassign,P-G,97.38562091503267,6.843521722414451,0.0,95.49269424571675,7.583758159999476,0.05600158191541027,4,-7,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,bytetrack,None,no_refinement,None,98.57943925233646,0.0,0.0,95.67316321825757,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,bytetrack,v1,ace_v1,None,98.57943925233646,0.0,0.0,95.67316321825757,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,bytetrack,H,cost_h,None,98.57943925233646,0.0,0.0,95.67316321825757,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,bytetrack,H+V,cost_h_full_reassign,H,98.57943925233646,0.0,0.0,95.67316321825757,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,bytetrack,P-G,path_g,None,98.57943925233646,0.0,0.0,95.67316321825757,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,bytetrack,P-G+V,path_g_full_reassign,P-G,98.57943925233646,0.0,0.0,95.67316321825757,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,ocsort,None,no_refinement,None,98.13470205307962,0.0,0.0,97.32888435836351,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,ocsort,v1,ace_v1,None,98.13470205307962,0.0,0.0,97.32888435836351,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,ocsort,H,cost_h,None,98.13470205307962,0.0,0.0,97.32888435836351,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,ocsort,H+V,cost_h_full_reassign,H,98.13470205307962,0.0,0.0,97.32888435836351,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,ocsort,P-G,path_g,None,98.13470205307962,0.0,0.0,97.32888435836351,0.0,0.0,1,0,0
M3OT,development,development,development selection,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/2/rgb/val/2-08,ocsort,P-G+V,path_g_full_reassign,P-G,98.13470205307962,0.0,0.0,97.32888435836351,0.0,0.0,1,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,bytetrack,None,no_refinement,None,98.44961240310077,0.0,0.0,87.53887235224622,0.0,0.0,3,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,bytetrack,v1,ace_v1,None,95.27131782945737,-3.1782945736433987,-3.1782945736433987,82.44230742965145,-5.096564922594766,-5.096564922594766,2,-1,-1
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,bytetrack,H,cost_h,None,91.62790697674419,-6.821705426356587,-6.821705426356587,78.52413374093355,-9.014738611312666,-9.014738611312666,2,-1,-1
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,bytetrack,H+V,cost_h_full_reassign,H,95.73643410852713,-2.7131782945736376,4.1085271317829495,83.47914556093346,-4.059726791312755,4.9550118199999105,1,-2,-1
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,bytetrack,P-G,path_g,None,95.73643410852713,-2.7131782945736376,-2.7131782945736376,83.47914556093346,-4.059726791312755,-4.059726791312755,1,-2,-2
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,bytetrack,P-G+V,path_g_full_reassign,P-G,95.73643410852713,-2.7131782945736376,0.0,83.47914556093346,-4.059726791312755,0.0,1,-2,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,ocsort,None,no_refinement,None,97.1675845790716,0.0,0.0,94.61210304191653,0.0,0.0,2,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,ocsort,v1,ace_v1,None,97.1675845790716,0.0,0.0,94.3146838786545,-0.29741916326202045,-0.29741916326202045,2,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,M3OT/1/ir/test/1-03T,ocsort,H,cost_h,None,93.62706530291109,-3.5405192761605093,-3.5405192761605093,89.96051114347047,-4.651591898446057,-4.651591898446057,2,0,0
