protocol,family,sequence,tracker,table4_method,d16_method,table4_IDF1,d16_IDF1,d16_minus_table4_IDF1,table4_AssA,d16_AssA,d16_minus_table4_AssA,table4_IDSW,d16_IDSW,d16_minus_table4_IDSW,table4_reconstructed_accepted_edges,table4_stored_accepted_edges,table4_reconstruction_count_matches,d16_reconstructed_accepted_edges,d16_stored_accepted_edges,d16_reconstruction_count_matches
oracle_aabb,legacy12,data30-4,ocsort,geometry_reid_greedy_guard,path_g,39.48306595365419,38.05704099821747,-1.4260249554367235,34.09365691955515,33.02662494888613,-1.0670319706690208,148,142,-6,60,60,True,56,56,True
oracle_aabb,legacy12,data30-4,deepocsort,geometry_reid_greedy_guard,path_g,89.85709306378529,89.54339491111885,-0.31369815266643286,88.2789271935095,88.02458381194377,-0.25434338156573233,28,27,-1,33,33,True,33,33,True
oracle_aabb,legacy12,data30-5,bytetrack,geometry_reid_greedy_guard,path_g,61.633054599114615,61.780619773733406,0.1475651746187907,65.65970345700221,65.67793940718157,0.01823595017935986,70,74,4,55,55,True,51,51,True
oracle_aabb,legacy12,data30-5,ocsort,geometry_reid_greedy_guard,path_g,57.503867973182054,57.400722021660656,-0.10314595152139816,76.01845421865153,75.84095419972276,-0.1775000189287681,19,21,2,39,39,True,38,38,True
oracle_aabb,legacy12,data30-5,deepocsort,geometry_reid_greedy_guard,path_g,92.49556824896592,92.37738822139059,-0.11818002757533463,88.87866654915678,88.60640232872511,-0.27226422043166565,11,10,-1,13,13,True,13,13,True
oracle_aabb,legacy12,data30-9,bytetrack,geometry_reid_greedy_guard,path_g,48.281343135306976,47.963441287502484,-0.3179018478044924,66.77747163299776,66.47099507056423,-0.30647656243353083,133,130,-3,108,108,True,106,106,True
oracle_aabb,legacy12,data30-9,ocsort,geometry_reid_greedy_guard,path_g,49.046653144016226,49.08722109533469,0.040567951318465134,70.2971898698966,70.49519638045481,0.1980065105582156,62,58,-4,154,154,True,154,154,True
oracle_aabb,legacy12,data30-9,deepocsort,geometry_reid_greedy_guard,path_g,93.44120196475008,93.35452181450448,-0.0866801502455985,91.25076859723387,91.05434595053751,-0.19642264669636234,17,18,1,16,16,True,16,16,True
oracle_aabb,confirmation38,data23-1,bytetrack,geometry_reid_greedy_guard,path_g,82.96795952782462,82.63069139966274,-0.337268128161881,75.1758433119087,74.83092173558448,-0.34492157632421083,65,72,7,33,33,True,26,26,True
oracle_aabb,confirmation38,data23-1,ocsort,geometry_reid_greedy_guard,path_g,75.4870865428183,75.39646579066607,-0.09062075215223331,77.3997579741191,77.37433340074176,-0.025424573377335946,34,38,4,12,12,True,9,9,True
oracle_aabb,confirmation38,data23-1,deepocsort,geometry_reid_greedy_guard,path_g,96.2363415621206,96.2363415621206,0.0,96.15847249999845,96.15847249999845,0.0,2,2,0,1,1,True,1,1,True
oracle_aabb,confirmation38,data24-1,bytetrack,geometry_reid_greedy_guard,path_g,56.22783941438866,54.90106370810934,-1.3267757062793208,53.49880746336798,52.85560929589843,-0.6431981674695493,638,707,69,477,477,True,429,429,True
oracle_aabb,confirmation38,data24-1,ocsort,geometry_reid_greedy_guard,path_g,49.00439617274373,49.01732609257823,0.012929919834498094,61.86279995332006,61.859322607306865,-0.0034773460131916067,206,208,2,62,62,True,62,62,True
oracle_aabb,confirmation38,data24-1,deepocsort,geometry_reid_greedy_guard,path_g,77.76524859046643,77.52947206560738,-0.2357765248590482,77.96627314255599,77.63141227560382,-0.33486086695216954,135,147,12,147,147,True,131,131,True
oracle_aabb,confirmation38,data27-1,bytetrack,geometry_reid_greedy_guard,path_g,41.17647058823529,38.23529411764706,-2.941176470588232,33.43222418514879,32.398531027449714,-1.0336931576990764,14,18,4,6,6,True,4,4,True
oracle_aabb,confirmation38,data27-1,ocsort,geometry_reid_greedy_guard,path_g,18.58407079646018,18.58407079646018,0.0,18.941775278984583,18.941775278984583,0.0,2,2,0,2,2,True,2,2,True
oracle_aabb,confirmation38,data27-1,deepocsort,geometry_reid_greedy_guard,path_g,72.78287461773701,72.78287461773701,0.0,77.61188764723649,77.61188764723649,0.0,5,5,0,0,0,True,0,0,True
oracle_aabb,confirmation38,data31-1,bytetrack,geometry_reid_greedy_guard,path_g,11.142061281337048,10.770659238625813,-0.3714020427112352,3.8299294613451655,3.6666529863929513,-0.1632764749522142,35,36,1,44,44,True,42,42,True
oracle_aabb,confirmation38,data31-1,ocsort,geometry_reid_greedy_guard,path_g,3.7383177570093453,3.7383177570093453,0.0,1.7619158769787824,1.7619158769787824,0.0,13,13,0,8,8,True,8,8,True
oracle_aabb,confirmation38,data31-1,deepocsort,geometry_reid_greedy_guard,path_g,98.4766050054407,98.4766050054407,0.0,97.07618004953056,97.07618004953056,0.0,0,0,0,2,2,True,2,2,True
oracle_aabb,confirmation38,data33-1,bytetrack,geometry_reid_greedy_guard,path_g,26.451612903225808,19.56989247311828,-6.881720430107528,17.071050511425284,13.018922729593665,-4.052127781831619,45,66,21,74,74,True,66,66,True
oracle_aabb,confirmation38,data33-1,ocsort,geometry_reid_greedy_guard,path_g,15.159574468085108,14.893617021276595,-0.2659574468085122,13.113154621581963,13.029447103528948,-0.08370751805301424,19,20,1,11,11,True,11,11,True
oracle_aabb,confirmation38,data33-1,deepocsort,geometry_reid_greedy_guard,path_g,88.35341365461848,88.35341365461848,0.0,82.0559288453294,82.0559288453294,0.0,8,8,0,10,10,True,10,10,True
