dataset,split,protocol,data_role,input,tracker,method,internal_method,parent_method,sequence_count,sequences,aggregation,IDF1,delta_IDF1_vs_None,delta_IDF1_vs_parent,AssA,delta_AssA_vs_None,delta_AssA_vs_parent,IDSW,delta_IDSW_vs_None,delta_IDSW_vs_parent
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,bytetrack,None,no_refinement,None,4,M3OT/1/ir/test/1-03T;M3OT/1/rgb/test/1-03;M3OT/2/ir/test/2-03T;M3OT/2/rgb/test/2-03,equal-sequence mean for IDF1/AssA; total for IDSW,96.77181617937282,0.0,0.0,88.43210190352059,0.0,0.0,6,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,bytetrack,P-G,path_g,None,4,M3OT/1/ir/test/1-03T;M3OT/1/rgb/test/1-03;M3OT/2/ir/test/2-03T;M3OT/2/rgb/test/2-03,equal-sequence mean for IDF1/AssA; total for IDSW,92.07828006203643,-4.693536117336393,-4.693536117336393,82.24978803296527,-6.182313870555316,-6.182313870555316,4,-2,-2
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,bytetrack,P-G+V,path_g_full_reassign,P-G,4,M3OT/1/ir/test/1-03T;M3OT/1/rgb/test/1-03;M3OT/2/ir/test/2-03T;M3OT/2/rgb/test/2-03,equal-sequence mean for IDF1/AssA; total for IDSW,92.07828006203643,-4.693536117336393,0.0,82.24978803296527,-6.182313870555316,0.0,4,-2,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,bytetrack,v1,ace_v1,None,4,M3OT/1/ir/test/1-03T;M3OT/1/rgb/test/1-03;M3OT/2/ir/test/2-03T;M3OT/2/rgb/test/2-03,equal-sequence mean for IDF1/AssA; total for IDSW,91.96200099226898,-4.809815187103833,-4.809815187103833,81.99057850014476,-6.441523403375818,-6.441523403375818,5,-1,-1
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,H,cost_h,None,4,M3OT/1/ir/test/1-03T;M3OT/1/rgb/test/1-03;M3OT/2/ir/test/2-03T;M3OT/2/rgb/test/2-03,equal-sequence mean for IDF1/AssA; total for IDSW,93.95586209979427,-1.43676265222636,-1.43676265222636,90.82033560464683,-1.9471772324362533,-1.9471772324362533,5,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,H+V,cost_h_full_reassign,H,4,M3OT/1/ir/test/1-03T;M3OT/1/rgb/test/1-03;M3OT/2/ir/test/2-03T;M3OT/2/rgb/test/2-03,equal-sequence mean for IDF1/AssA; total for IDSW,94.9196701249713,-0.472954627049333,0.9638080251770269,92.12919012677786,-0.6383227103052356,1.3088545221310177,4,-1,-1
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,None,no_refinement,None,4,M3OT/1/ir/test/1-03T;M3OT/1/rgb/test/1-03;M3OT/2/ir/test/2-03T;M3OT/2/rgb/test/2-03,equal-sequence mean for IDF1/AssA; total for IDSW,95.39262475202064,0.0,0.0,92.76751283708309,0.0,0.0,5,0,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,P-G,path_g,None,4,M3OT/1/ir/test/1-03T;M3OT/1/rgb/test/1-03;M3OT/2/ir/test/2-03T;M3OT/2/rgb/test/2-03,equal-sequence mean for IDF1/AssA; total for IDSW,94.9196701249713,-0.472954627049333,-0.472954627049333,92.12919012677786,-0.6383227103052356,-0.6383227103052356,4,-1,-1
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,P-G+V,path_g_full_reassign,P-G,4,M3OT/1/ir/test/1-03T;M3OT/1/rgb/test/1-03;M3OT/2/ir/test/2-03T;M3OT/2/rgb/test/2-03,equal-sequence mean for IDF1/AssA; total for IDSW,94.9196701249713,-0.472954627049333,0.0,92.12919012677786,-0.6383227103052356,0.0,4,-1,0
M3OT,held_out,held_out,exposed exploratory retest,oracle-box tracker output; direct tracker-box BaseReID crops,ocsort,v1,ace_v1,None,4,M3OT/1/ir/test/1-03T;M3OT/1/rgb/test/1-03;M3OT/2/ir/test/2-03T;M3OT/2/rgb/test/2-03,equal-sequence mean for IDF1/AssA; total for IDSW,94.8409919188344,-0.5516328331862326,-0.5516328331862326,91.90887878844285,-0.8586340486402442,-0.8586340486402442,5,0,0
