protocol,family,sequence,tracker,base_solver,base_method,reassignment_method,tau_a,tau_m,audit_label,base_edges,postfilter_edges,reassigned_edges,base_correct_rejected_by_verifier,base_false_removed_by_verifier,base_unresolved_rejected_by_verifier,reassignment_added_correct,reassignment_added_false,reassignment_added_unresolved,reassignment_dropped_postfilter_correct,reassignment_dropped_postfilter_false,reassignment_dropped_postfilter_unresolved,stored_H_postfilter_exact
official_detector,confirmation38,data33-1,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,61,53,53,0,0,8,0,0,0,0,0,0,N/A
official_detector,confirmation38,data33-1,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,8,8,8,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data33-1,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,8,8,8,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data33-1,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,9,9,9,0,0,0,0,0,0,0,0,0,True
official_detector,confirmation38,data33-1,ocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,9,9,9,0,0,0,0,0,0,0,0,0,N/A
official_detector,confirmation38,data34-1,bytetrack,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,503,329,371,0,0,174,0,0,77,0,0,35,True
official_detector,confirmation38,data34-1,bytetrack,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,471,354,361,0,0,117,0,0,8,0,0,1,N/A
official_detector,confirmation38,data34-1,deepocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,111,66,73,0,3,42,1,1,9,0,0,4,True
official_detector,confirmation38,data34-1,deepocsort,P-G,path_g,path_g_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,105,71,73,0,1,33,0,0,3,0,0,1,N/A
official_detector,confirmation38,data34-1,ocsort,H,cost_h,cost_h_full_reassign,0.1,4.0,post-hoc majority actor at IoU>=0.9; majority ties excluded,132,76,90,5,0,51,2,0,12,0,0,0,True
