adapter_input_detections,class_name,dataset,descriptor_eligible_output_boxes_iou_ge_0_9,descriptor_eligible_track_ids,duplicate_frame_identity_count,evaluated_gt_boxes,evaluated_prediction_boxes,family,frames_with_gt,released_frames,saved_output,saved_output_sha256,score_gate_admitted_detections,sequence,tracker,tracker_output_boxes,tracker_output_track_ids,tracker_runtime_seconds,valid_gt_boxes,zero_gt_frames
21,bike,MMOT,0,0,0,21,1,data28,21,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/bike/bytetrack.jsonl.gz,1ab0650cee41c51ebcdb1843452fbaa9467779d3758379fe17a688e66cd9fe93,21,data28-3,bytetrack,1,1,0.011381457559764385,21,48
21,bike,MMOT,0,0,0,21,0,data28,21,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/bike/ocsort.jsonl.gz,6139daa46551d4b79d9e1d3e920687fbba73cce5792c8c05830eb6d8378ea484,21,data28-3,ocsort,0,0,0.019224722869694233,21,48
21,pedestrian,MMOT,0,0,0,21,0,data28,21,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/pedestrian/bytetrack.jsonl.gz,e57fdb5661da629eca801ccad3d7c14052de9ffbd751e507abf1cb61f2f5dade,21,data28-3,bytetrack,0,0,0.009094469249248505,21,48
21,pedestrian,MMOT,0,0,0,21,0,data28,21,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/pedestrian/ocsort.jsonl.gz,6139daa46551d4b79d9e1d3e920687fbba73cce5792c8c05830eb6d8378ea484,21,data28-3,ocsort,0,0,0.019487405195832253,21,48
12,van,MMOT,0,0,0,12,0,data28,12,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/van/bytetrack.jsonl.gz,e57fdb5661da629eca801ccad3d7c14052de9ffbd751e507abf1cb61f2f5dade,12,data28-3,bytetrack,0,0,0.008399575017392635,12,57
12,van,MMOT,0,0,0,12,0,data28,12,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/van/ocsort.jsonl.gz,6139daa46551d4b79d9e1d3e920687fbba73cce5792c8c05830eb6d8378ea484,12,data28-3,ocsort,0,0,0.012436813674867153,12,57
147,truck,MMOT,1,1,0,147,55,data28,68,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/truck/bytetrack.jsonl.gz,01a4304b3743629c3005c815338b8863db35637658d2a143f0c192f50e5be152,147,data28-3,bytetrack,55,13,0.047220864333212376,147,1
147,truck,MMOT,44,8,0,147,44,data28,68,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/truck/ocsort.jsonl.gz,9c04fb8ed782d63c81a9b0bcd4f67c42669b646e88164e2a31764c9866e404bd,147,data28-3,ocsort,44,8,0.11456964816898108,147,1
28,awning-bike,MMOT,1,1,0,28,2,data28,28,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/awning-bike/bytetrack.jsonl.gz,88cddc51504e8f8cb26488c0a44e12ca1d912479c38e666b5b781243b7218a40,28,data28-3,bytetrack,2,2,0.016527659259736538,28,41
28,awning-bike,MMOT,0,0,0,28,0,data28,28,69,<EXPERIMENT_ROOT>/results_raw/e0/results_raw/tracker_outputs/data28/data28-3/awning-bike/ocsort.jsonl.gz,f77d9e042ae4b52fbb829d9cacc240b749633757b0a880b5e89af75076e3e8f6,28,data28-3,ocsort,0,0,0.031218393705785275,28,41
