method,model,base_model,ablation,proposed_module,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv10s,yolov10s.pt,yolov10s.pt,,,false,,YOLO,yolo,v10,v10,true,small,small,unknown,small,VisDrone2019-DET,123,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131008/20260519_131024_yolov10s_visdrone_fresh_fresh_20260519_131008_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131008/20260519_131024_yolov10s_visdrone_fresh_fresh_20260519_131008_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131008/20260519_131024_yolov10s_visdrone_fresh_fresh_20260519_131008_seed123/ultralytics/weights/best.pt,1.0,0.21137,0.3551,,,0.45894,0.3915,0.42254599971779316,1.0,0.21137,0.3551,,,0.45894,0.3915,0.42254599971779316,,,,,
YOLOv10s,yolov10s.pt,yolov10s.pt,,,false,,YOLO,yolo,v10,v10,true,small,small,unknown,small,VisDrone2019-DET,42,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131008/20260519_131025_yolov10s_visdrone_fresh_fresh_20260519_131008_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131008/20260519_131025_yolov10s_visdrone_fresh_fresh_20260519_131008_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_fresh_baselines/fresh_20260519_131008/20260519_131025_yolov10s_visdrone_fresh_fresh_20260519_131008_seed42/ultralytics/weights/best.pt,1.0,0.20763,0.34918,,,0.456,0.37823,0.4134899967634825,1.0,0.20763,0.34918,,,0.456,0.37823,0.4134899967634825,,,,,
