AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,aggregation,invalid_class_instances,invalid_sequences,method,predicted_boxes,scope,sequence_count,tracker,valid_gt_boxes,valid_output
67.00430350974733,45.1067926838104,72677,12281,4881,53.91984765086411,63.08515652334443,1370,49.77632693847167,123517,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,135798,all_sequences,50,deepocsort,196194,True
56.65370703231341,36.29762214439327,11766,1326,586,44.496450621339534,51.61481391682948,163,39.31945423772502,18900,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,20226,legacy12,12,deepocsort,30666,True
70.27291292367381,47.88863601204738,60911,10955,4295,56.895657239135026,66.70736997803337,1207,53.078497265023245,104617,equal_sequence_mean_metrics_total_counts,0,0,no_refinement,115572,confirmation38,38,deepocsort,165528,True
67.70948240172952,45.106166732737414,72677,12281,4881,54.25346154530702,64.0072576166142,1008,50.09258830316176,123517,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,135798,all_sequences,50,deepocsort,196194,True
57.22813400052533,36.29762214439327,11766,1326,586,44.74094966363435,52.29689253551678,104,39.72549313278835,18900,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,20226,legacy12,12,deepocsort,30666,True
71.01938189684664,47.88781239221451,60911,10955,4295,57.25741266583523,67.70526764222393,904,53.36640783064811,104617,equal_sequence_mean_metrics_total_counts,0,0,geometry_greedy,115572,confirmation38,38,deepocsort,165528,True
67.95142270721477,45.10511650839324,72677,12281,4881,54.36034383754584,64.17182438841735,957,50.12621862795186,123517,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,135798,all_sequences,50,deepocsort,196194,True
57.30238919204519,36.29762214439327,11766,1326,586,44.77209936896798,52.39434431986598,96,39.739797251240205,18900,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,20226,legacy12,12,deepocsort,30666,True
71.31427539621573,47.88643051807744,60911,10955,4295,57.388210511833584,67.89102862059147,861,53.40614116796607,104617,equal_sequence_mean_metrics_total_counts,0,0,geometry_reid_hungarian,115572,confirmation38,38,deepocsort,165528,True
67.15767029694878,45.106469236723704,72677,12281,4881,54.00470611995417,63.333904573237795,1342,49.788213252626704,123517,equal_sequence_mean_metrics_total_counts,0,0,aflink_official,135798,all_sequences,50,deepocsort,196194,True
56.67868844876552,36.29762214439327,11766,1326,586,44.50712714468159,51.65299934526999,162,39.321655910996704,18900,equal_sequence_mean_metrics_total_counts,0,0,aflink_official,20226,legacy12,12,deepocsort,30666,True
70.46682245953296,47.88821042377541,60911,10955,4295,57.003941585829736,67.02261148733291,1180,53.093441886825666,104617,equal_sequence_mean_metrics_total_counts,0,0,aflink_official,115572,confirmation38,38,deepocsort,165528,True
67.83676799973767,45.10611481469241,72677,12281,4881,54.30897702017598,64.08300884293615,1046,50.06578162693367,123517,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,135798,all_sequences,50,deepocsort,196194,True
57.216060476616796,36.29762214439327,11766,1326,586,44.73714246699556,52.2745350570662,107,39.67570481232769,18900,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,20226,legacy12,12,deepocsort,30666,True
71.19067563861798,47.8877440789974,60911,10955,4295,57.33166161591717,67.81200056478986,939,53.34685851575661,104617,equal_sequence_mean_metrics_total_counts,0,0,com3d_reciprocal_guard,115572,confirmation38,38,deepocsort,165528,True
