absolute_difference,metric,new_method,passed,protocol,rerun_value,stored_method,stored_value,tracker
0.0,MOTA,cost_h,True,oracle_aabb,47.9480551624101,geometry_reid_hungarian,47.9480551624101,bytetrack
0.0,IDSW,cost_h,True,oracle_aabb,16462,geometry_reid_hungarian,16462,bytetrack
0.0,FP,cost_h,True,oracle_aabb,310,geometry_reid_hungarian,310,bytetrack
0.0,FN,cost_h,True,oracle_aabb,73372,geometry_reid_hungarian,73372,bytetrack
0.0,TP,cost_h,True,oracle_aabb,122822,geometry_reid_hungarian,122822,bytetrack
0.0,Frag,cost_h,True,oracle_aabb,13455,geometry_reid_hungarian,13455,bytetrack
0.0,accepted_correct,cost_h,True,oracle_aabb,417,geometry_reid_hungarian,417,bytetrack
0.0,accepted_false,cost_h,True,oracle_aabb,468,geometry_reid_hungarian,468,bytetrack
0.0,accepted_unknown,cost_h,True,oracle_aabb,5721,geometry_reid_hungarian,5721,bytetrack
0.0,eligible_source_tracklets,cost_h,True,oracle_aabb,12242,geometry_reid_hungarian,12242,bytetrack
0.0,HOTA,no_refinement,True,oracle_aabb,44.91677541362014,no_refinement,44.91677541362014,ocsort
0.0,AssA,no_refinement,True,oracle_aabb,51.43059886705896,no_refinement,51.43059886705896,ocsort
0.0,DetA,no_refinement,True,oracle_aabb,40.93712164766655,no_refinement,40.93712164766655,ocsort
0.0,IDF1,no_refinement,True,oracle_aabb,42.96378760853252,no_refinement,42.96378760853252,ocsort
0.0,MOTA,no_refinement,True,oracle_aabb,37.41651413877301,no_refinement,37.41651413877301,ocsort
0.0,IDSW,no_refinement,True,oracle_aabb,6119,no_refinement,6119,ocsort
0.0,FP,no_refinement,True,oracle_aabb,0,no_refinement,0,ocsort
0.0,FN,no_refinement,True,oracle_aabb,105736,no_refinement,105736,ocsort
0.0,TP,no_refinement,True,oracle_aabb,90458,no_refinement,90458,ocsort
0.0,Frag,no_refinement,True,oracle_aabb,3875,no_refinement,3875,ocsort
0.0,accepted_correct,no_refinement,True,oracle_aabb,0,no_refinement,0,ocsort
0.0,accepted_false,no_refinement,True,oracle_aabb,0,no_refinement,0,ocsort
0.0,accepted_unknown,no_refinement,True,oracle_aabb,0,no_refinement,0,ocsort
