baseline,bootstrap_95_high_pp,bootstrap_95_low_pp,bootstrap_resamples,bootstrap_seed,bootstrap_unit,contrast,dataset,fresh_confirmation,improved_sequences,mean_idf1_delta_pp,protocol,sequence_count,tied_sequences,total_idsw_delta,tracker,treatment,worsened_sequences
cost_h,0.04772980924072847,-0.03836484517835307,10000,20260915,released_sequence_with_tracker_variants_paired,motion_only_minus_H,MMOT,False,15,0.0034886787248487885,oracle_aabb,50,21,63,all_trackers_sequence_mean,cost_h_motion_reassign,14
cost_h,0.09348821063569696,-0.06871147395286593,10000,20260915,released_sequence_with_tracker_variants_paired,soft_information_minus_H,MMOT,False,11,0.004357813293096875,oracle_aabb,50,23,-73,bytetrack,cost_h_soft_information,16
cost_h,0.06382534325202138,-0.060368587677376385,10000,20260915,released_sequence_with_tracker_variants_paired,soft_information_minus_H,MMOT,False,6,-0.0020793869097744276,oracle_aabb,50,36,11,deepocsort,cost_h_soft_information,8
cost_h,0.009587418637311237,-0.11575570691985024,10000,20260915,released_sequence_with_tracker_variants_paired,soft_information_minus_H,MMOT,False,10,-0.042489045103666495,oracle_aabb,50,30,19,ocsort,cost_h_soft_information,10
cost_h,0.030424636457905708,-0.05396767640853476,10000,20260915,released_sequence_with_tracker_variants_paired,soft_information_minus_H,MMOT,False,14,-0.013403539573448016,oracle_aabb,50,15,-43,all_trackers_sequence_mean,cost_h_soft_information,21
cost_h,0.6852996506315563,-0.13377500318511792,10000,20260915,released_sequence_with_trackers_paired,primary_H_plus_V_minus_H,M3OT,False,1,0.1838415491488128,development,4,2,4,bytetrack,cost_h_full_reassign,1
cost_h,0.0,-0.14895729890764287,10000,20260915,released_sequence_with_trackers_paired,primary_H_plus_V_minus_H,M3OT,False,0,-0.04965243296921429,development,4,3,2,ocsort,cost_h_full_reassign,1
cost_h,0.2681711758619567,-0.06688750159255896,10000,20260915,released_sequence_with_trackers_paired,primary_H_plus_V_minus_H,M3OT,False,1,0.06709455808979925,development,4,2,6,all_trackers_sequence_mean,cost_h_full_reassign,1
path_g,0.9137328675087346,0.0,10000,20260915,released_sequence_with_trackers_paired,replication_G_plus_V_minus_G,M3OT,False,1,0.30457762250291154,development,4,3,0,bytetrack,path_g_full_reassign,0
path_g,0.0,0.0,10000,20260915,released_sequence_with_trackers_paired,replication_G_plus_V_minus_G,M3OT,False,0,0.0,development,4,4,0,ocsort,path_g_full_reassign,0
path_g,0.4568664337543673,0.0,10000,20260915,released_sequence_with_trackers_paired,replication_G_plus_V_minus_G,M3OT,False,1,0.15228881125145577,development,4,3,0,all_trackers_sequence_mean,path_g_full_reassign,0
cost_h,0.9137328675087453,0.0,10000,20260915,released_sequence_with_trackers_paired,motion_only_minus_H,M3OT,False,1,0.3045776225029151,development,4,3,0,bytetrack,cost_h_motion_reassign,0
cost_h,0.0,0.0,10000,20260915,released_sequence_with_trackers_paired,motion_only_minus_H,M3OT,False,0,0.0,development,4,4,0,ocsort,cost_h_motion_reassign,0
cost_h,0.45686643375437264,0.0,10000,20260915,released_sequence_with_trackers_paired,motion_only_minus_H,M3OT,False,1,0.15228881125145755,development,4,3,0,all_trackers_sequence_mean,cost_h_motion_reassign,0
cost_h,0.0,-0.13377500318511792,10000,20260915,released_sequence_with_trackers_paired,soft_information_minus_H,M3OT,False,0,-0.04459166772837264,development,4,3,2,bytetrack,cost_h_soft_information,1
cost_h,0.0,0.0,10000,20260915,released_sequence_with_trackers_paired,soft_information_minus_H,M3OT,False,0,0.0,development,4,4,0,ocsort,cost_h_soft_information,0
cost_h,0.0,-0.06688750159255896,10000,20260915,released_sequence_with_trackers_paired,soft_information_minus_H,M3OT,False,0,-0.02229583386418632,development,4,3,2,all_trackers_sequence_mean,cost_h_soft_information,1
cost_h,3.081395348837212,0.0,10000,20260915,released_sequence_with_trackers_paired,primary_H_plus_V_minus_H,M3OT,False,1,1.0271317829457374,held_out,4,3,-1,bytetrack,cost_h_full_reassign,0
cost_h,2.8914240755310807,0.0,10000,20260915,released_sequence_with_trackers_paired,primary_H_plus_V_minus_H,M3OT,False,1,0.9638080251770269,held_out,4,3,-1,ocsort,cost_h_full_reassign,0
cost_h,2.9864097121841464,0.0,10000,20260915,released_sequence_with_trackers_paired,primary_H_plus_V_minus_H,M3OT,False,1,0.9954699040613821,held_out,4,3,-2,all_trackers_sequence_mean,cost_h_full_reassign,0
path_g,0.0,0.0,10000,20260915,released_sequence_with_trackers_paired,replication_G_plus_V_minus_G,M3OT,False,0,0.0,held_out,4,4,0,bytetrack,path_g_full_reassign,0
path_g,0.0,0.0,10000,20260915,released_sequence_with_trackers_paired,replication_G_plus_V_minus_G,M3OT,False,0,0.0,held_out,4,4,0,ocsort,path_g_full_reassign,0
path_g,0.0,0.0,10000,20260915,released_sequence_with_trackers_paired,replication_G_plus_V_minus_G,M3OT,False,0,0.0,held_out,4,4,0,all_trackers_sequence_mean,path_g_full_reassign,0
cost_h,3.081395348837212,0.0,10000,20260915,released_sequence_with_trackers_paired,motion_only_minus_H,M3OT,False,1,1.0271317829457374,held_out,4,3,-1,bytetrack,cost_h_motion_reassign,0
cost_h,2.8914240755310807,0.0,10000,20260915,released_sequence_with_trackers_paired,motion_only_minus_H,M3OT,False,1,0.9638080251770269,held_out,4,3,-1,ocsort,cost_h_motion_reassign,0
cost_h,2.9864097121841464,0.0,10000,20260915,released_sequence_with_trackers_paired,motion_only_minus_H,M3OT,False,1,0.9954699040613821,held_out,4,3,-2,all_trackers_sequence_mean,cost_h_motion_reassign,0
cost_h,3.081395348837212,0.0,10000,20260915,released_sequence_with_trackers_paired,soft_information_minus_H,M3OT,False,1,1.0271317829457374,held_out,4,3,-1,bytetrack,cost_h_soft_information,0
cost_h,0.0,0.0,10000,20260915,released_sequence_with_trackers_paired,soft_information_minus_H,M3OT,False,0,0.0,held_out,4,4,0,ocsort,cost_h_soft_information,0
cost_h,1.540697674418606,0.0,10000,20260915,released_sequence_with_trackers_paired,soft_information_minus_H,M3OT,False,1,0.5135658914728687,held_out,4,3,-1,all_trackers_sequence_mean,cost_h_soft_information,0
