dataset,protocol,data_role,sequence,tracker,contrast,description,baseline,treatment,tau_a,tau_m,gt_used_by_linker_or_verifier,gt_use,baseline_HOTA,treatment_HOTA,delta_HOTA,baseline_AssA,treatment_AssA,delta_AssA,baseline_IDF1,treatment_IDF1,delta_IDF1,baseline_IDSW,treatment_IDSW,delta_IDSW,baseline_accepted_links,baseline_accepted_correct,baseline_accepted_false,baseline_accepted_unknown,treatment_accepted_links,treatment_accepted_correct,treatment_accepted_false,treatment_accepted_unknown
M3OT,development,development,M3OT/2/rgb/val/2-08,bytetrack,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",95.68914716653936,95.68914716653936,0.0,95.67316321825757,95.67316321825757,0.0,98.57943925233646,98.57943925233646,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,development,development,M3OT/2/rgb/val/2-08,ocsort,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.9784501584312,97.9784501584312,0.0,97.32888435836351,97.32888435836351,0.0,98.13470205307962,98.13470205307962,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,development,development,M3OT/1/ir/val/1-08T,bytetrack,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",93.8139084453356,94.67365522024186,0.859746774906256,93.5742203443645,95.29256867445802,1.7183483300935194,98.34273940696944,99.5610498969811,1.2183104900116604,1,1,0,6,3,1,2,5,3,0,2
M3OT,development,development,M3OT/1/ir/val/1-08T,ocsort,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.62556833474638,97.62556833474638,0.0,97.51830214101534,97.51830214101534,0.0,98.76320303331227,98.76320303331227,0.0,2,2,0,6,4,2,0,6,4,2,0
M3OT,development,development,M3OT/1/rgb/val/1-08,bytetrack,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",93.18331179640991,93.18331179640991,0.0,93.65072633344991,93.65072633344991,0.0,99.54537506557091,99.54537506557091,0.0,1,1,0,2,2,0,0,2,2,0,0
M3OT,development,development,M3OT/1/rgb/val/1-08,ocsort,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.85513745108297,97.85513745108297,0.0,97.77044456021233,97.77044456021233,0.0,98.8906497622821,98.8906497622821,0.0,1,1,0,3,2,1,0,3,2,1,0
M3OT,development,development,M3OT/2/ir/val/2-08T,bytetrack,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",94.39495340863073,94.39495340863073,0.0,93.90167054848341,93.90167054848341,0.0,98.02522614345777,98.02522614345777,0.0,2,2,0,10,8,1,1,10,8,1,1
M3OT,development,development,M3OT/2/ir/val/2-08T,ocsort,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.01188743136667,97.01188743136667,0.0,95.79234964725343,95.79234964725343,0.0,97.51377675253107,97.51377675253107,0.0,2,2,0,10,9,1,0,10,9,1,0
M3OT,development,development,M3OT/2/rgb/val/2-08,bytetrack,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",95.68914716653936,95.68914716653936,0.0,95.67316321825757,95.67316321825757,0.0,98.57943925233646,98.57943925233646,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,development,development,M3OT/2/rgb/val/2-08,ocsort,motion_only,Hungarian + motion-only verifier/reassignment minus Hungarian,cost_h,cost_h_motion_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.9784501584312,97.9784501584312,0.0,97.32888435836351,97.32888435836351,0.0,98.13470205307962,98.13470205307962,0.0,1,1,0,0,0,0,0,0,0,0,0
