dataset,protocol,family,sequence,class_or_modality,tracker,solver,candidate_edges,baseline_selected_edges,V_off_selected_edges,selected_pairs_identical
MMOT,official_detector,confirmation38,data46-11,tricycle,bytetrack,path_constrained_greedy,13,10,10,True
MMOT,official_detector,confirmation38,data46-11,truck,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data46-11,van,bytetrack,path_constrained_greedy,35,19,19,True
MMOT,official_detector,confirmation38,data46-11,bike,deepocsort,controlled_partial_hungarian,4,3,3,True
MMOT,official_detector,confirmation38,data46-11,pedestrian,deepocsort,controlled_partial_hungarian,3,3,3,True
MMOT,official_detector,confirmation38,data46-11,bike,deepocsort,path_constrained_greedy,4,3,3,True
MMOT,official_detector,confirmation38,data46-11,pedestrian,deepocsort,path_constrained_greedy,3,3,3,True
MMOT,official_detector,confirmation38,data46-11,awning-bike,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,official_detector,confirmation38,data46-11,bike,ocsort,controlled_partial_hungarian,70,27,27,True
MMOT,official_detector,confirmation38,data46-11,car,ocsort,controlled_partial_hungarian,46,33,33,True
MMOT,official_detector,confirmation38,data46-11,pedestrian,ocsort,controlled_partial_hungarian,130,47,47,True
MMOT,official_detector,confirmation38,data46-11,tricycle,ocsort,controlled_partial_hungarian,11,9,9,True
MMOT,official_detector,confirmation38,data46-11,truck,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data46-11,van,ocsort,controlled_partial_hungarian,21,13,13,True
MMOT,official_detector,confirmation38,data46-11,awning-bike,ocsort,path_constrained_greedy,2,2,2,True
MMOT,official_detector,confirmation38,data46-11,bike,ocsort,path_constrained_greedy,70,27,27,True
MMOT,official_detector,confirmation38,data46-11,car,ocsort,path_constrained_greedy,46,33,33,True
MMOT,official_detector,confirmation38,data46-11,pedestrian,ocsort,path_constrained_greedy,130,45,45,True
MMOT,official_detector,confirmation38,data46-11,tricycle,ocsort,path_constrained_greedy,11,9,9,True
MMOT,official_detector,confirmation38,data46-11,truck,ocsort,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data46-11,van,ocsort,path_constrained_greedy,21,13,13,True
MMOT,official_detector,confirmation38,data46-12,car,bytetrack,controlled_partial_hungarian,4,2,2,True
MMOT,official_detector,confirmation38,data46-12,pedestrian,bytetrack,controlled_partial_hungarian,589,88,88,True
MMOT,official_detector,confirmation38,data46-12,tricycle,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data46-12,car,bytetrack,path_constrained_greedy,4,2,2,True
MMOT,official_detector,confirmation38,data46-12,pedestrian,bytetrack,path_constrained_greedy,589,87,87,True
MMOT,official_detector,confirmation38,data46-12,tricycle,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data46-12,car,deepocsort,controlled_partial_hungarian,2,2,2,True
MMOT,official_detector,confirmation38,data46-12,pedestrian,deepocsort,controlled_partial_hungarian,5,3,3,True
MMOT,official_detector,confirmation38,data46-12,car,deepocsort,path_constrained_greedy,2,2,2,True
MMOT,official_detector,confirmation38,data46-12,pedestrian,deepocsort,path_constrained_greedy,5,3,3,True
MMOT,official_detector,confirmation38,data46-12,awning-bike,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data46-12,car,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,official_detector,confirmation38,data46-12,pedestrian,ocsort,controlled_partial_hungarian,318,72,72,True
MMOT,official_detector,confirmation38,data46-12,tricycle,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data46-12,awning-bike,ocsort,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data46-12,car,ocsort,path_constrained_greedy,2,2,2,True
MMOT,official_detector,confirmation38,data46-12,pedestrian,ocsort,path_constrained_greedy,318,70,70,True
MMOT,official_detector,confirmation38,data46-12,tricycle,ocsort,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data47-1,car,bytetrack,controlled_partial_hungarian,2,2,2,True
MMOT,official_detector,confirmation38,data47-1,pedestrian,bytetrack,controlled_partial_hungarian,19,8,8,True
MMOT,official_detector,confirmation38,data47-1,car,bytetrack,path_constrained_greedy,2,2,2,True
MMOT,official_detector,confirmation38,data47-1,pedestrian,bytetrack,path_constrained_greedy,19,8,8,True
MMOT,official_detector,confirmation38,data47-1,pedestrian,deepocsort,controlled_partial_hungarian,5,3,3,True
MMOT,official_detector,confirmation38,data47-1,pedestrian,deepocsort,path_constrained_greedy,5,3,3,True
MMOT,official_detector,confirmation38,data47-1,car,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,official_detector,confirmation38,data47-1,pedestrian,ocsort,controlled_partial_hungarian,46,10,10,True
MMOT,official_detector,confirmation38,data47-1,car,ocsort,path_constrained_greedy,2,2,2,True
MMOT,official_detector,confirmation38,data47-1,pedestrian,ocsort,path_constrained_greedy,46,10,10,True
MMOT,official_detector,confirmation38,data47-2,awning-bike,bytetrack,controlled_partial_hungarian,3,3,3,True
MMOT,official_detector,confirmation38,data47-2,bike,bytetrack,controlled_partial_hungarian,37,12,12,True
MMOT,official_detector,confirmation38,data47-2,pedestrian,bytetrack,controlled_partial_hungarian,101,25,25,True
MMOT,official_detector,confirmation38,data47-2,awning-bike,bytetrack,path_constrained_greedy,3,3,3,True
MMOT,official_detector,confirmation38,data47-2,bike,bytetrack,path_constrained_greedy,37,11,11,True
MMOT,official_detector,confirmation38,data47-2,pedestrian,bytetrack,path_constrained_greedy,101,24,24,True
MMOT,official_detector,confirmation38,data47-2,awning-bike,deepocsort,controlled_partial_hungarian,2,2,2,True
MMOT,official_detector,confirmation38,data47-2,pedestrian,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data47-2,awning-bike,deepocsort,path_constrained_greedy,2,2,2,True
MMOT,official_detector,confirmation38,data47-2,pedestrian,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data47-2,awning-bike,ocsort,controlled_partial_hungarian,8,5,5,True
MMOT,official_detector,confirmation38,data47-2,bike,ocsort,controlled_partial_hungarian,10,6,6,True
MMOT,official_detector,confirmation38,data47-2,car,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data47-2,pedestrian,ocsort,controlled_partial_hungarian,36,13,13,True
MMOT,official_detector,confirmation38,data47-2,awning-bike,ocsort,path_constrained_greedy,8,5,5,True
MMOT,official_detector,confirmation38,data47-2,bike,ocsort,path_constrained_greedy,10,5,5,True
MMOT,official_detector,confirmation38,data47-2,car,ocsort,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data47-2,pedestrian,ocsort,path_constrained_greedy,36,13,13,True
MMOT,official_detector,confirmation38,data47-3,awning-bike,bytetrack,controlled_partial_hungarian,4,3,3,True
MMOT,official_detector,confirmation38,data47-3,bike,bytetrack,controlled_partial_hungarian,37,27,27,True
MMOT,official_detector,confirmation38,data47-3,car,bytetrack,controlled_partial_hungarian,41,24,24,True
MMOT,official_detector,confirmation38,data47-3,pedestrian,bytetrack,controlled_partial_hungarian,110,20,20,True
MMOT,official_detector,confirmation38,data47-3,van,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data47-3,awning-bike,bytetrack,path_constrained_greedy,4,3,3,True
MMOT,official_detector,confirmation38,data47-3,bike,bytetrack,path_constrained_greedy,37,27,27,True
MMOT,official_detector,confirmation38,data47-3,car,bytetrack,path_constrained_greedy,41,24,24,True
MMOT,official_detector,confirmation38,data47-3,pedestrian,bytetrack,path_constrained_greedy,110,18,18,True
MMOT,official_detector,confirmation38,data47-3,van,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data47-3,bike,deepocsort,controlled_partial_hungarian,2,1,1,True
MMOT,official_detector,confirmation38,data47-3,car,deepocsort,controlled_partial_hungarian,3,2,2,True
MMOT,official_detector,confirmation38,data47-3,pedestrian,deepocsort,controlled_partial_hungarian,2,2,2,True
MMOT,official_detector,confirmation38,data47-3,bike,deepocsort,path_constrained_greedy,2,1,1,True
MMOT,official_detector,confirmation38,data47-3,car,deepocsort,path_constrained_greedy,3,2,2,True
MMOT,official_detector,confirmation38,data47-3,pedestrian,deepocsort,path_constrained_greedy,2,2,2,True
MMOT,official_detector,confirmation38,data47-3,bike,ocsort,controlled_partial_hungarian,11,8,8,True
MMOT,official_detector,confirmation38,data47-3,car,ocsort,controlled_partial_hungarian,9,8,8,True
MMOT,official_detector,confirmation38,data47-3,pedestrian,ocsort,controlled_partial_hungarian,32,9,9,True
MMOT,official_detector,confirmation38,data47-3,bike,ocsort,path_constrained_greedy,11,8,8,True
MMOT,official_detector,confirmation38,data47-3,car,ocsort,path_constrained_greedy,9,8,8,True
MMOT,official_detector,confirmation38,data47-3,pedestrian,ocsort,path_constrained_greedy,32,8,8,True
MMOT,official_detector,confirmation38,data47-4,bike,bytetrack,controlled_partial_hungarian,10,8,8,True
MMOT,official_detector,confirmation38,data47-4,car,bytetrack,controlled_partial_hungarian,10,7,7,True
MMOT,official_detector,confirmation38,data47-4,pedestrian,bytetrack,controlled_partial_hungarian,4,3,3,True
MMOT,official_detector,confirmation38,data47-4,bike,bytetrack,path_constrained_greedy,10,8,8,True
MMOT,official_detector,confirmation38,data47-4,car,bytetrack,path_constrained_greedy,10,7,7,True
MMOT,official_detector,confirmation38,data47-4,pedestrian,bytetrack,path_constrained_greedy,4,3,3,True
MMOT,official_detector,confirmation38,data47-4,bike,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data47-4,car,deepocsort,controlled_partial_hungarian,2,2,2,True
MMOT,official_detector,confirmation38,data47-4,pedestrian,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data47-4,bike,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data47-4,car,deepocsort,path_constrained_greedy,2,2,2,True
MMOT,official_detector,confirmation38,data47-4,pedestrian,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data47-4,bike,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,official_detector,confirmation38,data47-4,car,ocsort,controlled_partial_hungarian,5,4,4,True
MMOT,official_detector,confirmation38,data47-4,pedestrian,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data47-4,bike,ocsort,path_constrained_greedy,2,2,2,True
MMOT,official_detector,confirmation38,data47-4,car,ocsort,path_constrained_greedy,5,4,4,True
MMOT,official_detector,confirmation38,data47-4,pedestrian,ocsort,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data48-1,pedestrian,bytetrack,controlled_partial_hungarian,2,2,2,True
MMOT,official_detector,confirmation38,data48-1,pedestrian,bytetrack,path_constrained_greedy,2,2,2,True
MMOT,official_detector,confirmation38,data48-1,pedestrian,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data48-1,pedestrian,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data48-1,car,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data48-1,pedestrian,ocsort,controlled_partial_hungarian,84,20,20,True
MMOT,official_detector,confirmation38,data48-1,car,ocsort,path_constrained_greedy,1,1,1,True
MMOT,official_detector,confirmation38,data48-1,pedestrian,ocsort,path_constrained_greedy,84,20,20,True
MMOT,official_detector,confirmation38,data49-2,car,bytetrack,controlled_partial_hungarian,23,20,20,True
MMOT,official_detector,confirmation38,data49-2,pedestrian,bytetrack,controlled_partial_hungarian,28,14,14,True
MMOT,official_detector,confirmation38,data49-2,van,bytetrack,controlled_partial_hungarian,5,5,5,True
MMOT,official_detector,confirmation38,data49-2,car,bytetrack,path_constrained_greedy,23,20,20,True
MMOT,official_detector,confirmation38,data49-2,pedestrian,bytetrack,path_constrained_greedy,28,14,14,True
MMOT,official_detector,confirmation38,data49-2,van,bytetrack,path_constrained_greedy,5,5,5,True
MMOT,official_detector,confirmation38,data49-2,car,deepocsort,controlled_partial_hungarian,3,3,3,True
MMOT,official_detector,confirmation38,data49-2,pedestrian,deepocsort,controlled_partial_hungarian,3,2,2,True
MMOT,official_detector,confirmation38,data49-2,car,deepocsort,path_constrained_greedy,3,3,3,True
MMOT,official_detector,confirmation38,data49-2,pedestrian,deepocsort,path_constrained_greedy,3,2,2,True
MMOT,official_detector,confirmation38,data49-2,car,ocsort,controlled_partial_hungarian,19,15,15,True
MMOT,official_detector,confirmation38,data49-2,pedestrian,ocsort,controlled_partial_hungarian,10,5,5,True
MMOT,official_detector,confirmation38,data49-2,van,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,official_detector,confirmation38,data49-2,car,ocsort,path_constrained_greedy,19,15,15,True
MMOT,official_detector,confirmation38,data49-2,pedestrian,ocsort,path_constrained_greedy,10,5,5,True
MMOT,official_detector,confirmation38,data49-2,van,ocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data23-1,pedestrian,bytetrack,controlled_partial_hungarian,80,31,31,True
MMOT,oracle_aabb,confirmation38,data23-1,pedestrian,bytetrack,path_constrained_greedy,80,26,26,True
MMOT,oracle_aabb,confirmation38,data23-1,pedestrian,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data23-1,pedestrian,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data23-1,pedestrian,ocsort,controlled_partial_hungarian,20,10,10,True
MMOT,oracle_aabb,confirmation38,data23-1,pedestrian,ocsort,path_constrained_greedy,20,9,9,True
MMOT,oracle_aabb,confirmation38,data24-1,awning-bike,bytetrack,controlled_partial_hungarian,92,76,76,True
MMOT,oracle_aabb,confirmation38,data24-1,bike,bytetrack,controlled_partial_hungarian,129,98,98,True
MMOT,oracle_aabb,confirmation38,data24-1,car,bytetrack,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,confirmation38,data24-1,pedestrian,bytetrack,controlled_partial_hungarian,727,265,265,True
MMOT,oracle_aabb,confirmation38,data24-1,tricycle,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,confirmation38,data24-1,awning-bike,bytetrack,path_constrained_greedy,92,76,76,True
MMOT,oracle_aabb,confirmation38,data24-1,bike,bytetrack,path_constrained_greedy,129,97,97,True
MMOT,oracle_aabb,confirmation38,data24-1,car,bytetrack,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,confirmation38,data24-1,pedestrian,bytetrack,path_constrained_greedy,727,253,253,True
MMOT,oracle_aabb,confirmation38,data24-1,tricycle,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,confirmation38,data24-1,car,deepocsort,controlled_partial_hungarian,3,3,3,True
MMOT,oracle_aabb,confirmation38,data24-1,pedestrian,deepocsort,controlled_partial_hungarian,302,135,135,True
MMOT,oracle_aabb,confirmation38,data24-1,car,deepocsort,path_constrained_greedy,3,3,3,True
MMOT,oracle_aabb,confirmation38,data24-1,pedestrian,deepocsort,path_constrained_greedy,302,128,128,True
MMOT,oracle_aabb,confirmation38,data24-1,awning-bike,ocsort,controlled_partial_hungarian,23,21,21,True
MMOT,oracle_aabb,confirmation38,data24-1,bike,ocsort,controlled_partial_hungarian,14,12,12,True
MMOT,oracle_aabb,confirmation38,data24-1,car,ocsort,controlled_partial_hungarian,4,3,3,True
MMOT,oracle_aabb,confirmation38,data24-1,pedestrian,ocsort,controlled_partial_hungarian,40,26,26,True
MMOT,oracle_aabb,confirmation38,data24-1,awning-bike,ocsort,path_constrained_greedy,23,21,21,True
MMOT,oracle_aabb,confirmation38,data24-1,bike,ocsort,path_constrained_greedy,14,12,12,True
MMOT,oracle_aabb,confirmation38,data24-1,car,ocsort,path_constrained_greedy,4,3,3,True
MMOT,oracle_aabb,confirmation38,data24-1,pedestrian,ocsort,path_constrained_greedy,40,26,26,True
MMOT,oracle_aabb,confirmation38,data27-1,car,bytetrack,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,confirmation38,data27-1,pedestrian,bytetrack,controlled_partial_hungarian,2,1,1,True
MMOT,oracle_aabb,confirmation38,data27-1,van,bytetrack,controlled_partial_hungarian,2,1,1,True
MMOT,oracle_aabb,confirmation38,data27-1,car,bytetrack,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,confirmation38,data27-1,pedestrian,bytetrack,path_constrained_greedy,2,1,1,True
MMOT,oracle_aabb,confirmation38,data27-1,van,bytetrack,path_constrained_greedy,2,1,1,True
MMOT,oracle_aabb,confirmation38,data27-1,pedestrian,ocsort,controlled_partial_hungarian,3,2,2,True
MMOT,oracle_aabb,confirmation38,data27-1,pedestrian,ocsort,path_constrained_greedy,3,2,2,True
MMOT,oracle_aabb,legacy12,data28-1,awning-bike,bytetrack,controlled_partial_hungarian,8,6,6,True
MMOT,oracle_aabb,legacy12,data28-1,car,bytetrack,controlled_partial_hungarian,225,78,78,True
MMOT,oracle_aabb,legacy12,data28-1,pedestrian,bytetrack,controlled_partial_hungarian,43,18,18,True
MMOT,oracle_aabb,legacy12,data28-1,van,bytetrack,controlled_partial_hungarian,6,5,5,True
MMOT,oracle_aabb,legacy12,data28-1,awning-bike,bytetrack,path_constrained_greedy,8,6,6,True
MMOT,oracle_aabb,legacy12,data28-1,car,bytetrack,path_constrained_greedy,225,72,72,True
MMOT,oracle_aabb,legacy12,data28-1,pedestrian,bytetrack,path_constrained_greedy,43,18,18,True
MMOT,oracle_aabb,legacy12,data28-1,van,bytetrack,path_constrained_greedy,6,5,5,True
MMOT,oracle_aabb,legacy12,data28-1,truck,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-1,truck,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-1,car,ocsort,controlled_partial_hungarian,214,94,94,True
MMOT,oracle_aabb,legacy12,data28-1,van,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-1,car,ocsort,path_constrained_greedy,214,86,86,True
MMOT,oracle_aabb,legacy12,data28-1,van,ocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-2,car,bytetrack,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data28-2,tricycle,bytetrack,controlled_partial_hungarian,3,3,3,True
MMOT,oracle_aabb,legacy12,data28-2,car,bytetrack,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data28-2,tricycle,bytetrack,path_constrained_greedy,3,3,3,True
MMOT,oracle_aabb,legacy12,data28-2,awning-bike,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-2,tricycle,deepocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data28-2,awning-bike,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-2,tricycle,deepocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data28-2,awning-bike,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-2,car,ocsort,controlled_partial_hungarian,72,33,33,True
MMOT,oracle_aabb,legacy12,data28-2,tricycle,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data28-2,awning-bike,ocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-2,car,ocsort,path_constrained_greedy,72,31,31,True
MMOT,oracle_aabb,legacy12,data28-2,tricycle,ocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data28-4,car,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-4,car,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-4,truck,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-4,truck,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-5,bike,deepocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data28-5,car,deepocsort,controlled_partial_hungarian,6,5,5,True
MMOT,oracle_aabb,legacy12,data28-5,pedestrian,deepocsort,controlled_partial_hungarian,6,5,5,True
MMOT,oracle_aabb,legacy12,data28-5,bike,deepocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data28-5,car,deepocsort,path_constrained_greedy,6,5,5,True
MMOT,oracle_aabb,legacy12,data28-5,pedestrian,deepocsort,path_constrained_greedy,6,5,5,True
MMOT,oracle_aabb,legacy12,data28-5,bike,ocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data28-5,car,ocsort,controlled_partial_hungarian,6,5,5,True
MMOT,oracle_aabb,legacy12,data28-5,pedestrian,ocsort,controlled_partial_hungarian,10,6,6,True
MMOT,oracle_aabb,legacy12,data28-5,bike,ocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data28-5,car,ocsort,path_constrained_greedy,6,5,5,True
MMOT,oracle_aabb,legacy12,data28-5,pedestrian,ocsort,path_constrained_greedy,10,6,6,True
MMOT,oracle_aabb,legacy12,data28-6,truck,bytetrack,controlled_partial_hungarian,2,1,1,True
MMOT,oracle_aabb,legacy12,data28-6,truck,bytetrack,path_constrained_greedy,2,1,1,True
MMOT,oracle_aabb,legacy12,data28-6,truck,ocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data28-6,truck,ocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-10,awning-bike,bytetrack,controlled_partial_hungarian,53,34,34,True
MMOT,oracle_aabb,legacy12,data30-10,bike,bytetrack,controlled_partial_hungarian,20,15,15,True
MMOT,oracle_aabb,legacy12,data30-10,car,bytetrack,controlled_partial_hungarian,21,14,14,True
MMOT,oracle_aabb,legacy12,data30-10,pedestrian,bytetrack,controlled_partial_hungarian,90,47,47,True
MMOT,oracle_aabb,legacy12,data30-10,tricycle,bytetrack,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-10,awning-bike,bytetrack,path_constrained_greedy,53,33,33,True
MMOT,oracle_aabb,legacy12,data30-10,bike,bytetrack,path_constrained_greedy,20,15,15,True
MMOT,oracle_aabb,legacy12,data30-10,car,bytetrack,path_constrained_greedy,21,14,14,True
MMOT,oracle_aabb,legacy12,data30-10,pedestrian,bytetrack,path_constrained_greedy,90,46,46,True
MMOT,oracle_aabb,legacy12,data30-10,tricycle,bytetrack,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-10,awning-bike,deepocsort,controlled_partial_hungarian,5,4,4,True
MMOT,oracle_aabb,legacy12,data30-10,pedestrian,deepocsort,controlled_partial_hungarian,21,16,16,True
MMOT,oracle_aabb,legacy12,data30-10,awning-bike,deepocsort,path_constrained_greedy,5,4,4,True
MMOT,oracle_aabb,legacy12,data30-10,pedestrian,deepocsort,path_constrained_greedy,21,16,16,True
MMOT,oracle_aabb,legacy12,data30-10,awning-bike,ocsort,controlled_partial_hungarian,46,22,22,True
MMOT,oracle_aabb,legacy12,data30-10,bike,ocsort,controlled_partial_hungarian,31,14,14,True
MMOT,oracle_aabb,legacy12,data30-10,car,ocsort,controlled_partial_hungarian,48,23,23,True
MMOT,oracle_aabb,legacy12,data30-10,pedestrian,ocsort,controlled_partial_hungarian,296,99,99,True
MMOT,oracle_aabb,legacy12,data30-10,tricycle,ocsort,controlled_partial_hungarian,4,3,3,True
MMOT,oracle_aabb,legacy12,data30-10,awning-bike,ocsort,path_constrained_greedy,46,22,22,True
MMOT,oracle_aabb,legacy12,data30-10,bike,ocsort,path_constrained_greedy,31,14,14,True
MMOT,oracle_aabb,legacy12,data30-10,car,ocsort,path_constrained_greedy,48,23,23,True
MMOT,oracle_aabb,legacy12,data30-10,pedestrian,ocsort,path_constrained_greedy,296,99,99,True
MMOT,oracle_aabb,legacy12,data30-10,tricycle,ocsort,path_constrained_greedy,4,3,3,True
MMOT,oracle_aabb,legacy12,data30-2,awning-bike,bytetrack,controlled_partial_hungarian,65,26,26,True
MMOT,oracle_aabb,legacy12,data30-2,bike,bytetrack,controlled_partial_hungarian,35,21,21,True
MMOT,oracle_aabb,legacy12,data30-2,car,bytetrack,controlled_partial_hungarian,48,33,33,True
MMOT,oracle_aabb,legacy12,data30-2,pedestrian,bytetrack,controlled_partial_hungarian,165,73,73,True
MMOT,oracle_aabb,legacy12,data30-2,tricycle,bytetrack,controlled_partial_hungarian,18,10,10,True
MMOT,oracle_aabb,legacy12,data30-2,van,bytetrack,controlled_partial_hungarian,4,3,3,True
MMOT,oracle_aabb,legacy12,data30-2,awning-bike,bytetrack,path_constrained_greedy,65,23,23,True
MMOT,oracle_aabb,legacy12,data30-2,bike,bytetrack,path_constrained_greedy,35,18,18,True
MMOT,oracle_aabb,legacy12,data30-2,car,bytetrack,path_constrained_greedy,48,32,32,True
MMOT,oracle_aabb,legacy12,data30-2,pedestrian,bytetrack,path_constrained_greedy,165,70,70,True
MMOT,oracle_aabb,legacy12,data30-2,tricycle,bytetrack,path_constrained_greedy,18,10,10,True
MMOT,oracle_aabb,legacy12,data30-2,van,bytetrack,path_constrained_greedy,4,3,3,True
MMOT,oracle_aabb,legacy12,data30-2,awning-bike,deepocsort,controlled_partial_hungarian,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-2,bike,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-2,car,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-2,pedestrian,deepocsort,controlled_partial_hungarian,76,38,38,True
MMOT,oracle_aabb,legacy12,data30-2,tricycle,deepocsort,controlled_partial_hungarian,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-2,awning-bike,deepocsort,path_constrained_greedy,2,2,2,True
MMOT,oracle_aabb,legacy12,data30-2,bike,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-2,car,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-2,pedestrian,deepocsort,path_constrained_greedy,76,38,38,True
MMOT,oracle_aabb,legacy12,data30-2,tricycle,deepocsort,path_constrained_greedy,1,1,1,True
MMOT,oracle_aabb,legacy12,data30-2,awning-bike,ocsort,controlled_partial_hungarian,25,12,12,True
MMOT,oracle_aabb,legacy12,data30-2,bike,ocsort,controlled_partial_hungarian,14,11,11,True
MMOT,oracle_aabb,legacy12,data30-2,car,ocsort,controlled_partial_hungarian,48,35,35,True
MMOT,oracle_aabb,legacy12,data30-2,pedestrian,ocsort,controlled_partial_hungarian,59,34,34,True
MMOT,oracle_aabb,legacy12,data30-2,tricycle,ocsort,controlled_partial_hungarian,11,7,7,True
MMOT,oracle_aabb,legacy12,data30-2,van,ocsort,controlled_partial_hungarian,3,3,3,True
MMOT,oracle_aabb,legacy12,data30-2,awning-bike,ocsort,path_constrained_greedy,25,10,10,True
MMOT,oracle_aabb,legacy12,data30-2,bike,ocsort,path_constrained_greedy,14,9,9,True
MMOT,oracle_aabb,legacy12,data30-2,car,ocsort,path_constrained_greedy,48,35,35,True
MMOT,oracle_aabb,legacy12,data30-2,pedestrian,ocsort,path_constrained_greedy,59,33,33,True
MMOT,oracle_aabb,legacy12,data30-2,tricycle,ocsort,path_constrained_greedy,11,6,6,True
MMOT,oracle_aabb,legacy12,data30-2,van,ocsort,path_constrained_greedy,3,3,3,True
