dataset,protocol,data_role,tracker,contrast,description,baseline,treatment,sequence_count,tracker_count,mean_delta_HOTA_pp,mean_delta_AssA_pp,mean_delta_IDF1_pp,IDF1_bootstrap_95_low_pp,IDF1_bootstrap_95_high_pp,improved_sequences,tied_sequences,worsened_sequences,baseline_IDSW_total,treatment_IDSW_total,delta_IDSW_total,baseline_accepted_links,treatment_accepted_links,baseline_conditional_link_error,treatment_conditional_link_error,baseline_auditable_fraction,treatment_auditable_fraction,bootstrap_seed,bootstrap_resamples,fresh_confirmation
M3OT,development,development,ocsort,reassignment_after_verification,Verification followed by reassignment minus post-filter only,cost_h_full_postfilter,cost_h_full_reassign,4,1,-0.03242119886000694,-0.064686134924127,-0.031597002798591234,-0.0947910083957737,0.0,0,3,1,7,8,1,18,18,0.2222222222222222,0.2777777777777778,1.0,1.0,20260915,10000,False
M3OT,development,development,all_trackers_sequence_mean,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,4,2,-0.030574541957150814,-0.06076296473271725,-0.02229583386418632,-0.06688750159255896,0.0,0,3,1,11,13,2,37,37,0.17647058823529413,0.23529411764705882,0.918918918918919,0.918918918918919,20260915,10000,False
M3OT,development,development,bytetrack,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,4,1,-0.06114908391430163,-0.1215259294654345,-0.04459166772837264,-0.13377500318511792,0.0,0,3,1,5,7,2,18,18,0.13333333333333333,0.26666666666666666,0.8333333333333334,0.8333333333333334,20260915,10000,False
M3OT,development,development,ocsort,same_cue_cost_only,Hungarian + same-cue soft cost minus Hungarian,cost_h,cost_h_soft_information,4,1,0.0,0.0,0.0,0.0,0.0,0,4,0,6,6,0,19,19,0.21052631578947367,0.21052631578947367,1.0,1.0,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,all_trackers_sequence_mean,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,4,2,0.0,0.0,0.0,0.0,0.0,0,4,0,8,8,0,12,12,0.8181818181818182,0.8181818181818182,0.9166666666666666,0.9166666666666666,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,bytetrack,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,4,1,0.0,0.0,0.0,0.0,0.0,0,4,0,4,4,0,9,9,0.875,0.875,0.8888888888888888,0.8888888888888888,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,ocsort,greedy_full_verifier,P-G (controlled-cost path-constrained greedy) + same full verifier/reassignment minus P-G,path_g,path_g_full_reassign,4,1,0.0,0.0,0.0,0.0,0.0,0,4,0,4,4,0,3,3,0.6666666666666666,0.6666666666666666,1.0,1.0,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,all_trackers_sequence_mean,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,4,2,0.6527067056528502,1.2738037385654977,0.9954699040613821,0.0,2.9864097121841464,1,3,0,10,8,-2,14,12,1.0,0.8181818181818182,0.9285714285714286,0.9166666666666666,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,bytetrack,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,4,1,0.6410623593620741,1.2387529549999776,1.0271317829457374,0.0,3.081395348837212,1,3,0,5,4,-1,10,9,1.0,0.875,0.9,0.8888888888888888,20260915,10000,False
M3OT,held_out,exposed_exploratory_retest,ocsort,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,4,1,0.6643510519436262,1.3088545221310177,0.9638080251770269,0.0,2.8914240755310807,1,3,0,5,4,-1,4,3,1.0,0.6666666666666666,1.0,1.0,20260915,10000,False
