rank,name,group,method,ablation,seed,seeds,seed_count,n,status,AP,AP50,P,R,F1,ParamsM,GFLOPs,dAP,tradeoff,gated_tradeoff,note
14,P2CompV3-SEFR,proposed_run,ProposedSize-P2CompressV3SETinyFReLU-yolo11l,p2_compress_v3_se_tiny_frelu,123,,,,completed,0.382470,0.603900,0.669120,0.590700,0.627469,24.0800,110.0,0.004813,0.565608,1.061817,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compact_ideas/20260609_092630_proposed_p2_compress_v3_se_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
15,P2CompV3-FR,proposed_run,ProposedSize-P2CompressV3TinyFReLU-yolo11l,p2_compress_v3_tiny_frelu,123,,,,completed,0.379900,0.602140,0.668780,0.587800,0.625681,24.0800,110.0,0.002243,0.563463,1.056714,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_compression/20260608_155353_proposed_p2_compress_v3_tiny_frelu_yolo11l_visdrone_yolov11_p2_compression_seed123
16,P2BalV2-FR,proposed_run,ProposedSize-P2BalancedV2TinyFReLU-yolo11l,p2_balanced_v2_tiny_frelu,42,,,,completed,0.381200,0.602920,0.665720,0.593900,0.627763,24.4100,110.1,0.003543,0.557285,1.045415,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_balanced_v2/20260606_122020_proposed_p2_balanced_v2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42
17,P2BalV2-FR,proposed_run,ProposedSize-P2BalancedV2TinyFReLU-yolo11l,p2_balanced_v2_tiny_frelu,123,,,,completed,0.380820,0.602850,0.665920,0.591620,0.626575,24.4100,110.1,0.003163,0.556718,1.044370,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_balanced_v2/20260606_122021_proposed_p2_balanced_v2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed123
18,P2BalV2-FR,proposed_run,ProposedSize-P2BalancedV2TinyFReLU-yolo11l,p2_balanced_v2_tiny_frelu,2026,,,,completed,0.378200,0.597660,0.664380,0.576670,0.617426,24.4100,110.1,0.000543,0.550855,,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_balanced_v2/20260607_224956_proposed_p2_balanced_v2_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed2026
19,proposed_p2_balanced_v3_tiny_frelu_yolo11l,proposed_run,proposed_p2_balanced_v3_tiny_frelu_yolo11l,,42,,,,incomplete,0.380400,0.604660,0.666960,0.589790,0.626006,25.2800,113.8,0.002743,0.537833,1.008401,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_balanced_v3/20260608_155351_proposed_p2_balanced_v3_tiny_frelu_yolo11l_visdrone_yolov11_p2_balanced_seed42
20,P2-DCT-FR,proposed_run,ProposedP2FR-DCT-yolo11l,p2_dct_frelu,123,,,,completed,0.384760,0.605450,0.666170,0.593170,0.627554,26.0800,112.9,0.007103,0.523503,0.983995,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_182536_proposed_p2_dct_frelu_yolo11l_visdrone_p2fr_module_seed123
21,P2-SE-FR,proposed_run,ProposedP2FR-SE-yolo11l,p2_se_frelu,123,,,,completed,0.382370,0.605150,0.671960,0.593560,0.630332,26.1400,113.1,0.004713,0.522329,0.979626,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_123755_proposed_p2_se_frelu_yolo11l_visdrone_p2fr_module_seed123
22,P2-DCT-FR,proposed_run,ProposedP2FR-DCT-yolo11l,p2_dct_frelu,123,,,,completed,0.382510,0.603690,0.663970,0.586070,0.622593,26.0800,112.9,0.004853,0.520600,0.978461,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260611_181840_proposed_p2_dct_frelu_yolo11l_visdrone_p2fr_module_seed123
23,P2-Wavelet-FR,proposed_run,ProposedP2FR-Wavelet-yolo11l,p2_wavelet_frelu,123,,,,completed,0.382170,0.603540,0.663220,0.587420,0.623023,26.0800,112.9,0.004513,0.520580,0.978130,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_070012_proposed_p2_wavelet_frelu_yolo11l_visdrone_p2fr_module_seed123
24,P2-CBAM-FR,proposed_run,ProposedP2FR-CBAM-yolo11l,p2_cbam_frelu,123,,,,completed,0.384810,0.607930,0.658810,0.593170,0.624269,26.2200,113.4,0.007153,0.520465,0.978536,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_070012_proposed_p2_cbam_frelu_yolo11l_visdrone_p2fr_module_seed123
25,P2-WaveletCBAM-FR,proposed_run,ProposedP2FR-WaveletCBAM-yolo11l,p2_wavelet_cbam_frelu,123,,,,completed,0.384290,0.605470,0.671330,0.585830,0.625673,26.2200,113.4,0.006633,0.519957,0.977421,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_125040_proposed_p2_wavelet_cbam_frelu_yolo11l_visdrone_p2fr_module_seed123
26,P2-Wavelet-FR,proposed_run,ProposedP2FR-Wavelet-yolo11l,p2_wavelet_frelu,123,,,,completed,0.379440,0.601510,0.668890,0.585560,0.624457,26.0800,112.9,0.001783,0.519504,0.974355,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260611_181839_proposed_p2_wavelet_frelu_yolo11l_visdrone_p2fr_module_seed123
27,proposed_p2_deform_frelu_yolo11l,proposed_run,proposed_p2_deform_frelu_yolo11l,,123,,,,incomplete,0.383520,0.602630,0.660210,0.592600,0.624581,27.2000,117.0,0.005863,0.499765,0.939744,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_yolov11_p2_module_search/20260607_184057_proposed_p2_deform_frelu_yolo11l_visdrone_p2fr_module_seed123
