family,sequence,tracker,no_refinement_idf1,com3d_ace_idf1,delta_idf1_pp,outcome
legacy12,data28-1,bytetrack,30.691449814126393,32.80297397769517,2.111524163568774,improved
legacy12,data28-2,bytetrack,76.40449438202246,80.30751034890598,3.9030159668835154,improved
legacy12,data28-3,bytetrack,1.146131805157593,1.146131805157593,0.0,tied
legacy12,data28-4,bytetrack,4.201680672268908,4.201680672268908,0.0,tied
legacy12,data28-5,bytetrack,7.253886010362693,7.253886010362693,0.0,tied
legacy12,data28-6,bytetrack,2.785515320334262,2.785515320334262,0.0,tied
legacy12,data30-2,bytetrack,42.41332733003152,45.41497823803092,3.001650907999398,improved
legacy12,data30-3,bytetrack,26.52586361195633,31.322713441918744,4.796849829962415,improved
legacy12,data30-4,bytetrack,37.4948325754444,38.23894171145101,0.7441091360066139,improved
legacy12,data30-5,bytetrack,42.57342657342657,44.36363636363637,1.7902097902097935,improved
legacy12,data30-9,bytetrack,41.826335099877696,42.80472890338361,0.9783938035059165,improved
legacy12,data30-10,bytetrack,59.36473165388828,59.63855421686747,0.2738225629791913,improved
confirmation38,data23-1,bytetrack,72.84462886122637,73.21346242508068,0.36883356385430943,improved
confirmation38,data24-1,bytetrack,43.563349853856906,45.520396492565766,1.95704663870886,improved
confirmation38,data27-1,bytetrack,12.5,15.441176470588236,2.9411764705882355,improved
confirmation38,data31-1,bytetrack,3.5608308605341246,4.945598417408506,1.3847675568743818,improved
confirmation38,data33-1,bytetrack,8.961748633879782,15.300546448087433,6.33879781420765,improved
confirmation38,data34-1,bytetrack,8.161713452886382,10.189468348013433,2.0277548951270514,improved
confirmation38,data34-2,bytetrack,49.33621488113615,49.706699598641556,0.37048471750540557,improved
confirmation38,data34-3,bytetrack,8.869623207735913,9.669889963321108,0.800266755585195,improved
confirmation38,data36-4,bytetrack,41.82449181953396,45.880019831432826,4.055528011898865,improved
confirmation38,data36-5,bytetrack,62.969724631066484,65.72341396622546,2.753689335158981,improved
confirmation38,data36-10,bytetrack,38.180748872770046,38.04744167810233,-0.13330719466771512,worsened
confirmation38,data36-11,bytetrack,40.909090909090914,40.943139257746,0.03404834865508377,improved
confirmation38,data36-12,bytetrack,52.95950155763239,52.80373831775701,-0.15576323987538387,worsened
confirmation38,data36-13,bytetrack,67.60744066709428,70.87876844130852,3.2713277742142424,improved
confirmation38,data37-1,bytetrack,50.88413607275177,53.738632536207476,2.8544964634557033,improved
confirmation38,data37-2,bytetrack,44.286609567578864,43.82703154376436,-0.4595780238145011,worsened
confirmation38,data37-10,bytetrack,68.66658792960907,68.35951340498406,-0.3070745246250084,worsened
confirmation38,data37-11,bytetrack,72.25557025129719,74.41245294536576,2.156882694068571,improved
confirmation38,data37-12,bytetrack,79.04252610134964,79.29717341482048,0.2546473134708407,improved
confirmation38,data39-1,bytetrack,47.33861834654587,47.7916194790487,0.4530011325028269,improved
confirmation38,data39-2,bytetrack,6.779661016949152,11.67608286252354,4.8964218455743875,improved
confirmation38,data39-3,bytetrack,5.013927576601671,7.520891364902507,2.506963788300836,improved
confirmation38,data39-6,bytetrack,43.256837472492926,44.70292360892801,1.4460861364350848,improved
confirmation38,data40-3,bytetrack,35.83815028901734,37.22543352601156,1.3872832369942145,improved
confirmation38,data40-4,bytetrack,3.8515406162464987,3.9215686274509802,0.07002801120448154,improved
confirmation38,data40-5,bytetrack,60.18267929634641,65.76454668470907,5.581867388362667,improved
confirmation38,data41-1,bytetrack,37.69230769230769,37.69230769230769,0.0,tied
confirmation38,data42-1,bytetrack,57.244552478513754,59.11971525306016,1.8751627745464035,improved
confirmation38,data42-2,bytetrack,50.59760956175299,51.32802124833997,0.730411686586983,improved
confirmation38,data42-3,bytetrack,73.98171238570241,74.97921862011637,0.9975062344139616,improved
confirmation38,data46-11,bytetrack,38.282350990632516,41.51537760092846,3.233026610295944,improved
confirmation38,data46-12,bytetrack,58.93306492199295,60.59386009058883,1.6607951685958753,improved
confirmation38,data47-1,bytetrack,13.291139240506327,13.924050632911392,0.6329113924050649,improved
confirmation38,data47-2,bytetrack,33.903002309468825,35.01154734411085,1.1085450346420274,improved
confirmation38,data47-3,bytetrack,50.442890442890445,54.82517482517483,4.382284382284382,improved
confirmation38,data47-4,bytetrack,42.42424242424242,43.73464373464373,1.3104013104013106,improved
confirmation38,data48-1,bytetrack,6.583072100313479,6.896551724137931,0.3134796238244517,improved
confirmation38,data49-2,bytetrack,50.11346444780636,51.96671709531013,1.8532526475037727,improved
legacy12,data28-1,ocsort,25.07813936385365,26.622540908255193,1.5444015444015413,improved
legacy12,data28-2,ocsort,59.145952836201396,61.44040790312301,2.294455066921614,improved
legacy12,data28-3,ocsort,1.183431952662722,1.183431952662722,0.0,tied
legacy12,data28-4,ocsort,1.694915254237288,1.694915254237288,0.0,tied
legacy12,data28-5,ocsort,7.8431372549019605,13.725490196078432,5.882352941176472,improved
legacy12,data28-6,ocsort,4.678362573099415,4.678362573099415,0.0,tied
legacy12,data30-2,ocsort,33.19076133447391,35.20958083832335,2.0188195038494356,improved
legacy12,data30-3,ocsort,21.697922968340393,24.601734220608996,2.9038112522686035,improved
legacy12,data30-4,ocsort,30.47875927174646,32.72645538323219,2.247696111485734,improved
legacy12,data30-5,ocsort,40.70594933105608,44.349558781668094,3.6436094506120114,improved
legacy12,data30-9,ocsort,40.37867874048158,42.395554640872604,2.016875900391021,improved
legacy12,data30-10,ocsort,57.08888259185794,58.18456597714178,1.0956833852838415,improved
confirmation38,data23-1,ocsort,71.253534401508,71.44203581526861,0.18850141376060492,improved
confirmation38,data24-1,ocsort,42.11384322782231,42.6844178780057,0.5705746501833957,improved
confirmation38,data27-1,ocsort,9.67741935483871,12.903225806451612,3.225806451612902,improved
