method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,seed_count,seeds,analysis_level,best_AP_mean,best_AP_std,best_AP_n,best_AP_mean_std,best_AP50_mean,best_AP50_std,best_AP50_n,best_AP50_mean_std,best_precision_mean,best_precision_std,best_precision_n,best_precision_mean_std,best_recall_mean,best_recall_std,best_recall_n,best_recall_mean_std,best_F1_mean,best_F1_std,best_F1_n,best_F1_mean_std,ROC-AUC_mean,ROC-AUC_std,ROC-AUC_n,ROC-AUC_mean_std
Ours-TinyPersonCornerOriginal,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,tinyperson_corner_original_ours,p2p4_balanced_head+lite_self_attention_neck+tiny_frelu_neck,"lite_self_attention_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,TinyPerson,2,"123,42",preliminary,0.167485,0.021531401487130376,2,0.1675 +/- 0.0215,0.44293,0.04693774813516302,2,0.4429 +/- 0.0469,0.544015,0.028998449096460308,2,0.5440 +/- 0.0290,0.422395,0.03442902917597301,2,0.4224 +/- 0.0344,0.47550559214037946,0.03290249046742912,2,0.4755 +/- 0.0329,0.9207275459601778,0.024526107959432858,2,0.9207 +/- 0.0245
YOLOv9m-TinyPersonCornerOriginal,yolov9m.pt,yolo11l.pt,tinyperson_corner_original_yolov9m_baseline,strong_tinyperson_baseline,,false,implemented,YOLO,yolo,v9,v9,true,medium,medium,unknown,medium,TinyPerson,2,"123,42",preliminary,0.19974999999999998,0.0052750165876516404,2,0.1997 +/- 0.0053,0.5290900000000001,0.016546298679765196,2,0.5291 +/- 0.0165,0.640765,0.014135064555919051,2,0.6408 +/- 0.0141,0.49434999999999996,0.02266984340484066,2,0.4943 +/- 0.0227,0.5580758148325462,0.019810762561506746,2,0.5581 +/- 0.0198,0.9574366071083661,0.0055677207286779955,2,0.9574 +/- 0.0056
