method,model,base_model,ablation,proposed_module,model_patches,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,protocol_data_yaml,protocol_imgsz,protocol_epochs,protocol_batch,protocol_deterministic,protocol_match,protocol_mismatch_reason,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv9m-TinyPersonCornerOriginal,yolov9m.pt,yolo11l.pt,tinyperson_corner_original_yolov9m_baseline,strong_tinyperson_baseline,,false,implemented,YOLO,yolo,v9,v9,true,medium,medium,unknown,medium,TinyPerson,/home/oem/projects/multi-uav-marine-city/configs/detector/tinyperson_corner_original_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_155033_yolov9m_tinyperson_corner_original_img1280_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_155033_yolov9m_tinyperson_corner_original_img1280_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_155033_yolov9m_tinyperson_corner_original_img1280_seed42/ultralytics/weights/best.pt,55.0,0.20348,0.54079,,,0.65076,0.51038,0.5720841393802641,60.0,0.19991,0.53199,,,0.63748,0.50752,0.5651246281222707,0.953499634025365,,,,
Ours-TinyPersonCornerOriginal,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,tinyperson_corner_original_ours,p2p4_balanced_head+lite_self_attention_neck+tiny_frelu_neck,"lite_self_attention_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,TinyPerson,/home/oem/projects/multi-uav-marine-city/configs/detector/tinyperson_corner_original_yolo_data.yaml,1280,100,8,True,,,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_165323_ours_tinyperson_corner_original_img1280_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_165323_ours_tinyperson_corner_original_img1280_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_165323_ours_tinyperson_corner_original_img1280_seed42/ultralytics/weights/best.pt,36.0,0.18271,0.47612,,,0.56452,0.44674,0.49877116626782436,41.0,0.18182,0.47727,,,0.56415,0.44548,0.49784087636064694,0.9380701232144062,,,,
YOLOv9m-TinyPersonCornerOriginal,yolov9m.pt,yolo11l.pt,tinyperson_corner_original_yolov9m_baseline,strong_tinyperson_baseline,,false,implemented,YOLO,yolo,v9,v9,true,medium,medium,unknown,medium,TinyPerson,/home/oem/projects/multi-uav-marine-city/configs/detector/tinyperson_corner_original_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_211214_yolov9m_tinyperson_corner_original_img1280_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_211214_yolov9m_tinyperson_corner_original_img1280_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_211214_yolov9m_tinyperson_corner_original_img1280_seed123/ultralytics/weights/best.pt,31.0,0.19602,0.51739,,,0.63077,0.47832,0.5440674902848281,36.0,0.18621,0.49419,,,0.60848,0.47558,0.5338835828275188,0.9613735801913672,,,,
Ours-TinyPersonCornerOriginal,configs/detector/yolo11l-p2p4-balanced-v1.yaml,yolo11l.pt,tinyperson_corner_original_ours,p2p4_balanced_head+lite_self_attention_neck+tiny_frelu_neck,"lite_self_attention_neck,tiny_frelu_neck",true,implemented,Other,non_yolo,unknown,,false,unknown,unknown,unknown,unknown,TinyPerson,/home/oem/projects/multi-uav-marine-city/configs/detector/tinyperson_corner_original_yolo_data.yaml,1280,100,8,True,,,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_214934_ours_tinyperson_corner_original_img1280_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_214934_ours_tinyperson_corner_original_img1280_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/tinyperson_corner_original/20260626_214934_ours_tinyperson_corner_original_img1280_seed123/ultralytics/weights/best.pt,16.0,0.15226,0.40974,,,0.52351,0.39805,0.4522400180129346,21.0,0.14543,0.38602,,,0.50215,0.37884,0.4318653015357723,0.9033849687059495,,,,
