method,model,base_model,ablation,proposed_module,is_proposed,implementation_status,detector_family,architecture_group,model_version,yolo_version,is_yolo,model_scale,name_size_tag,param_size_group,size_group,dataset,seed,status,run_dir,results_csv,best_weight,best_epoch,best_AP,best_AP50,best_AP75,best_APsmall,best_precision,best_recall,best_F1,final_epoch,final_AP,final_AP50,final_AP75,final_APsmall,final_precision,final_recall,final_F1,ROC-AUC,latency_ms,FPS,Params,GFLOPs
YOLOv11s,yolo11s.pt,yolo11s.pt,,,false,,YOLO,yolo,v11,v11,true,small,small,small,small,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_074115_yolo11s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_074115_yolo11s_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_074115_yolo11s_visdrone_seed2026/ultralytics/weights/best.pt,59.0,0.32534,0.52865,,,0.64193,0.51545,0.5717790500959062,100.0,0.31008,0.51074,,,0.62954,0.50151,0.5582787770655585,0.8866268032357925,,,9431662,21.6
YOLOv12n,yolo12n.pt,yolo12n.pt,,,false,,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_092107_yolo12n_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_092107_yolo12n_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_092107_yolo12n_visdrone_seed42/ultralytics/weights/best.pt,59.0,0.29247,0.48103,,,0.59751,0.47258,0.5277523868085862,100.0,0.28362,0.4715,,,0.57277,0.47741,0.520760490011236,0.8743640879461282,,,2569998,6.5
YOLOv12n,yolo12n.pt,yolo12n.pt,,,false,,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_102503_yolo12n_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_102503_yolo12n_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_102503_yolo12n_visdrone_seed123/ultralytics/weights/best.pt,65.0,0.29268,0.48134,,,0.58816,0.47941,0.5282459896774919,100.0,0.28627,0.47521,,,0.58188,0.47177,0.521071565700185,0.876523001646641,,,2569998,6.5
YOLOv12n,yolo12n.pt,yolo12n.pt,,,false,,YOLO,yolo,v12,v12,true,nano,nano,nano,nano,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_130024_yolo12n_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_130024_yolo12n_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_130024_yolo12n_visdrone_seed2026/ultralytics/weights/best.pt,74.0,0.29612,0.48934,,,0.59594,0.4807,0.5321525449546738,100.0,0.29,0.48129,,,0.5873,0.48159,0.529217799773597,0.8763672907680065,,,2569998,6.5
YOLOv12s,yolo12s.pt,yolo12s.pt,,,false,,YOLO,yolo,v12,v12,true,small,small,small,small,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_140628_yolo12s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_140628_yolo12s_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_140628_yolo12s_visdrone_seed42/ultralytics/weights/best.pt,53.0,0.33282,0.53785,,,0.63224,0.52557,0.5739912020106926,100.0,0.31057,0.50983,,,0.62039,0.50987,0.5597265218622264,0.8895311706201898,,,9257006,21.5
YOLOv12s,yolo12s.pt,yolo12s.pt,,,false,,YOLO,yolo,v12,v12,true,small,small,small,small,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_163722_yolo12s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_163722_yolo12s_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_163722_yolo12s_visdrone_seed123/ultralytics/weights/best.pt,46.0,0.3322,0.53852,,,0.63114,0.52448,0.5728878129488932,100.0,0.31176,0.5095,,,0.61272,0.51764,0.5611811826320818,0.8880660752878985,,,9257006,21.5
YOLOv12s,yolo12s.pt,yolo12s.pt,,,false,,YOLO,yolo,v12,v12,true,small,small,small,small,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_194708_yolo12s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_194708_yolo12s_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_194708_yolo12s_visdrone_seed2026/ultralytics/weights/best.pt,60.0,0.33153,0.53934,,,0.63895,0.5303,0.5795769681419713,100.0,0.31304,0.51349,,,0.63166,0.51209,0.5656249519562841,0.8905663935717305,,,9257006,21.5
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,false,,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,42,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_221147_rtdetr-l_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_221147_rtdetr-l_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260516_221147_rtdetr-l_visdrone_seed42/ultralytics/weights/best.pt,1.0,0.10494,0.18777,,,0.5194,0.24353,0.3315886962106615,3.0,0.0552,0.16073,,,0.32336,0.20907,0.2539484071145503,,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,false,,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,123,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_012653_rtdetr-l_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_012653_rtdetr-l_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_012653_rtdetr-l_visdrone_seed123/ultralytics/weights/best.pt,1.0,0.13901,0.2379,,,0.4381,0.28329,0.34408391854614007,1.0,0.13901,0.2379,,,0.4381,0.28329,0.34408391854614007,,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,false,,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed123/ultralytics/weights/best.pt,100.0,0.28292,0.50042,,,0.61057,0.51838,0.5607108846273086,100.0,0.28292,0.50042,,,0.61057,0.51838,0.5607108846273086,0.8904800250215535,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,false,,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_014701_rtdetr-l_visdrone_seed42/ultralytics/weights/best.pt,62.0,0.30551,0.51286,,,0.60046,0.52404,0.5596532830591374,100.0,0.15235,0.34992,,,0.50789,0.38447,0.43764504975570395,0.8898405635471152,,,32826626,108.0
RT-DETR-L,rtdetr-l.pt,rtdetr-l.pt,,,false,,RT-DETR,non_yolo,RT-DETR,,false,large,large,medium,medium,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_195933_rtdetr-l_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_195933_rtdetr-l_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260517_195933_rtdetr-l_visdrone_seed2026/ultralytics/weights/best.pt,83.0,0.31782,0.52789,,,0.59628,0.54604,0.5700552055466068,100.0,0.31015,0.52543,,,0.60353,0.53658,0.5680892675268175,0.8986826370064556,,,32826626,108.0
YOLOv8s,yolov8s.pt,yolov8s.pt,,,false,,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,7,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144832_yolov8s_visdrone_seed7,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144832_yolov8s_visdrone_seed7/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144832_yolov8s_visdrone_seed7/ultralytics/weights/best.pt,72.0,0.33264,0.53974,,,0.63168,0.53133,0.5771756638378003,100.0,0.32323,0.52682,,,0.62879,0.52326,0.571191624321861,0.8884947258451689,,,11139470,28.7
YOLOv8s,yolov8s.pt,yolov8s.pt,,,false,,YOLO,yolo,v8,v8,true,small,small,small,small,VisDrone2019-DET,3407,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144833_yolov8s_visdrone_seed3407,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144833_yolov8s_visdrone_seed3407/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_144833_yolov8s_visdrone_seed3407/ultralytics/weights/best.pt,60.0,0.33182,0.5389,,,0.63932,0.52354,0.5756661899110813,100.0,0.32088,0.52272,,,0.62277,0.5201,0.5668233079877851,0.8869614015276047,,,11139470,28.7
YOLOv12s,yolo12s.pt,yolo12s.pt,,,false,,YOLO,yolo,v12,v12,true,small,small,small,small,VisDrone2019-DET,7,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_172007_yolo12s_visdrone_seed7,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_172007_yolo12s_visdrone_seed7/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_172007_yolo12s_visdrone_seed7/ultralytics/weights/best.pt,44.0,0.3315,0.53623,,,0.61748,0.53105,0.5710129539498315,100.0,0.31335,0.51401,,,0.63116,0.50653,0.5620186075292919,0.8865019443818418,,,9257006,21.5
YOLOv12s,yolo12s.pt,yolo12s.pt,,,false,,YOLO,yolo,v12,v12,true,small,small,small,small,VisDrone2019-DET,3407,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_172138_yolo12s_visdrone_seed3407,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_172138_yolo12s_visdrone_seed3407/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_172138_yolo12s_visdrone_seed3407/ultralytics/weights/best.pt,53.0,0.33117,0.53621,,,0.62338,0.52835,0.5719445060908372,100.0,0.31532,0.51466,,,0.62261,0.51081,0.561196051066683,0.8888423714007365,,,9257006,21.5
YOLOv11s,yolo11s.pt,yolo11s.pt,,,false,,YOLO,yolo,v11,v11,true,small,small,small,small,VisDrone2019-DET,7,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_225315_yolo11s_visdrone_seed7,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_225315_yolo11s_visdrone_seed7/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_225315_yolo11s_visdrone_seed7/ultralytics/weights/best.pt,46.0,0.32413,0.52658,,,0.6251,0.51287,0.5634507711099589,100.0,0.31169,0.50952,,,0.63682,0.49763,0.5586861238485609,0.8834181240676878,,,9431662,21.6
YOLOv11s,yolo11s.pt,yolo11s.pt,,,false,,YOLO,yolo,v11,v11,true,small,small,small,small,VisDrone2019-DET,3407,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_225530_yolo11s_visdrone_seed3407,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_225530_yolo11s_visdrone_seed3407/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260518_225530_yolo11s_visdrone_seed3407/ultralytics/weights/best.pt,59.0,0.32844,0.53403,,,0.6351,0.52562,0.5751968812461231,100.0,0.31236,0.51155,,,0.63306,0.50041,0.5589729849047614,0.8841414750939223,,,9431662,21.6
YOLOv5su,yolov5su.pt,yolov5su.pt,,,false,,YOLO,yolo,v5,v5,true,small,small,small,small,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_014121_yolov5su_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_014121_yolov5su_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_014121_yolov5su_visdrone_seed123/ultralytics/weights/best.pt,62.0,0.32927,0.53594,,,0.63294,0.51962,0.5707091740126328,100.0,0.31926,0.52406,,,0.64377,0.50266,0.5645306354509215,,,,9126062,24.1
YOLOv5su,yolov5su.pt,yolov5su.pt,,,false,,YOLO,yolo,v5,v5,true,small,small,small,small,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_014121_yolov5su_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_014121_yolov5su_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_014121_yolov5su_visdrone_seed42/ultralytics/weights/best.pt,60.0,0.32534,0.52851,,,0.62289,0.52101,0.5674130936270654,100.0,0.31898,0.52183,,,0.62544,0.51601,0.5654795118489641,,,,9126062,24.1
YOLOv9s,yolov9s.pt,yolov9s.pt,,,false,,YOLO,yolo,v9,v9,true,small,small,small,small,VisDrone2019-DET,42,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_040826_yolov9s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_040826_yolov9s_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_040826_yolov9s_visdrone_seed42/ultralytics/weights/best.pt,67.0,0.34314,0.55432,,,0.62694,0.54673,0.5840941767277004,100.0,0.33436,0.54422,,,0.62961,0.53852,0.5805134312105673,,,,7291278,27.4
YOLOv5su,yolov5su.pt,yolov5su.pt,,,false,,YOLO,yolo,v5,v5,true,small,small,small,small,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_041014_yolov5su_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_041014_yolov5su_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_041014_yolov5su_visdrone_seed2026/ultralytics/weights/best.pt,62.0,0.32902,0.53471,,,0.62253,0.52754,0.5711121517820654,100.0,0.32274,0.52631,,,0.60629,0.52358,0.5619076853089294,,,,9126062,24.1
YOLOv9s,yolov9s.pt,yolov9s.pt,,,false,,YOLO,yolo,v9,v9,true,small,small,small,small,VisDrone2019-DET,123,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_063432_yolov9s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_063432_yolov9s_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_063432_yolov9s_visdrone_seed123/ultralytics/weights/best.pt,86.0,0.34366,0.55407,,,0.6376,0.54743,0.5890844417440909,100.0,0.33906,0.54845,,,0.63278,0.54017,0.5828189992753314,,,,7291278,27.4
YOLOv9s,yolov9s.pt,yolov9s.pt,,,false,,YOLO,yolo,v9,v9,true,small,small,small,small,VisDrone2019-DET,2026,completed,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_075807_yolov9s_visdrone_seed2026,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_075807_yolov9s_visdrone_seed2026/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_075807_yolov9s_visdrone_seed2026/ultralytics/weights/best.pt,70.0,0.34324,0.55491,,,0.64418,0.54025,0.5876552350075565,100.0,0.33672,0.54684,,,0.63261,0.53718,0.5810024701869567,,,,7291278,27.4
YOLOv10s,yolov10s.pt,yolov10s.pt,,,false,,YOLO,yolo,v10,v10,true,small,small,small,small,VisDrone2019-DET,42,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_102554_yolov10s_visdrone_seed42,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_102554_yolov10s_visdrone_seed42/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_102554_yolov10s_visdrone_seed42/ultralytics/weights/best.pt,41.0,0.32705,0.52734,,,0.62249,0.51229,0.5620391654770087,50.0,0.32291,0.52318,,,0.6218,0.51413,0.5628622080585951,,,,8074092,24.8
YOLOv10s,yolov10s.pt,yolov10s.pt,,,false,,YOLO,yolo,v10,v10,true,small,small,small,small,VisDrone2019-DET,123,incomplete,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_115641_yolov10s_visdrone_seed123,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_115641_yolov10s_visdrone_seed123/ultralytics/results.csv,/home/oem/projects/multi-uav-marine-city/outputs/detectors/server_baselines/20260519_115641_yolov10s_visdrone_seed123/ultralytics/weights/best.pt,7.0,0.24983,0.41742,,,0.51602,0.43205,0.47031641334500623,7.0,0.24983,0.41742,,,0.51602,0.43205,0.47031641334500623,,,,8074092,24.8
