atomic_context,class_name,controlled_cost,controlled_cost_in_rank,controlled_cost_out_rank,controlled_greedy_accepted,controlled_reciprocal_accepted,controlled_reciprocal_proposed,cosine_distance,destination_choice_count_across_methods,destination_conflict,destination_gt_purity,destination_majority_gt_identity,earlier,endpoint_center_distance_pixels,endpoint_top_left_distance_pixels,enters_fixed_candidate_graph,family,gap,geometry_first_in_rank,geometry_first_out_rank,historical_reciprocal_accepted,historical_reciprocal_proposed,later,partial_hungarian_selected,passes_appearance_gate,passes_geometry_gate,posthoc_gt_correctness,protocol,selected_methods,selection_count,sequence,source_choice_count_across_methods,source_conflict,source_gt_purity,source_majority_gt_identity,tracker
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6601497710683031,3,2,False,False,False,0.25499284267425537,2,True,,,101,20.00935773598986,22.777439135059133,True,legacy12,23,1,1,True,True,348,False,True,True,unknown,oracle_aabb,ACE-v1,1,data28-1,2,True,1.0,17,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6738042903311738,5,1,True,False,False,0.17608273029327393,2,True,,,146,44.06254068421013,43.20174274078885,True,legacy12,19,4,3,False,False,344,False,True,True,unknown,oracle_aabb,Cost-G,1,data28-1,3,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.7036287476728682,2,4,True,False,False,0.18692004680633545,2,True,0.8,30,146,41.49673478486176,40.31727435525162,True,legacy12,22,4,2,False,False,366,True,True,True,unknown,oracle_aabb,Cost-G;Cost-H,2,data28-1,3,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6870330585093173,3,3,False,False,False,0.19298166036605835,3,True,1.0,49,146,22.98048358692665,26.699712074399162,True,legacy12,30,1,1,True,True,378,False,True,True,unknown,oracle_aabb,ACE-v1,1,data28-1,3,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.3929558817626945,2,2,True,False,False,0.08874964714050293,2,True,0.6666666666666666,6,147,44.900285181752395,45.73009782959064,True,legacy12,2,2,4,False,False,184,False,True,True,unknown,oracle_aabb,Cost-G,1,data28-1,3,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.7642491524239708,1,5,True,False,False,0.2846623659133911,1,False,1.0,11,147,40.91300973250015,40.53495379014417,True,legacy12,18,1,3,False,False,283,False,True,True,unknown,oracle_aabb,Cost-G,1,data28-1,3,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.3988748703597786,1,1,True,True,True,0.1324504017829895,1,False,0.7142857142857143,5,148,36.031779949148714,38.103955444799354,True,legacy12,3,1,3,False,False,261,True,True,True,correct,oracle_aabb,Cost-G;Cost-H;Cost-R,3,data28-1,1,False,1.0,5,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.4103136328052044,1,1,True,True,True,0.10616946220397949,2,True,1.0,10,149,44.570681342129156,45.24247604776924,True,legacy12,2,1,2,False,False,185,False,True,True,unknown,oracle_aabb,Cost-G;Cost-R,2,data28-1,2,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.43782261367624,1,2,True,False,False,0.20034539699554443,1,False,0.5,10,149,26.34407514072977,26.742603665968744,True,legacy12,5,1,1,True,True,201,True,True,True,unknown,oracle_aabb,ACE-v1;Cost-G;Cost-H,3,data28-1,2,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.4516068172374894,1,2,True,False,False,0.1494373083114624,1,False,0.6666666666666666,11,150,43.451618320417644,42.79530892182524,True,legacy12,2,1,3,False,False,186,False,True,True,unknown,oracle_aabb,Cost-G,1,data28-1,3,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.7636217184486987,1,4,True,False,False,0.26652127504348755,1,False,1.0,36,150,53.30201645272924,50.901428688853365,True,legacy12,13,1,4,False,False,264,False,True,True,unknown,oracle_aabb,Cost-G,1,data28-1,3,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.720337830262478,3,1,True,False,False,0.2334262728691101,2,True,0.75,23,153,54.06092530063868,51.7302470827542,True,legacy12,12,4,2,False,False,258,False,True,True,unknown,oracle_aabb,Cost-G,1,data28-1,1,False,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.3800487197505682,2,2,True,False,False,0.07666772603988647,2,True,1.0,18,154,44.985622318197905,45.84984593640158,True,legacy12,2,2,3,False,False,187,False,True,True,unknown,oracle_aabb,Cost-G,1,data28-1,2,True,,,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.6389133336846274,2,1,True,False,False,0.13853663206100464,3,True,1.0,19,155,32.35565084677935,32.516966223952544,True,legacy12,26,2,1,False,False,363,False,True,True,correct,oracle_aabb,Cost-G,1,data28-1,1,False,1.0,19,bytetrack
oracle_aabb/legacy12/data28-1/car/bytetrack,car,0.22241178837234318,1,1,True,True,True,0.10182076692581177,2,True,1.0,7,156,10.6974711450378,11.332475326488412,True,legacy12,4,1,1,True,True,265,False,True,True,false,oracle_aabb,ACE-v1;Cost-G;Cost-R,3,data28-1,2,True,1.0,30,bytetrack
