a_only,a_only_correct,a_only_false,analysis,auditable_fraction,b_only,b_only_correct,b_only_false,conditional_precision,correct,edge_count,false,family,intersection,jaccard,method_a,method_b,note,posthoc_gt_correctness,protocol,tracker,union,unknown
,,,selection_signature,,,,,,,755,,all_sequences,,,Cost-H,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,20,,all_sequences,,,Cost-H+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,12,,all_sequences,,,Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,oracle_union_upper_bound_not_deployable,,,,,,,125,,all_sequences,,,any_linker_correct_edge,N/A,Post-hoc GT upper bound only; never scored as a deployable method.,,official_detector,bytetrack,,
,,,method_summary,0.04001633319722336,,,,0.7857142857142857,77,2449,21,confirmation38,,,ACE-v1,N/A,,,official_detector,bytetrack,,2351
,,,method_summary,0.03934057699512926,,,,0.8095238095238095,85,2669,20,confirmation38,,,Cost-R,N/A,,,official_detector,bytetrack,,2564
,,,method_summary,0.03183166981386566,,,,0.8135593220338984,96,3707,22,confirmation38,,,Cost-G,N/A,,,official_detector,bytetrack,,3589
,,,method_summary,0.032043879907621246,,,,0.7927927927927928,88,3464,23,confirmation38,,,Cost-H,N/A,,,official_detector,bytetrack,,3353
617,5,4,pairwise_edge_selection,,837,13,3,,,,,confirmation38,1832,0.5575167376749848,ACE-v1,Cost-R,,,official_detector,bytetrack,3286,
948,,,pairwise_component_co_membership,,1838,,,,,,,confirmation38,2850,0.5056777856635912,ACE-v1,Cost-R,,,official_detector,bytetrack,5636,
467,2,3,pairwise_edge_selection,,1725,21,4,,,,,confirmation38,1982,0.47484427407762336,ACE-v1,Cost-G,,,official_detector,bytetrack,4174,
625,,,pairwise_component_co_membership,,7845,,,,,,,confirmation38,3173,0.27252426350596926,ACE-v1,Cost-G,,,official_detector,bytetrack,11643,
630,6,4,pairwise_edge_selection,,1645,17,6,,,,,confirmation38,1819,0.4443087445041524,ACE-v1,Cost-H,,,official_detector,bytetrack,4094,
885,,,pairwise_component_co_membership,,4741,,,,,,,confirmation38,2913,0.3411406487879143,ACE-v1,Cost-H,,,official_detector,bytetrack,8539,
44,0,0,pairwise_edge_selection,,1082,11,2,,,,,confirmation38,2625,0.6998133830978406,Cost-R,Cost-G,,,official_detector,bytetrack,3751,
136,,,pairwise_component_co_membership,,6466,,,,,,,confirmation38,4552,0.4081047157970235,Cost-R,Cost-G,,,official_detector,bytetrack,11154,
276,2,0,pairwise_edge_selection,,1071,5,3,,,,,confirmation38,2393,0.6398395721925134,Cost-R,Cost-H,,,official_detector,bytetrack,3740,
619,,,pairwise_component_co_membership,,3585,,,,,,,confirmation38,4069,0.49184092832104437,Cost-R,Cost-H,,,official_detector,bytetrack,8273,
1038,11,2,pairwise_edge_selection,,795,3,3,,,,,confirmation38,2669,0.5928476232785429,Cost-G,Cost-H,,,official_detector,bytetrack,4502,
5786,,,pairwise_component_co_membership,,2422,,,,,,,confirmation38,5232,0.3892857142857143,Cost-G,Cost-H,,,official_detector,bytetrack,13440,
,,,selection_signature,,,,,,,2,,confirmation38,,,ACE-v1,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,3,,confirmation38,,,ACE-v1,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,372,,confirmation38,,,ACE-v1,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,3,,confirmation38,,,ACE-v1+Cost-G,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,confirmation38,,,ACE-v1+Cost-G,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,114,,confirmation38,,,ACE-v1+Cost-G,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,46,,confirmation38,,,ACE-v1+Cost-G+Cost-H,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,71,,confirmation38,,,ACE-v1+Cost-G+Cost-H+Cost-R,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,17,,confirmation38,,,ACE-v1+Cost-G+Cost-H+Cost-R,N/A,,false,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1596,,confirmation38,,,ACE-v1+Cost-G+Cost-H+Cost-R,N/A,,unknown,official_detector,bytetrack,,
,,,selection_signature,,,,,,,1,,confirmation38,,,ACE-v1+Cost-G+Cost-R,N/A,,correct,official_detector,bytetrack,,
,,,selection_signature,,,,,,,133,,confirmation38,,,ACE-v1+Cost-G+Cost-R,N/A,,unknown,official_detector,bytetrack,,
