descriptor_seconds,device,modality,sequence,split,threads,tracker,tracker_seconds,verification_feature_seconds
3.561379985883832,cpu,ir,M3OT/1/ir/val/1-08T,development,8,bytetrack,1.2032853476703167,0.0026952363550662994
3.408546860329807,cpu,ir,M3OT/1/ir/val/1-08T,development,8,ocsort,0.8543359516188502,0.0025347406044602394
3.8355768593028188,cpu,rgb,M3OT/1/rgb/val/1-08,development,8,bytetrack,0.8860149905085564,0.0026547089219093323
3.2277733040973544,cpu,rgb,M3OT/1/rgb/val/1-08,development,8,ocsort,0.877797519788146,0.0018602199852466583
4.060462762601674,cpu,ir,M3OT/2/ir/val/2-08T,development,8,bytetrack,1.0741692185401917,0.0038119126111268997
3.748044935055077,cpu,ir,M3OT/2/ir/val/2-08T,development,8,ocsort,1.0995409032329917,0.003659745678305626
3.2261328464373946,cpu,rgb,M3OT/2/rgb/val/2-08,development,8,bytetrack,1.1025147819891572,0.0021212147548794746
3.093653831630945,cpu,rgb,M3OT/2/rgb/val/2-08,development,8,ocsort,1.101250528357923,0.002150207757949829
1.736706843599677,cpu,ir,M3OT/1/ir/test/1-03T,held_out,8,bytetrack,0.3398264804854989,0.0008102264255285263
1.5876420820131898,cpu,ir,M3OT/1/ir/test/1-03T,held_out,8,ocsort,0.3257981091737747,0.0007457379251718521
1.5855572391301394,cpu,rgb,M3OT/1/rgb/test/1-03,held_out,8,bytetrack,0.3311555441468954,0.0005619404837489128
1.502416267991066,cpu,rgb,M3OT/1/rgb/test/1-03,held_out,8,ocsort,0.31972133554518223,0.0002696467563509941
1.754078078083694,cpu,ir,M3OT/2/ir/test/2-03T,held_out,8,bytetrack,0.31652121618390083,0.0009301425889134407
1.6479810746386647,cpu,ir,M3OT/2/ir/test/2-03T,held_out,8,ocsort,0.32628477830439806,0.0005888370797038078
1.5306675313040614,cpu,rgb,M3OT/2/rgb/test/2-03,held_out,8,bytetrack,0.33828899823129177,0.0004988471046090126
1.474579906091094,cpu,rgb,M3OT/2/rgb/test/2-03,held_out,8,ocsort,0.31156281381845474,0.0002745566889643669
