AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_links,accepted_unknown,all_box_multisets_preserved,component_rejections,delta_h_idf1_pp,delta_path_g_idf1_pp,duplicate_frame_identity_count,method,path_g_idf1,selected,selection_dataset,selection_rank,sequence_tracker_units,solver_seconds,split,tau_a,tau_m,tie_ambiguous,tie_excluded_correct,tie_excluded_false
95.69280371134995,96.26877734879501,658,4,40,95.96474067405723,98.54148349178226,17,98.71971760487341,53852,22,8,33,3,True,0,0.06709455808979214,0.15228881125145222,0,cost_h_full_reassign,98.52546401209496,True,M3OT val direct tracker-box crops,1,8,1.6539107346907258,development,0.1,4.0,0,22,8
95.65534678615788,96.26877734879501,658,4,40,95.9457589221558,98.52546401209496,19,98.7165417918653,53852,20,9,32,3,True,0,0.0510750784024907,0.15228881125145222,0,cost_h_full_reassign,98.52546401209496,False,M3OT val direct tracker-box crops,2,8,1.5478025544434786,development,0.0,4.0,0,20,9
95.65534678615788,96.26877734879501,658,4,40,95.9457589221558,98.52546401209496,19,98.7165417918653,53852,20,9,32,3,True,0,0.0510750784024907,0.15228881125145222,0,cost_h_full_reassign,98.52546401209496,False,M3OT val direct tracker-box crops,3,8,1.5548401726409793,development,0.05,4.0,0,20,9
95.73918512474873,96.26877734879501,658,4,40,95.98777122594116,98.46392053776712,19,98.7171852313091,53852,20,6,29,3,True,0,-0.010468395925343543,0.09074533692361797,0,cost_h_full_reassign,98.46392053776712,False,M3OT val direct tracker-box crops,4,8,1.7207301696762443,development,0.05,2.0,0,20,6
95.73918512474873,96.26877734879501,658,4,40,95.98777122594116,98.46392053776712,19,98.7171852313091,53852,20,6,29,3,True,0,-0.010468395925343543,0.09074533692361797,0,cost_h_full_reassign,98.46392053776712,False,M3OT val direct tracker-box crops,5,8,1.737539766356349,development,0.1,2.0,0,20,6
95.70548364903001,96.26877734879501,658,4,40,95.97097647048588,98.44376466568973,20,98.71495388536123,53852,19,6,28,3,True,0,-0.03062426800273954,0.07058946484622197,0,cost_h_full_reassign,98.44376466568973,False,M3OT val direct tracker-box crops,6,8,1.6378226345404983,development,0.0,2.0,0,19,6
95.47801017008825,96.26877734879501,658,4,40,95.85693038472338,98.3891946805308,17,98.71971760487341,53852,22,9,34,3,True,0,-0.08519425316166007,0.0,0,cost_h_full_reassign,98.3731752008435,False,M3OT val direct tracker-box crops,7,8,1.6482558185234666,development,0.1,8.0,0,22,9
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,-0.10121373284896151,0.0,0,cost_h_full_reassign,98.3731752008435,False,M3OT val direct tracker-box crops,8,8,1.6194338221102953,development,0.0,8.0,0,20,10
95.44055324489617,96.26877734879501,658,4,40,95.83794863282196,98.3731752008435,19,98.7165417918653,53852,20,10,33,3,True,0,-0.10121373284896151,0.0,0,cost_h_full_reassign,98.3731752008435,False,M3OT val direct tracker-box crops,9,8,1.751646414399147,development,0.05,8.0,0,20,10
95.43675282018094,96.26877734879501,658,4,40,95.83352404673877,98.17780237037111,23,98.71083360529283,53852,17,0,18,1,True,0,-0.29658656332135536,-0.19537283047239384,0,cost_h_full_reassign,98.17780237037111,False,M3OT val direct tracker-box crops,10,8,1.6582591021433473,development,0.1,1.0,0,17,0
95.41050912876061,96.26877734879501,658,4,40,95.82037793537845,98.16200386897181,24,98.70860225934496,53852,16,0,17,1,True,0,-0.3123850647206581,-0.21117133187169657,0,cost_h_full_reassign,98.16200386897181,False,M3OT val direct tracker-box crops,11,8,1.725558809004724,development,0.05,1.0,0,16,0
95.37680765304191,96.26877734879501,658,4,40,95.80357829369656,98.14184799689441,25,98.70637091339708,53852,15,0,16,1,True,0,-0.3325409367980541,-0.23132720394909256,0,cost_h_full_reassign,98.14184799689441,False,M3OT val direct tracker-box crops,12,8,1.6413727011531591,development,0.0,1.0,0,15,0
