AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,accepted_correct,accepted_false,accepted_links,accepted_unknown,box_multiset_preserved,component_rejections,duplicate_frame_identity_count,method,modality,predicted_boxes,sequence,solver_seconds,split,tau_a,tau_m,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker,valid_gt_boxes
94.70438659266016,94.12906524295698,41,0,9,94.37983506215261,99.25647227447818,3,99.21456622634773,5561,1,1,4,2,True,0,0,cost_h_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.1716936994343996,development,0.0,4.0,0,1,1,bytetrack,5602
94.70438659266016,94.12906524295698,41,0,9,94.37983506215261,99.25647227447818,3,99.21456622634773,5561,1,1,4,2,True,0,0,path_g_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17221481446176767,development,0.0,4.0,0,1,1,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,cost_h_margin_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.1709218705072999,development,0.0,8.0,0,1,2,bytetrack,5602
93.5742203443645,94.12906524295698,41,0,9,93.8139084453356,98.34273940696944,1,99.25026776151374,5561,3,1,6,2,True,0,0,cost_h_motion_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17258867528289557,development,0.0,8.0,0,3,1,bytetrack,5602
93.08472161500822,94.12906524295698,41,0,9,93.56717469507633,98.03816178446654,3,99.21456622634773,5561,1,1,4,2,True,0,0,cost_h_full_postfilter,ir,5561,M3OT/1/ir/val/1-08T,0.1743000727146864,development,0.0,8.0,0,1,1,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,cost_h_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.1733646709471941,development,0.0,8.0,0,1,2,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,path_g_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17593166138976812,development,0.0,8.0,0,1,2,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,cost_h_margin_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17580422945320606,development,0.05,1.0,0,1,2,bytetrack,5602
95.23998137346183,94.12906524295698,41,0,9,94.64683413728393,99.47146824330378,2,99.23241699393074,5561,3,0,3,0,True,0,0,cost_h_motion_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17580020986497402,development,0.05,1.0,0,3,0,bytetrack,5602
95.02009444985525,94.12906524295698,41,0,9,94.53669180984511,99.32813759742005,3,99.21456622634773,5561,2,0,2,0,True,0,0,cost_h_full_postfilter,ir,5561,M3OT/1/ir/val/1-08T,0.17511408124119043,development,0.05,1.0,0,2,0,bytetrack,5602
95.02009444985525,94.12906524295698,41,0,9,94.53669180984511,99.32813759742005,3,99.21456622634773,5561,2,0,2,0,True,0,0,cost_h_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17604034673422575,development,0.05,1.0,0,2,0,bytetrack,5602
95.02009444985525,94.12906524295698,41,0,9,94.53669180984511,99.32813759742005,3,99.21456622634773,5561,2,0,2,0,True,0,0,path_g_full_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.2611546730622649,development,0.05,1.0,0,2,0,bytetrack,5602
92.9860382625666,94.12906524295698,41,0,9,93.5173527474819,98.03816178446654,3,99.21456622634773,5561,1,2,5,2,True,0,0,cost_h_margin_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.17423268873244524,development,0.05,2.0,0,1,2,bytetrack,5602
95.29256867445802,94.12906524295698,41,0,9,94.67365522024186,99.5610498969811,1,99.25026776151374,5561,3,0,5,2,True,0,0,cost_h_motion_reassign,ir,5561,M3OT/1/ir/val/1-08T,0.1740786526352167,development,0.05,2.0,0,3,0,bytetrack,5602
