competition_ambiguity,controlled_cost,cosine_distance,destination_label_purity,destination_majority_tied,destination_matched_observations,earlier,endpoint_center_distance_pixels,gap,incoming_alternative_cost,incoming_candidate_count,incoming_margin,later,modality,motion_available,motion_destination_fit_residual_pixels,motion_destination_observations,motion_disagreement_pixels,motion_endpoint_scale_pixels,motion_midpoint_frame,motion_missing_reason,motion_residual,motion_source_fit_residual_pixels,motion_source_observations,outgoing_alternative_cost,outgoing_candidate_count,outgoing_margin,posthoc_gt_relation,posthoc_gt_relation_ties_excluded,sequence,source_label_purity,source_majority_tied,source_matched_observations,split,tracker
0.0,0.6301374518818617,0.10752099752426147,1.0,False,40,15,29.260496681059234,30,1.0,1,0.36986254811813835,41,ir,True,0.11327187752409033,3,99.59392062123057,22.355675309190786,375.0,,4.4549725849831905,0.4102866280466948,3,1.0,1,0.36986254811813835,false,false,M3OT/1/ir/val/1-08T,1.0,False,207,development,bytetrack
0.04908054827322489,0.427676375027489,0.04921591281890869,1.0,False,5,18,26.710351196069098,19,0.3785958267542641,2,-0.04908054827322489,26,ir,True,0.054783149580502705,3,4.002748612024134,19.313586631004068,186.5,,0.20725040296754246,0.03900102716276037,3,1.0,1,0.572323624972511,correct,correct,M3OT/1/ir/val/1-08T,1.0,False,9,development,bytetrack
0.0,0.3785958267542641,0.06855833530426025,1.0,False,5,19,16.899283275339197,18,0.427676375027489,2,0.04908054827322489,26,ir,True,0.054783149580502705,3,37.53862866417678,18.213137889914044,187.0,,2.06107420319728,0.011382611763246075,3,0.4960006933829771,2,0.11740486662871297,false,false,M3OT/1/ir/val/1-08T,1.0,False,2,development,bytetrack
0.11740486662871297,0.4960006933829771,0.0807144045829773,1.0,False,54,19,32.20914023464539,19,1.0,1,0.503999306617023,27,ir,True,0.07410997349619253,3,1.8677623126918894,17.869794010939117,187.5,,0.10452064033578261,0.011382611763246075,3,0.3785958267542641,2,-0.11740486662871297,correct,correct,M3OT/1/ir/val/1-08T,1.0,False,2,development,bytetrack
0.0,0.2504707920994875,0.08069974184036255,N/A,N/A,N/A,22,24.699394692348974,1,1.0,1,0.7495292079005125,38,ir,True,0.2657002585327815,3,30.200003729742736,17.06374318103584,340.5,,1.7698346376489167,0.22222550847126743,3,1.0,1,0.7495292079005125,unknown,unknown,M3OT/1/ir/val/1-08T,1.0,False,148,development,bytetrack
0.0,0.5269932352103767,0.12893640995025635,1.0,False,66,26,37.64887531883181,14,1.0,1,0.47300676478962334,31,ir,True,0.1107493722120688,3,2.069696822446754,18.732604509047988,213.0,,0.11048633527959632,0.07784676784487773,3,1.0,1,0.47300676478962334,correct,correct,M3OT/1/ir/val/1-08T,1.0,False,5,development,bytetrack
0.08469201098223605,0.562371730792536,0.12871646881103516,N/A,N/A,N/A,32,21.52664963207865,26,0.47767971981029994,5,-0.08469201098223605,46,ir,True,0.24349223580526375,3,76.92613943279633,18.351900228984736,534.0,,4.191726114078381,0.013750849650754057,3,1.0,1,0.437628269207464,unknown,unknown,M3OT/1/ir/val/1-08T,1.0,False,252,development,bytetrack
0.011669779322417917,0.48934949913271786,0.23424237966537476,N/A,N/A,N/A,33,34.13156441824641,2,0.47767971981029994,5,-0.011669779322417917,46,ir,True,0.24349223580526375,3,34.17153159951978,25.013384032919497,546.0,,1.3661298908835156,0.002098624419794213,3,1.0,1,0.5106505008672821,unknown,unknown,M3OT/1/ir/val/1-08T,1.0,False,241,development,bytetrack
0.11977200673716187,0.5974517265474618,0.20352137088775635,N/A,N/A,N/A,42,20.933950217575887,22,0.47767971981029994,5,-0.11977200673716187,46,ir,True,0.24349223580526375,3,71.2720775230147,20.002343343785217,536.0,,3.5631863876168857,0.05284587981121088,3,1.0,1,0.4025482734525382,unknown,unknown,M3OT/1/ir/val/1-08T,1.0,False,103,development,bytetrack
0.04972183567632332,0.5274015554866233,0.1948636770248413,N/A,N/A,N/A,44,10.962915867405263,22,0.47767971981029994,5,-0.04972183567632332,46,ir,True,0.24349223580526375,3,73.93218592773012,18.587051931677042,536.0,,3.9776176555320726,0.14443610694403325,3,1.0,1,0.47259844451337674,unknown,unknown,M3OT/1/ir/val/1-08T,1.0,False,77,development,bytetrack
0.0,0.47767971981029994,0.14638274908065796,N/A,N/A,N/A,45,48.31364977057886,2,0.48934949913271786,5,0.011669779322417917,46,ir,True,0.24349223580526375,3,44.75604685625516,23.148695283846664,546.0,,1.933415525473968,0.0229474404054072,3,1.0,1,0.5223202801897,unknown,unknown,M3OT/1/ir/val/1-08T,1.0,False,102,development,bytetrack
0.0,0.332112758174478,0.057464659214019775,1.0,False,71,13,27.763417576218576,9,1.0,1,0.667887241825522,32,ir,True,0.0023584279933755313,3,1.958398346261886,16.784978047441115,242.5,,0.11667565728871748,0.003334681738510063,3,1.0,1,0.667887241825522,correct,correct,M3OT/1/ir/val/1-08T,1.0,False,93,development,ocsort
0.08167666286288633,0.48750821958633167,0.06730049848556519,1.0,False,6,18,29.600431509391118,21,0.40583155672344534,2,-0.08167666286288633,26,ir,True,0.0011760657467742807,3,3.1616172422666753,18.68503575984198,187.5,,0.16920584380478665,0.003334999463240073,3,1.0,1,0.5124917804136684,correct,correct,M3OT/1/ir/val/1-08T,1.0,False,7,development,ocsort
