split,tracker,sequence_count,baseline_HOTA,refined_HOTA,baseline_IDF1,refined_IDF1,delta_IDF1,baseline_IDSW,refined_IDSW,accepted_correct,accepted_false,correct_fragment_opportunities
development,bytetrack,4,93.28343631266932,94.16275289591687,96.8852278453976,98.49280395680402,1.6075761114064377,20,10,10,3,15
development,ocsort,4,96.30515093447819,97.55417080589699,96.09740037690918,98.25991098764476,2.162510610735577,21,9,12,5,19
held_out,bytetrack,4,88.30595869519293,85.55259580253956,96.77181617937282,92.77281180307979,-3.9990043762930227,6,6,0,7,3
held_out,ocsort,4,94.05490180420018,93.59925886458302,95.39262475202062,94.84099191883439,-0.5516328331862326,5,5,0,3,5
