descriptors,instance_count_reid,rejected_invalid_crops,runtime_seconds_median_instance,runtime_seconds_sum,sampled_crops,tracker,accepted_links,candidate_edges,candidate_seconds_sum,decision_seconds_sum,gated_edges,graph_seconds_median_instance,graph_seconds_p95_instance,graph_seconds_sum,instance_count_graph,tracklets,total_overhead_seconds,total_overhead_ms_per_frame
13836,263,0,0.213742384687066,248.31660787481812,29281,bytetrack,4481,864743,7.70637109875679,0.2788269901648164,33235,0.0005907975137233,0.0842196989804503,7.9851980889216065,263,13836,256.30180596373975,46.89019501714961
8150,263,0,0.1602011322975158,131.6376708317548,15819,ocsort,2560,216508,1.9733840273693204,0.1214542333036661,12109,0.0003135055303573,0.0493131847120819,2.0948382606729865,263,8150,133.7325090924278,24.46624754709619
5663,263,0,0.1037871306762099,132.88537962641567,15490,deepocsort,946,76253,0.9408603515475988,0.267163461074233,3490,0.000237887725234,0.0160310407169163,1.208023812621832,263,5663,134.0934034390375,24.53227285748948
