method,bytetrack_IDF1,bytetrack_IDSW,ocsort_IDF1,ocsort_IDSW,deepocsort_IDF1,deepocsort_IDSW
no_refinement,47.43747380136744,20056,42.96378760853253,6119,81.48609392004401,1962
geometry_reciprocal_guard,49.62361054821366,17581,45.078855903393496,4551,83.62709965125623,1392
geometry_reid_reciprocal_no_guard,49.716814283535086,17511,45.25381478226733,4441,83.67010459435745,1377
com3d_reciprocal_guard,49.716814283535086,17511,45.25381478226733,4441,83.67010459435745,1377
geometry_reid_greedy_guard,51.79997447203956,15064,46.24969200925807,3481,83.99334285590943,1149
geometry_reid_hungarian,50.78353107074298,16462,46.18531957078042,3547,84.00150888501939,1174
