tracker,method,threshold,accepted_coverage,known_error_rate,accepted_unknown,trajectory_valid,IDF1
bytetrack,com3d_reciprocal_guard,0.3,0.3660349616075805,0.4458041958041958,3909,True,49.716814283535086
bytetrack,geometry_reid_hungarian,0.3,0.5396177095245875,0.5288135593220339,5721,True,50.78353107074298
bytetrack,aflink_official,0.05,0.0104558078745303,0.6464646464646465,29,False,
ocsort,com3d_reciprocal_guard,0.3,0.3792030810250333,0.351171875,0,True,45.25381478226733
ocsort,geometry_reid_hungarian,0.3,0.4954821507924752,0.2559043348281016,0,True,46.18531957078042
ocsort,aflink_official,0.05,0.009924455636202,0.417910447761194,0,False,
deepocsort,com3d_reciprocal_guard,0.3,0.2613981762917933,0.3921775898520084,0,True,83.67010459435745
deepocsort,geometry_reid_hungarian,0.3,0.3268858800773694,0.3533389687235841,0,True,84.00150888501939
deepocsort,aflink_official,0.05,0.0317767339043934,0.6086956521739131,0,False,
