input,tracker,delta_HOTA,delta_AssA,delta_IDF1,IDF1_ci_lower,IDF1_ci_upper,delta_IDSW_total,improved,unchanged,worsened
Oracle AABB,bytetrack,1.0506252425355922,1.7094802722935896,2.3846344673400504,1.845746044483888,2.986834918031362,-2147,38,0,0
Oracle AABB,ocsort,0.9106349291341198,2.073523601183838,2.147905599509149,1.5395120284475678,2.844994229747767,-1185,37,0,1
Oracle AABB,deepocsort,1.282636806203265,2.4869104148150485,2.291182076082724,1.365438680851277,3.572783114263702,-466,31,4,3
Official detector,bytetrack,0.7909290735255834,1.4838503904940068,1.7093014151385644,1.1953515534146275,2.2630965816865665,-1142,33,1,4
Official detector,ocsort,0.579165152300912,1.464812958941042,1.5138662700318029,1.0705626874527976,2.044572363193053,-759,36,0,2
Official detector,deepocsort,0.4360043767821525,0.9177627149441436,1.1046305867564563,0.4801307129670353,1.9985030944111708,-268,27,5,6
