rank,method,family,mmot_delta_idf1_pp,m3ot_delta_idf1_pp,minimum_delta_idf1_pp,mean_delta_idf1_pp,total_idsw,mean_graph_stage_ms,mmot_bytetrack_idf1,mmot_ocsort_idf1,m3ot_bytetrack_idf1,m3ot_ocsort_idf1
1,s2_t_cond_w3_scale_c50_r100,A2_CONDITIONAL,0.07137197562636288,0.12788455409276622,0.07137197562636288,0.09962826485956455,1025,7.172711812499999,47.812871942299466,45.381082293114645,98.90537717616722,98.29916979940322
2,s2_t_cond_w3_endpoint_c50_r150,A2_CONDITIONAL,-0.14992816268622278,0.15228881125145932,-0.14992816268622278,0.0011803242826182725,1025,7.0460184375,47.370271665674295,45.381082293114645,98.92777258958655,98.32558290030127
3,s2_t_cond_w3_endpoint_c50_r200,A2_CONDITIONAL,-0.14992816268622278,0.15228881125145932,-0.14992816268622278,0.0011803242826182725,1025,7.1417198125,47.370271665674295,45.381082293114645,98.92777258958655,98.32558290030127
4,s2_t_cond_w3_endpoint_c35_r100,A2_CONDITIONAL,-0.6378473435514671,0.15228881125145932,-0.6378473435514671,-0.2427792661500039,1028,6.9805385,47.06598397549448,44.70953162156397,98.92777258958655,98.32558290030127
5,s2_t_cond_w3_endpoint_c50_r100,A2_CONDITIONAL,-0.6378473435514671,0.15228881125145932,-0.6378473435514671,-0.2427792661500039,1028,7.091450625,47.06598397549448,44.70953162156397,98.92777258958655,98.32558290030127
6,s2_t_cond_w5_endpoint_c50_r100,A2_CONDITIONAL,-0.6378473435514671,0.15228881125145932,-0.6378473435514671,-0.2427792661500039,1028,7.1491075625,47.06598397549448,44.70953162156397,98.92777258958655,98.32558290030127
7,s2_h_cond_w3_endpoint_c50_r150,A2_CONDITIONAL,-0.8013624556513328,0.15228881125145932,-0.8013624556513328,-0.32453682219993674,1127,7.203083250000001,46.445079031365566,45.003406341493154,98.92777258958655,98.32558290030127
8,s2_h_cond_w3_endpoint_c50_r100,A2_CONDITIONAL,-1.2892816365165771,0.15228881125145932,-1.2892816365165771,-0.5684964126325589,1130,7.213992375,46.14079134118575,44.33185566994248,98.92777258958655,98.32558290030127
