AssA,DetA,FN,FP,Frag,HOTA,IDF1,IDSW,MOTA,TP,family,invalid_class_instances,method,predicted_boxes,sequence,tracker,valid_gt_boxes,valid_output
63.52817869939839,52.80901941169592,402,25,8,57.79093954615798,72.19917012448133,19,64.96465043205028,871,confirmation38,0,geometry_greedy,896,data23-1,bytetrack,1273,True
63.52817869939839,52.80901941169592,402,25,8,57.79093954615798,72.19917012448133,19,64.96465043205028,871,confirmation38,0,geometry_reid_greedy,896,data23-1,bytetrack,1273,True
64.23653677547047,52.822814269190545,402,25,8,58.11990214953317,72.84462886122637,21,64.8075412411626,871,confirmation38,0,no_refinement,896,data23-1,bytetrack,1273,True
64.31558036897933,52.80901941169592,402,25,8,58.14906342088243,73.21346242508068,19,64.96465043205028,871,confirmation38,0,partial_hungarian_u080,896,data23-1,bytetrack,1273,True
64.31558036897933,52.80901941169592,402,25,8,58.14906342088243,73.21346242508068,19,64.96465043205028,871,confirmation38,0,partial_hungarian_u100,896,data23-1,bytetrack,1273,True
63.52817869939839,52.80901941169592,402,25,8,57.79093954615798,72.19917012448133,19,64.96465043205028,871,confirmation38,0,regr_final,896,data23-1,bytetrack,1273,True
63.52817869939839,52.80901941169592,402,25,8,57.79093954615798,72.19917012448133,19,64.96465043205028,871,confirmation38,0,regr_final_motion_always,896,data23-1,bytetrack,1273,True
63.52817869939839,52.80901941169592,402,25,8,57.79093954615798,72.19917012448133,19,64.96465043205028,871,confirmation38,0,regr_final_no_gap,896,data23-1,bytetrack,1273,True
63.52817869939839,52.80901941169592,402,25,8,57.79093954615798,72.19917012448133,19,64.96465043205028,871,confirmation38,0,regr_final_no_motion,896,data23-1,bytetrack,1273,True
63.52817869939839,52.80901941169592,402,25,8,57.79093954615798,72.19917012448133,19,64.96465043205028,871,confirmation38,0,regr_final_no_reciprocal,896,data23-1,bytetrack,1273,True
63.52817869939839,52.80901941169592,402,25,8,57.79093954615798,72.19917012448133,19,64.96465043205028,871,confirmation38,0,regr_t,896,data23-1,bytetrack,1273,True
64.27812776934276,52.80901941169592,402,25,8,58.13177428007609,73.02904564315352,20,64.88609583660644,871,confirmation38,0,regr_tg_old,896,data23-1,bytetrack,1273,True
64.31558036897933,52.80901941169592,402,25,8,58.14906342088243,73.21346242508068,19,64.96465043205028,871,confirmation38,0,s2_h_cond_w3_endpoint_c50_r100,896,data23-1,bytetrack,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,geometry_greedy,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,geometry_reid_greedy,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,no_refinement,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,partial_hungarian_u080,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,partial_hungarian_u100,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,regr_final,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,regr_final_motion_always,864,data23-1,deepocsort,1273,True
81.10885122683683,53.55822242112514,430,21,6,65.41039173293237,78.8020589611605,1,64.49332285938726,843,confirmation38,0,regr_final_no_gap,864,data23-1,deepocsort,1273,True
