model,seed,imgsz,conf,iou,nms_type,run_name,status,started_at,finished_at
yolov9c,123,1280,0.001,0.55,classaware,final_input_yolov9c_seed123_imgsz1280_conf0p001_iou0p55_classaware,complete,2026-06-27T00:14:50+09:00,2026-06-27T00:15:07+09:00
yolov9c,123,1536,0.001,0.55,classaware,final_input_yolov9c_seed123_imgsz1536_conf0p001_iou0p55_classaware,running,2026-06-27T00:15:07+09:00,
yolov9c,123,1536,0.001,0.55,classaware,final_input_yolov9c_seed123_imgsz1536_conf0p001_iou0p55_classaware,complete,2026-06-27T00:15:07+09:00,2026-06-27T00:15:26+09:00
yolov9c,2026,640,0.001,0.55,classaware,final_input_yolov9c_seed2026_imgsz640_conf0p001_iou0p55_classaware,running,2026-06-27T00:15:26+09:00,
yolov9c,2026,640,0.001,0.55,classaware,final_input_yolov9c_seed2026_imgsz640_conf0p001_iou0p55_classaware,complete,2026-06-27T00:15:26+09:00,2026-06-27T00:15:39+09:00
yolov9c,2026,960,0.001,0.55,classaware,final_input_yolov9c_seed2026_imgsz960_conf0p001_iou0p55_classaware,running,2026-06-27T00:15:39+09:00,
yolov9c,2026,960,0.001,0.55,classaware,final_input_yolov9c_seed2026_imgsz960_conf0p001_iou0p55_classaware,complete,2026-06-27T00:15:39+09:00,2026-06-27T00:15:54+09:00
yolov9c,2026,1280,0.001,0.55,classaware,final_input_yolov9c_seed2026_imgsz1280_conf0p001_iou0p55_classaware,running,2026-06-27T00:15:54+09:00,
yolov9c,2026,1280,0.001,0.55,classaware,final_input_yolov9c_seed2026_imgsz1280_conf0p001_iou0p55_classaware,complete,2026-06-27T00:15:54+09:00,2026-06-27T00:16:11+09:00
yolov9c,2026,1536,0.001,0.55,classaware,final_input_yolov9c_seed2026_imgsz1536_conf0p001_iou0p55_classaware,running,2026-06-27T00:16:11+09:00,
yolov9c,2026,1536,0.001,0.55,classaware,final_input_yolov9c_seed2026_imgsz1536_conf0p001_iou0p55_classaware,complete,2026-06-27T00:16:11+09:00,2026-06-27T00:16:29+09:00
