accepted_correct,accepted_coverage,accepted_false,accepted_unknown,auditable_fraction,conditional_error,eligible_source_tracklets,method,protocol,scope,tie_ambiguous,tie_excluded_correct,tie_excluded_false,tracker
369,0.39830093122038884,281,4226,0.1333059885151764,0.4323076923076923,12242,cost_r,oracle_aabb,all_50_sequences,97,358,195,bytetrack
0,0.0,0,0,N/A,N/A,12242,no_refinement,oracle_aabb,all_50_sequences,0,0,0,bytetrack
399,0.5103741218755106,431,5418,0.13284250960307298,0.519277108433735,12242,path_g,oracle_aabb,all_50_sequences,169,383,278,bytetrack
381,0.42607417088710997,353,4482,0.14072085889570551,0.48092643051771117,12242,path_g_full_reassign,oracle_aabb,all_50_sequences,138,367,229,bytetrack
575,0.2613981762917933,371,0,1.0,0.39217758985200846,3619,ace_v1,oracle_aabb,all_50_sequences,7,574,365,deepocsort
747,0.33020171318043656,448,0,1.0,0.37489539748953976,3619,cost_g_legacy,oracle_aabb,all_50_sequences,5,746,444,deepocsort
765,0.32688588007736946,418,0,1.0,0.3533389687235841,3619,cost_h,oracle_aabb,all_50_sequences,7,764,412,deepocsort
668,0.24316109422492402,212,0,1.0,0.2409090909090909,3619,cost_h_full_postfilter,oracle_aabb,all_50_sequences,5,667,208,deepocsort
685,0.2597402597402597,255,0,1.0,0.2712765957446808,3619,cost_h_full_reassign,oracle_aabb,all_50_sequences,4,684,252,deepocsort
748,0.305332964907433,357,0,1.0,0.3230769230769231,3619,cost_h_margin_reassign,oracle_aabb,all_50_sequences,6,747,352,deepocsort
728,0.2848853274385189,303,0,1.0,0.2938894277400582,3619,cost_h_motion_reassign,oracle_aabb,all_50_sequences,6,727,298,deepocsort
756,0.32108317214700194,406,0,1.0,0.3493975903614458,3619,cost_h_soft_information,oracle_aabb,all_50_sequences,7,755,400,deepocsort
704,0.27383255042829513,287,0,1.0,0.289606458123108,3619,cost_r,oracle_aabb,all_50_sequences,5,703,283,deepocsort
0,0.0,0,0,N/A,N/A,3619,no_refinement,oracle_aabb,all_50_sequences,0,0,0,deepocsort
744,0.3177673390439348,406,0,1.0,0.35304347826086957,3619,path_g,oracle_aabb,all_50_sequences,6,743,401,deepocsort
683,0.25863498203923735,253,0,1.0,0.2702991452991453,3619,path_g_full_reassign,oracle_aabb,all_50_sequences,4,682,250,deepocsort
1661,0.3792030810250333,899,0,1.0,0.351171875,6751,ace_v1,oracle_aabb,all_50_sequences,124,1633,803,ocsort
2457,0.5065916160568804,963,0,1.0,0.28157894736842104,6751,cost_g_legacy,oracle_aabb,all_50_sequences,186,2402,832,ocsort
2489,0.4954821507924752,856,0,1.0,0.25590433482810165,6751,cost_h,oracle_aabb,all_50_sequences,188,2430,727,ocsort
2216,0.408087690712487,539,0,1.0,0.1956442831215971,6751,cost_h_full_postfilter,oracle_aabb,all_50_sequences,132,2174,449,ocsort
2254,0.42601096133906086,622,0,1.0,0.21627260083449235,6751,cost_h_full_reassign,oracle_aabb,all_50_sequences,143,2208,525,ocsort
2460,0.4728188416530884,732,0,1.0,0.22932330827067668,6751,cost_h_margin_reassign,oracle_aabb,all_50_sequences,170,2406,616,ocsort
2489,0.49326025773959414,841,0,1.0,0.25255255255255254,6751,cost_h_motion_reassign,oracle_aabb,all_50_sequences,186,2432,712,ocsort
2463,0.49044585987261147,848,0,1.0,0.2561159770462096,6751,cost_h_soft_information,oracle_aabb,all_50_sequences,185,2409,717,ocsort
2239,0.4208265442156717,602,0,1.0,0.21189721928898275,6751,cost_r,oracle_aabb,all_50_sequences,141,2194,506,ocsort
0,0.0,0,0,N/A,N/A,6751,no_refinement,oracle_aabb,all_50_sequences,0,0,0,ocsort
2398,0.4830395496963413,863,0,1.0,0.2646427476234284,6751,path_g,oracle_aabb,all_50_sequences,177,2345,739,ocsort
2251,0.42512220411790846,619,0,1.0,0.2156794425087108,6751,path_g_full_reassign,oracle_aabb,all_50_sequences,144,2206,520,ocsort
