created_at,session,model,seed,physical_gpu,ultralytics_device,imgsz,batch,epochs,data_yaml,run_name,log_file,status,command
,,rtdetr-l.pt,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,rtdetr-l_visdrone_fresh_fresh_20260519_131739_seed42_resume_20260522_190630,outputs/logs/server_fresh_baselines/fresh_20260519_131739_resume_20260522_190630/rtdetr-l_visdrone_fresh_fresh_20260519_131739_seed42_resume_20260522_190630.log,queued,CUDA_DEVICE_ORDER=PCI_BUS_ID conda run --no-capture-output -n $CONDA_ENV python -m detectors.train_yolo train --model rtdetr-l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project $RESUME_PROJECT --name rtdetr-l_visdrone_fresh_fresh_20260519_131739_seed42_resume_20260522_190630
,,rtdetr-l.pt,123,1,1,1280,4,100,configs/detector/visdrone_yolo_data.yaml,rtdetr-l_visdrone_fresh_fresh_20260519_131739_seed123_resume_20260522_190630,outputs/logs/server_fresh_baselines/fresh_20260519_131739_resume_20260522_190630/rtdetr-l_visdrone_fresh_fresh_20260519_131739_seed123_resume_20260522_190630.log,queued,CUDA_DEVICE_ORDER=PCI_BUS_ID conda run --no-capture-output -n $CONDA_ENV python -m detectors.train_yolo train --model rtdetr-l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 1 --seed 123 --project $RESUME_PROJECT --name rtdetr-l_visdrone_fresh_fresh_20260519_131739_seed123_resume_20260522_190630
,,rtdetr-l.pt,2026,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,rtdetr-l_visdrone_fresh_fresh_20260519_131739_seed2026_resume_20260522_190630,outputs/logs/server_fresh_baselines/fresh_20260519_131739_resume_20260522_190630/rtdetr-l_visdrone_fresh_fresh_20260519_131739_seed2026_resume_20260522_190630.log,queued,CUDA_DEVICE_ORDER=PCI_BUS_ID conda run --no-capture-output -n $CONDA_ENV python -m detectors.train_yolo train --model rtdetr-l.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 2026 --project $RESUME_PROJECT --name rtdetr-l_visdrone_fresh_fresh_20260519_131739_seed2026_resume_20260522_190630
,,yolov10m.pt,123,1,1,1280,4,100,configs/detector/visdrone_yolo_data.yaml,yolov10m_visdrone_fresh_fresh_20260519_131739_seed123_resume_20260522_190630,outputs/logs/server_fresh_baselines/fresh_20260519_131739_resume_20260522_190630/yolov10m_visdrone_fresh_fresh_20260519_131739_seed123_resume_20260522_190630.log,queued,CUDA_DEVICE_ORDER=PCI_BUS_ID conda run --no-capture-output -n $CONDA_ENV python -m detectors.train_yolo train --model yolov10m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 1 --seed 123 --project $RESUME_PROJECT --name yolov10m_visdrone_fresh_fresh_20260519_131739_seed123_resume_20260522_190630
,,yolo12m.pt,42,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,yolo12m_visdrone_fresh_fresh_20260519_131739_seed42_resume_20260522_190630,outputs/logs/server_fresh_baselines/fresh_20260519_131739_resume_20260522_190630/yolo12m_visdrone_fresh_fresh_20260519_131739_seed42_resume_20260522_190630.log,queued,CUDA_DEVICE_ORDER=PCI_BUS_ID conda run --no-capture-output -n $CONDA_ENV python -m detectors.train_yolo train --model yolo12m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 42 --project $RESUME_PROJECT --name yolo12m_visdrone_fresh_fresh_20260519_131739_seed42_resume_20260522_190630
,,yolo12m.pt,123,1,1,1280,4,100,configs/detector/visdrone_yolo_data.yaml,yolo12m_visdrone_fresh_fresh_20260519_131739_seed123_resume_20260522_190630,outputs/logs/server_fresh_baselines/fresh_20260519_131739_resume_20260522_190630/yolo12m_visdrone_fresh_fresh_20260519_131739_seed123_resume_20260522_190630.log,queued,CUDA_DEVICE_ORDER=PCI_BUS_ID conda run --no-capture-output -n $CONDA_ENV python -m detectors.train_yolo train --model yolo12m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 1 --seed 123 --project $RESUME_PROJECT --name yolo12m_visdrone_fresh_fresh_20260519_131739_seed123_resume_20260522_190630
,,yolo12m.pt,2026,0,0,1280,4,100,configs/detector/visdrone_yolo_data.yaml,yolo12m_visdrone_fresh_fresh_20260519_131739_seed2026_resume_20260522_190630,outputs/logs/server_fresh_baselines/fresh_20260519_131739_resume_20260522_190630/yolo12m_visdrone_fresh_fresh_20260519_131739_seed2026_resume_20260522_190630.log,queued,CUDA_DEVICE_ORDER=PCI_BUS_ID conda run --no-capture-output -n $CONDA_ENV python -m detectors.train_yolo train --model yolo12m.pt --data-yaml configs/detector/visdrone_yolo_data.yaml --epochs 100 --imgsz 1280 --batch 4 --device 0 --seed 2026 --project $RESUME_PROJECT --name yolo12m_visdrone_fresh_fresh_20260519_131739_seed2026_resume_20260522_190630
